# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (17 - Tocantins)
# ============================================================

data;

param Distmax:=
1 80  # 80
2 155 # + 120
3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
2	10000
3	30000
;

param DurUpper:=
1 0.51 
2 3.0 
3 6.3; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	172100	#	PALMAS	487
	170210	#	ARAGUAINA	413
;


# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2030	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
170025	1	17	-9.62	-49.16	2765	1	'Abreulandia'
170030	1	17	-6.55	-47.47	7088	1	'Aguiarnopolis'
170035	1	17	-11.30	-48.94	5861	1	'Alianca_Do_Tocantins'
170040	1	17	-11.57	-47.17	7691	1	'Almas'
170070	1	17	-12.48	-49.13	9089	0	'Alvorada'
170100	1	17	-6.36	-48.08	10362	0	'Ananas'
170105	1	17	-6.39	-47.86	3685	1	'Angico'
170110	1	17	-9.96	-47.98	5113	1	'Aparecida_Do_Rio_Negro'
170130	1	17	-7.16	-48.52	6240	1	'Aragominas'
170190	1	17	-8.80	-49.56	7567	0	'Araguacema'
170200	1	17	-12.93	-49.83	9240	0	'Araguacu'
170210	1	17	-7.19	-48.21	191461	0	'Araguaina'
170215	1	17	-6.58	-48.64	6108	1	'Araguana'
170220	1	17	-5.65	-48.12	38122	0	'Araguatins'
170230	1	17	-7.65	-49.08	7194	0	'Arapoema'
170240	1	17	-12.93	-46.95	11434	0	'Arraias'
170255	1	17	-5.47	-47.88	19606	0	'Augustinopolis'
170270	1	17	-12.71	-46.41	4024	1	'Aurora_Do_Tocantins'
170290	1	17	-5.62	-47.77	10489	1	'Axixa_Do_Tocantins'
170300	1	17	-7.20	-47.76	11499	1	'Babaculandia'
170305	1	17	-7.76	-48.58	3788	1	'Bandeirantes_Do_Tocantins'
170307	1	17	-7.69	-47.69	4906	1	'Barra_Do_Ouro'
170310	1	17	-9.83	-48.73	6055	1	'Barrolandia'
170320	1	17	-7.87	-48.90	4820	1	'Bernardo_Sayao'
170330	1	17	-8.96	-48.17	5154	1	'Bom_Jesus_Do_Tocantins'
170360	1	17	-8.38	-48.49	2363	1	'Brasilandia_Do_Tocantins'
170370	1	17	-11.01	-48.56	5905	0	'Brejinho_De_Nazare'
170380	1	17	-5.31	-48.22	12076	1	'Buriti_Do_Tocantins'
170382	1	17	-6.11	-47.91	2444	1	'Cachoeirinha'
170384	1	17	-7.97	-46.80	10696	1	'Campos_Lindos'
170386	1	17	-11.89	-49.17	4660	1	'Cariri_Do_Tocantins'
170388	1	17	-7.03	-48.40	2757	1	'Carmolandia'
170389	1	17	-5.32	-48.03	4378	1	'Carrasco_Bonito'
170390	1	17	-9.27	-49.95	5711	1	'Caseara'
170410	1	17	-8.96	-47.34	3100	1	'Centenario'
170460	1	17	-10.14	-49.18	1511	1	'Chapada_De_Areia'
