# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (22 - Piaui)
# ===========================================================

data;

param Distmax:=
1 80  # 80
2 120 # + 120
3 200; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
2	10000
3	30000
;

param DurUpper:=
1 0.51 
2 2.5 
3 9.5;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	221100	#	TERESINA	1339
	220770	#	PARNAIBA	1
;


# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2018	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
220005	2	22	-8.22	-41.08	7065	1	'Acaua'
220010	2	22	-5.80	-42.66	5148	1	'Agricolandia'
220020	2	22	-5.89	-42.64	17349	0	'Agua_Branca'
220025	2	22	-7.01	-40.93	7636	1	'Alagoinha_Do_Piaui'
220027	2	22	-7.25	-40.86	4912	1	'Alegrete_Do_Piaui'
220030	2	22	-5.25	-42.21	14268	1	'Alto_Longa'
220040	2	22	-5.04	-42.46	40440	0	'Altos'
220045	2	22	-8.44	-43.86	5392	1	'Alvorada_Do_Gurgueia'
220050	2	22	-6.25	-42.85	17592	0	'Amarante'
220060	2	22	-6.09	-42.74	6792	1	'Angical_Do_Piaui'
220070	2	22	-9.17	-43.03	9818	1	'Anisio_De_Abreu'
220080	2	22	-7.22	-44.20	3158	1	'Antonio_Almeida'
220090	2	22	-6.11	-41.80	5844	1	'Aroazes'
220095	2	22	-7.28	-41.56	2551	1	'Aroeiras_Do_Itaim'
220100	2	22	-6.65	-42.54	4735	1	'Arraial'
220105	2	22	-5.86	-41.05	7828	1	'Assuncao_Do_Piaui'
220110	2	22	-10.13	-43.94	11252	1	'Avelino_Lopes'
220115	2	22	-7.85	-45.21	11497	1	'Baixa_Grande_Do_Ribeiro'
220117	2	22	-6.52	-42.11	3950	1	'Barra_Dalcantara'
220120	2	22	-4.24	-42.30	46941	0	'Barras'
220130	2	22	-9.92	-45.48	3344	1	'Barreiras_Do_Piaui'
220140	2	22	-5.81	-42.51	7038	1	'Barro_Duro'
220150	2	22	-4.02	-42.08	26806	1	'Batalha'
220155	2	22	-7.97	-41.87	3999	1	'Bela_Vista_Do_Piaui'
220157	2	22	-7.37	-40.97	3544	1	'Belem_Do_Piaui'
220160	2	22	-5.45	-42.37	10462	1	'Beneditinos'
220170	2	22	-7.63	-43.95	5495	1	'Bertolinia'
220173	2	22	-8.15	-40.80	6200	1	'Betania_Do_Piaui'
220177	2	22	-4.41	-42.13	6744	1	'Boa_Hora'
220180	2	22	-6.95	-41.32	4496	1	'Bocaina'
220190	2	22	-9.07	-44.36	24960	0	'Bom_Jesus'
220191	2	22	-3.19	-41.65	5608	1	'Bom_Principio_Do_Piaui'
220192	2	22	-9.17	-42.88	5654	1	'Bonfim_Do_Piaui'
220194	2	22	-4.49	-42.10	6388	1	'Boqueirao_Do_Piaui'
220196	2	22	-4.14	-41.79	8310	1	'Brasileira'
220198	2	22	-8.21	-42.83	3902	1	'Brejo_Do_Piaui'
220200	2	22	-3.17	-41.87	19754	0	'Buriti_Dos_Lopes'
220202	2	22	-5.31	-41.10	8223	1	'Buriti_Dos_Montes'
220205	2	22	-4.47	-42.31	10540	1	'Cabeceiras_Do_Piaui'
220207	2	22	-6.79	-42.40	3544	1	'Cajazeiras_Do_Piaui'
220208	2	22	-2.93	-41.35	7608	1	'Cajueiro_Da_Praia'
220209	2	22	-7.33	-40.64	5770	1	'Caldeirao_Grande_Do_Piaui'
220210	2	22	-7.65	-41.88	5603	1	'Campinas_Do_Piaui'
220211	2	22	-8.37	-41.83	5019	1	'Campo_Alegre_Do_Fidalgo'
220213	2	22	-7.14	-41.03	5919	1	'Campo_Grande_Do_Piaui'
220217	2	22	-3.81	-42.63	7245	1	'Campo_Largo_Do_Piaui'
220220	2	22	-4.83	-42.17	46770	0	'Campo_Maior'
220225	2	22	-7.69	-43.72	3957	1	'Canavieira'
220230	2	22	-8.11	-42.94	21112	0	'Canto_Do_Buriti'
220240	2	22	-4.46	-41.94	11388	1	'Capitao_De_Campos'
220245	2	22	-8.50	-41.82	4086	1	'Capitao_Gervasio_Oliveira'
220250	2	22	-9.28	-43.33	10866	1	'Caracol'
220253	2	22	-3.48	-41.84	5845	1	'Caraubas_Do_Piaui'
220255	2	22	-7.73	-40.99	5049	1	'Caridade_Do_Piaui'
220260	2	22	-5.32	-41.55	19715	0	'Castelo_Do_Piaui'
220265	2	22	-3.43	-41.88	5395	1	'Caxingo'
220270	2	22	-3.47	-41.56	27725	0	'Cocal'
220271	2	22	-4.55	-41.98	4881	1	'Cocal_De_Telha'
220272	2	22	-3.61	-41.46	6140	1	'Cocal_Dos_Alves'
220273	2	22	-5.09	-42.21	4007	1	'Coivaras'
220275	2	22	-8.19	-43.80	6451	1	'Colonia_Do_Gurgueia'
220277	2	22	-7.22	-42.18	7651	1	'Colonia_Do_Piaui'
220280	2	22	-7.88	-41.60	4798	1	'Conceicao_Do_Caninde'
220285	2	22	-8.82	-42.47	4678	1	'Coronel_Jose_Dias'
220290	2	22	-10.44	-45.16	26575	0	'Corrente'
220300	2	22	-10.65	-45.19	8264	1	'Cristalandia_Do_Piaui'
220310	2	22	-8.82	-44.22	10401	1	'Cristino_Castro'
220320	2	22	-10.03	-44.30	11348	0	'Curimata'
220323	2	22	-9.01	-44.40	4939	1	'Currais'
220325	2	22	-5.62	-42.83	4425	1	'Curralinhos'
220327	2	22	-7.83	-40.90	5316	1	'Curral_Novo_Do_Piaui'
220330	2	22	-5.36	-42.67	13793	0	'Demerval_Lobao'
220335	2	22	-9.34	-42.44	6992	1	'Dirceu_Arcoverde'
220340	2	22	-6.96	-41.65	6884	1	'Dom_Expedito_Lopes'
220342	2	22	-4.25	-41.27	4356	1	'Domingos_Mourao'
220345	2	22	-9.01	-41.98	9546	1	'Dom_Inocencio'
220350	2	22	-6.20	-42.14	14630	0	'Elesbao_Veloso'
220360	2	22	-8.10	-43.66	4900	1	'Eliseu_Martins'
220370	2	22	-3.90	-42.24	39621	0	'Esperantina'
220375	2	22	-9.48	-42.79	5295	1	'Fartura_Do_Piaui'
220380	2	22	-7.79	-42.92	4464	1	'Flores_Do_Piaui'
220385	2	22	-7.47	-41.80	2556	1	'Floresta_Do_Piaui'
220390	2	22	-6.77	-43.02	59840	0	'Floriano'
220400	2	22	-6.40	-42.26	5349	1	'Francinopolis'
220410	2	22	-6.62	-42.69	4373	1	'Francisco_Ayres'
220415	2	22	-7.33	-40.80	3166	1	'Francisco_Macedo'
220420	2	22	-6.99	-41.14	9262	1	'Francisco_Santos'
220430	2	22	-7.09	-40.62	11590	0	'Fronteiras'
220435	2	22	-7.16	-41.36	5424	1	'Geminiano'
220440	2	22	-9.83	-45.35	10686	1	'Gilbues'
220450	2	22	-6.79	-43.57	10500	1	'Guadalupe'
220455	2	22	-9.40	-43.69	4556	1	'Guaribas'
220460	2	22	-5.99	-42.56	3875	1	'Hugo_Napoleao'
220465	2	22	-2.85	-41.82	9394	1	'Ilha_Grande'
220470	2	22	-6.67	-41.71	15296	1	'Inhuma'
220480	2	22	-6.83	-41.74	9782	1	'Ipiranga_Do_Piaui'
220490	2	22	-7.73	-41.68	8551	1	'Isaias_Coelho'
220500	2	22	-7.45	-41.48	11507	1	'Itainopolis'
220510	2	22	-7.61	-43.03	11010	0	'Itaueira'
220515	2	22	-7.94	-41.21	5753	1	'Jacobina_Do_Piaui'
220520	2	22	-7.35	-41.15	19035	0	'Jaicos'
220525	2	22	-6.10	-42.63	4494	1	'Jardim_Do_Mulato'
220527	2	22	-4.77	-41.82	4855	1	'Jatoba_Do_Piaui'
220530	2	22	-7.08	-43.50	4457	1	'Jerumenha'
220535	2	22	-8.49	-42.42	3010	1	'Joao_Costa'
220540	2	22	-3.51	-42.19	14332	1	'Joaquim_Pires'
220545	2	22	-3.49	-42.43	5419	1	'Joca_Marques'
220550	2	22	-4.76	-42.58	39072	0	'Jose_De_Freitas'
220551	2	22	-5.16	-41.70	5472	1	'Juazeiro_Do_Piaui'
