# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (43 - Rio Grande do Sul)
# ============================================================

data;

param Distmax:=
1 80  # 80
2 135 # + 120
3 200; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	10000
# 3	30000
2	2000
3	4000
;

# param DurUpper:=
# 1 0.51 
# 2 2.2 
# 3 3.4; 

param DurUpper:=
1 0.51 
# 2 2.2 
# 3 2.6;
2 0.55 
3 1.7;

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
#	co_municipio	#	no_municipio	qtd_realizado
	431490	#	PORTO ALEGRE	7661
	431410	#	PASSO FUNDO	3172
	431340	#	NOVO HAMBURGO	1232
	431440	#	PELOTAS	1148
	430510	#	CAXIAS DO SUL	1112
	431020	#	IJUI	1082
	430460	#	CANOAS	964
	431690	#	SANTA MARIA	606
	431680	#	SANTA CRUZ DO SUL	572
	431560	#	RIO GRANDE	483
	431140	#	LAJEADO	434
	430210	#	BENTO GONCALVES	8
	/* 432000	#	SAPUCAIA DO SUL	6 */
	/* 432150	#	TORRES	3 */
	432160	#	TRAMANDAI	3
	432240	#	URUGUAIANA	3
	/* 430790	#	FARROUPILHA	2 */
	430300	#	CACHOEIRA DO SUL	1
	/* 430450	#	CANGUCU	1 */
	430920	#	GRAVATAI	1
	/* 431750	#	SANTO ANGELO	1 */
	/* 431870	#	SAO LEOPOLDO	1 */
;


# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2030	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
430003	4	43	-31.866500	-54.161500	5240	0	'Acegua'
430005	4	43	-28.167200	-52.031000	4048	1	'Agua_Santa'
430010	4	43	-29.644700	-53.251500	17822	0	'Agudo'
430020	4	43	-28.234200	-53.775700	7618	0	'Ajuricaba'
430030	4	43	-27.657900	-54.764900	6554	0	'Alecrim'
430040	4	43	-29.790200	-55.794900	79999	0	'Alegrete'
430045	4	43	-27.834500	-54.055700	3839	1	'Alegria'
430047	4	43	-28.114900	-52.914200	2134	1	'Almirante_Tamandare_Do_Sul'
430050	4	43	-27.250200	-53.034100	6965	0	'Alpestre'
430055	4	43	-28.776900	-52.989300	1794	1	'Alto_Alegre'
430057	4	43	-29.391900	-51.312300	3257	1	'Alto_Feliz'
430060	4	43	-29.991400	-51.080900	225646	0	'Alvorada'
430063	4	43	-30.875600	-52.250900	7522	1	'Amaral_Ferrador'
430064	4	43	-27.360700	-53.183000	7999	0	'Ametista_Do_Sul'
430066	4	43	-28.628300	-51.579700	1428	1	'Andre_Da_Rocha'
430070	4	43	-28.969800	-52.010200	6475	0	'Anta_Gorda'
430080	4	43	-28.856500	-51.288300	14080	0	'Antonio_Prado'
430085	4	43	-30.909200	-51.504600	3883	1	'Arambare'
430087	4	43	-29.616800	-50.929100	6064	1	'Ararica'
430090	4	43	-27.397800	-52.297500	6777	0	'Aratiba'
430100	4	43	-29.401400	-51.955700	22258	0	'Arroio_Do_Meio'
430105	4	43	-29.543900	-49.889500	10615	1	'Arroio_Do_Sal'
430107	4	43	-31.438900	-52.424600	3150	1	'Arroio_Do_Padre'
430110	4	43	-30.087500	-51.727500	15232	1	'Arroio_Dos_Ratos'
430120	4	43	-29.334800	-53.096600	14379	0	'Arroio_Do_Tigre'
430130	4	43	-32.232700	-53.086200	19792	0	'Arroio_Grande'
430140	4	43	-28.873700	-52.178100	11244	0	'Arvorezinha'
430150	4	43	-28.517200	-53.988300	7233	0	'Augusto_Pestana'
430155	4	43	-27.693600	-52.050500	3854	1	'Aurea'
430160	4	43	-31.329700	-54.099900	130443	0	'Bage'
430163	4	43	-30.241900	-50.233700	14841	1	'Balneario_Pinhal'
430165	4	43	-29.372500	-51.494900	6621	1	'Barao'
430170	4	43	-27.620800	-52.379800	7148	1	'Barao_De_Cotegipe'
430175	4	43	-30.389100	-51.738400	8039	1	'Barao_Do_Triunfo'
430180	4	43	-27.673900	-51.458500	5711	1	'Barracao'
430185	4	43	-27.192700	-53.710900	3492	1	'Barra_Do_Guarita'
430187	4	43	-30.202900	-57.549700	4532	1	'Barra_Do_Quarai'
430190	4	43	-30.293900	-51.301400	14477	1	'Barra_Do_Ribeiro'
430192	4	43	-27.406900	-52.408400	1862	1	'Barra_Do_Rio_Azul'
