# =========================================================
# Problema: Projeto de rede de especialistas 3 niveis
# Joao Flavio F. Almeida, 	<joao.flavio@dep.ufmg.br>
# Horacio Faria <horaciofaria@gmail.com>
# Leonardo <leomarie@gmail.com>
# Hugo Rodrigues <hugonr@gmail.com>
# Virginia 			<vmmagalhaes@nescon.medicina.ufmg.br>
# Data   : 01/02/2021
# Versao: 12.0: Estado (35 - Sao Paulo)
# ===========================================================

data;

param Distmax:=
1 80  # 80
2 100 # + 120
3 120; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	10000
# 3	30000
# 2	2000
# 3	4000
2	6135	# Q1
3	25259	# Q2 14920
;

# param DurUpper:=
# 1 0.51 
# 2 1.6 
# 3 2.6; 

param DurUpper:=
1 0.51 
# 2 1.6 
# 3 2.6; 
2 1.07 
3 2.55; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
355030 # 'Sao_Paulo': Hospital Universitário da Universidade de São Paulo
	   # 	Hospital São Paulo, São Paulo, vinculado à UNIFESP
	   # 	Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo 
	   # 	Irmandade da Santa Casa de Misericórdia de São Paulo, vinculado à FCMSCSP
	   # 	Hospital Santa Marcelina - vinculado à Faculdade Santa Marcelina, em Itaquera, São Paulo
354890 # 'Sao_Carlos': HU-UFSCar - Hospital Universitário da UFSCar
350950 # 'Campinas': Hospital e Maternidade Celso Pierro, pertencente à Pontifícia Universidade Católica de Campinas
	   # 	Hospital de Clínicas da Unicamp
354140 # 'Presidente_Prudente': Hospital Universitário da Faculdade de Medicina de Presidente Prudente
354980 # 'Sao_Jose_Do_Rio_Preto': + 877 leitos Hospital de Base, Faculdade de Medicina de São José do Rio Preto - FAMERP
350750 # 'Botucatu': Hospital das Clínicas- Faculdade de Medicina de Botucatu - Universidade Estadual Paulista 
354340 # 'Ribeirao_Preto': Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo
350600 # 'Bauru': Hospital de Reabilitação de Anomalias Craniofaciais da Universidade de São Paulo
354850 # 'Santos': +442 leitos
354780 # 'Santo_Andre': +236 leitos
352710 # 'Lins': +261 leitos
354100 # 'Praia_Grande': +200 leitos
355220 # 'Sorocaba': +309 leitos
352900 # 'Marilia': +282 leitos
353060 # 'Mogi_Das_Cruzes': +285 leitos
354870 # 'Sao_Bernardo_Do_Campo': +227 leitos
351570 # 'Ferraz_De_Vasconcelos: +200 leitos
351380 # 'Diadema': +224 leitos
351880 # 'Guarulhos': +255 leitos
352250 # 'Itapevi': +224 leitos
352310 # 'Itaquaquecetuba': +229 leitos
355280 # 'Taboao_Da_Serra': +219 leitos
353440 # 'Osasco': +200 leitos
350570 # 'Barueri': +250 leitos
354990 # 'Sao_Jose_Dos_Campos': +286 leitos
#352450 # 'Jaci': +216 leitos
355410 # 'Taubate': +210 leitos
351620 # 'Franca': +226 leitos
352530 # 'Jau': +228 leitos
354750 # 'Santa_Rita_Do_Passa_Quatro': +252 leitos
355500 # 'Tupa': +210 leitos
351080 # 'Casa_Branca': +366 leitos
350190 # 'Amparo': +273 leitos
350550 # 'Barretos': +205 leitos
352390 # 'Itu': +251 leitos
350330 # 'Araras': +215 leitos
352220 # 'Itapecerica_Da_Serra': +267 leitos
352260 # 'Itapira': +793 leitos
351518 # 'Espirito_Santo_Do_Pinhal': +248 leitos
353890 # 'Pirajui': +236 leitos
;


# CODIGO	REGIAO	ESTADO	LAT	LONG	POPULACAO 2030	CAP	MUNICIPIO
param: I :	RE	ES	lat	lng	POP	INFR	Mun :=
350010	3	35	-21.682000	-51.073700	37774	0	'Adamantina'
350020	3	35	-21.232500	-49.645100	3851	1	'Adolfo'
350030	3	35	-22.057200	-46.973500	38778	0	'Aguai'
350040	3	35	-21.931900	-46.717600	8776	1	'Aguas_Da_Prata'
350050	3	35	-22.473300	-46.631400	20060	0	'Aguas_De_Lindoia'
350055	3	35	-22.881200	-49.242100	6514	1	'Aguas_De_Santa_Barbara'
350060	3	35	-22.597700	-47.873400	3645	1	'Aguas_De_Sao_Pedro'
350070	3	35	-22.469400	-48.986300	39931	0	'Agudos'
350075	3	35	-23.550300	-47.898000	6383	1	'Alambari'
350080	3	35	-21.952700	-51.414000	4473	1	'Alfredo_Marcondes'
350090	3	35	-20.524200	-49.057100	4459	1	'Altair'
350100	3	35	-21.021400	-47.371200	17434	0	'Altinopolis'
350110	3	35	-21.581100	-50.168000	4433	0	'Alto_Alegre'
350115	3	35	-23.530600	-47.254600	19936	1	'Aluminio'
350120	3	35	-20.320300	-49.914100	4004	1	'Alvares_Florence'
350130	3	35	-22.076400	-51.472200	26780	0	'Alvares_Machado'
350140	3	35	-22.084100	-49.719000	5586	1	'Alvaro_De_Carvalho'
350150	3	35	-22.443500	-49.762300	3458	1	'Alvinlandia'
350160	3	35	-22.737400	-47.333100	255737	0	'Americana'
350170	3	35	-21.728800	-48.114700	43101	0	'Americo_Brasiliense'
350180	3	35	-20.298500	-49.735900	6424	1	'Americo_De_Campos'
350190	3	35	-22.708800	-46.772000	77332	0	'Amparo'
350200	3	35	-22.128900	-47.661900	5320	1	'Analandia'
350210	3	35	-20.894800	-51.378600	61598	0	'Andradina'
350220	3	35	-23.491700	-48.413900	26930	0	'Angatuba'
350230	3	35	-22.793000	-48.133600	7148	1	'Anhembi'
350240	3	35	-22.293400	-51.389500	4406	1	'Anhumas'
350250	3	35	-22.849500	-45.232500	38967	0	'Aparecida'
350260	3	35	-20.448700	-50.883500	4567	1	'Aparecida_Doeste'
350270	3	35	-24.510800	-48.844300	26452	0	'Apiai'
350275	3	35	-23.436600	-47.060800	23571	1	'Aracariguama'
350280	3	35	-21.207600	-50.440100	211259	0	'Aracatuba'
350290	3	35	-23.502900	-47.616600	36130	1	'Aracoiaba_Da_Serra'
350300	3	35	-20.088200	-47.787300	6024	1	'Aramina'
350310	3	35	-23.138600	-49.048700	6847	0	'Arandu'
350315	3	35	-22.671700	-44.444100	2673	1	'Arapei'
350320	3	35	-21.784500	-48.178000	252104	0	'Araraquara'
350330	3	35	-22.357200	-47.384200	143376	0	'Araras'
350335	3	35	-21.772800	-50.466000	1953	1	'Arco_Iris'
350340	3	35	-22.031000	-48.913500	9173	0	'Arealva'
350350	3	35	-22.578600	-44.699200	4180	1	'Areias'
350360	3	35	-22.667200	-48.668100	11971	1	'Areiopolis'
350370	3	35	-21.187200	-48.790400	10325	1	'Ariranha'
350380	3	35	-22.572700	-47.172700	57648	0	'Artur_Nogueira'
350390	3	35	-23.396500	-46.320000	95403	0	'Aruja'
350395	3	35	-20.160000	-50.728000	1968	1	'Aspasia'
350400	3	35	-22.660000	-50.418300	111809	0	'Assis'
350410	3	35	-23.117100	-46.556300	152505	0	'Atibaia'
350420	3	35	-20.683600	-50.557200	16311	0	'Auriflama'
350430	3	35	-22.151400	-49.335600	5791	1	'Avai'
350440	3	35	-21.458400	-49.950900	14488	1	'Avanhandava'
350450	3	35	-23.106700	-48.925100	97137	0	'Avare'
350460	3	35	-20.919700	-49.438500	18590	1	'Bady_Bassitt'
350470	3	35	-21.896300	-49.361900	5967	1	'Balbinos'
350480	3	35	-20.734800	-49.586500	9700	1	'Balsamo'
350490	3	35	-22.681900	-44.328100	11752	1	'Bananal'
350500	3	35	-23.628400	-49.563400	3711	1	'Barao_De_Antonina'
350510	3	35	-21.265700	-49.951800	7911	1	'Barbosa'
350520	3	35	-22.073000	-48.743800	37707	0	'Bariri'
350530	3	35	-22.490900	-48.558300	38965	0	'Barra_Bonita'
350535	3	35	-24.472200	-49.023800	6135	1	'Barra_Do_Chapeu'
350540	3	35	-24.759000	-48.501300	8291	1	'Barra_Do_Turvo'
350550	3	35	-20.553100	-48.569800	130875	0	'Barretos'
350560	3	35	-21.186400	-48.163600	34982	1	'Barrinha'
350570	3	35	-23.505700	-46.879000	292616	0	'Barueri'
350580	3	35	-21.921000	-50.735700	22600	0	'Bastos'
350590	3	35	-20.892900	-47.592100	66896	0	'Batatais'
350600	3	35	-22.324600	-49.087100	403670	0	'Bauru'
350610	3	35	-20.949100	-48.479100	83518	0	'Bebedouro'
350620	3	35	-21.268600	-50.814000	3187	1	'Bento_De_Abreu'
350630	3	35	-23.016400	-49.467900	12012	0	'Bernardino_De_Campos'
350635	3	35	-23.848600	-46.139600	66585	0	'Bertioga'
350640	3	35	-21.404000	-50.474600	8573	0	'Bilac'
350650	3	35	-21.291000	-50.343200	131970	0	'Birigui'
350660	3	35	-23.569800	-46.040700	34784	1	'Biritiba_Mirim'
350670	3	35	-21.991800	-48.390600	15988	0	'Boa_Esperanca_Do_Sul'
350680	3	35	-22.136500	-48.523000	13163	0	'Bocaina'
350690	3	35	-23.105500	-48.258200	12440	1	'Bofete'
350700	3	35	-23.285500	-47.678600	64490	0	'Boituva'
350710	3	35	-23.135600	-46.467500	26854	1	'Bom_Jesus_Dos_Perdoes'
350715	3	35	-24.315500	-49.145100	4231	1	'Bom_Sucesso_De_Itarare'
350720	3	35	-22.269600	-50.540900	902	1	'Bora'
350730	3	35	-22.192600	-48.780800	5151	1	'Boraceia'
350740	3	35	-21.621400	-49.074100	17176	0	'Borborema'
350745	3	35	-22.572800	-48.970700	2827	1	'Borebi'
350750	3	35	-22.883700	-48.443700	156195	0	'Botucatu'
350760	3	35	-22.952700	-46.541900	179851	0	'Braganca_Paulista'
350770	3	35	-21.499000	-50.317500	6072	1	'Brauna'
350775	3	35	-21.165100	-50.186100	3064	1	'Brejo_Alegre'
350780	3	35	-20.984500	-47.657200	26524	1	'Brodowski'
350790	3	35	-22.279500	-48.125100	26061	0	'Brotas'
350800	3	35	-23.797700	-48.595800	21343	1	'Buri'
350810	3	35	-21.066100	-50.147500	18339	0	'Buritama'
350820	3	35	-20.191100	-47.709600	4796	1	'Buritizal'
350830	3	35	-22.457600	-49.339300	4623	1	'Cabralia_Paulista'
350840	3	35	-23.305300	-47.136200	52812	0	'Cabreuva'
350850	3	35	-23.099200	-45.707600	100831	0	'Cacapava'
350860	3	35	-22.666500	-45.015400	35664	0	'Cachoeira_Paulista'
350870	3	35	-21.528000	-46.643700	20450	0	'Caconde'
350880	3	35	-21.803100	-49.609200	19078	0	'Cafelandia'
350890	3	35	-22.012700	-51.239400	4519	1	'Caiabu'
350900	3	35	-23.360700	-46.739700	107994	0	'Caieiras'
350910	3	35	-21.832200	-51.996900	6256	1	'Caiua'
350920	3	35	-23.355000	-46.878100	81579	0	'Cajamar'
350925	3	35	-24.732400	-48.122300	30852	1	'Cajati'
350930	3	35	-20.877300	-48.806300	11310	0	'Cajobi'
350940	3	35	-21.274900	-47.303000	27972	0	'Cajuru'
350945	3	35	-23.589500	-48.475800	6462	1	'Campina_Do_Monte_Alegre'
350950	3	35	-22.905300	-47.065900	1287887	0	'Campinas'
350960	3	35	-23.207800	-46.788900	90312	0	'Campo_Limpo_Paulista'
350970	3	35	-22.729600	-45.583300	55829	0	'Campos_Do_Jordao'
350980	3	35	-22.602000	-49.998700	5319	1	'Campos_Novos_Paulista'
350990	3	35	-25.014400	-47.934100	13524	1	'Cananeia'
350995	3	35	-22.700300	-45.052100	5469	1	'Canas'
351000	3	35	-22.747100	-50.387300	33664	0	'Candido_Mota'
351010	3	35	-21.327500	-48.632700	3006	1	'Candido_Rodrigues'
351015	3	35	-23.004000	-49.783900	5543	1	'Canitar'
351020	3	35	-24.011300	-48.348200	50863	0	'Capao_Bonito'
351030	3	35	-23.468500	-47.738800	22023	1	'Capela_Do_Alto'
351040	3	35	-22.995100	-47.507100	59472	0	'Capivari'
351050	3	35	-23.612500	-45.412500	129021	0	'Caraguatatuba'
351060	3	35	-23.523500	-46.840700	429921	0	'Carapicuiba'
351070	3	35	-20.080000	-49.918300	13269	0	'Cardoso'
351080	3	35	-21.770800	-47.085200	32612	0	'Casa_Branca'
351090	3	35	-21.280100	-47.164300	2742	1	'Cassia_Dos_Coqueiros'
351100	3	35	-20.868900	-51.488400	22367	0	'Castilho'
