lat_departure,lon_departure,lat_arrival,lon_arrival
-7.62762,-72.6756,-7.62762,-72.6756
-7.61657,-72.8997,-7.62762,-72.6756
-8.17054,-70.351,-8.17054,-70.351
-9.44652,-70.4902,-8.17054,-70.351
-8.15697,-70.7722,-8.17054,-70.351
-8.83291,-69.2679,-8.83291,-69.2679
-9.06596,-68.6571,-8.83291,-69.2679
-9.43091,-71.8974,-8.26323,-72.7537
-8.93898,-72.7997,-8.26323,-72.7537
-8.26323,-72.7537,-8.26323,-72.7537
-9.82581,-66.8972,-9.97499,-67.8243
-10.566,-67.686,-9.97499,-67.8243
-10.2806,-67.1371,-9.97499,-67.8243
-9.97499,-67.8243,-9.97499,-67.8243
-10.1497,-67.7362,-9.97499,-67.8243
-9.58138,-67.5478,-9.97499,-67.8243
-10.9298,-69.5738,-10.6516,-68.4969
-11.0188,-68.7341,-10.6516,-68.4969
-10.6516,-68.4969,-10.6516,-68.4969
-9.75487,-36.6615,-9.75487,-36.6615
-10.1235,-36.6597,-9.75487,-36.6615
-9.58353,-36.3045,-9.75487,-36.6615
-10.0572,-36.8101,-9.75487,-36.6615
-9.91656,-36.3492,-9.75487,-36.6615
-9.96262,-37.0071,-9.75487,-36.6615
-9.23342,-36.0162,-9.23342,-36.0162
-8.97823,-35.9373,-9.23342,-36.0162
-9.17141,-36.2176,-9.23342,-36.0162
-8.84723,-35.5685,-9.27281,-35.7139
-9.27281,-35.7139,-9.27281,-35.7139
-10.2935,-36.3028,-10.0133,-36.0142
-10.0133,-36.0142,-10.0133,-36.0142
-9.83842,-35.9057,-9.66599,-35.735
-9.66599,-35.735,-9.66599,-35.735
-9.46313,-35.552,-9.66599,-35.735
-9.6037,-35.8232,-9.66599,-35.735
-9.11824,-37.7323,-9.25634,-37.9988
-9.25634,-37.9988,-9.25634,-37.9988
-9.24511,-35.4745,-9.24511,-35.4745
-9.16006,-35.3049,-9.24511,-35.4745
-9.41504,-36.0826,-9.32001,-36.4692
-9.39089,-36.7644,-9.32001,-36.4692
-9.44739,-36.3881,-9.32001,-36.4692
-9.32001,-36.4692,-9.32001,-36.4692
-9.82272,-37.277,-9.55768,-37.3831
-9.40121,-36.9911,-9.55768,-37.3831
-9.63545,-37.2076,-9.55768,-37.3831
-9.23045,-37.3524,-9.55768,-37.3831
-9.50357,-37.8301,-9.55768,-37.3831
-9.55768,-37.3831,-9.55768,-37.3831
-3.37455,-68.2005,-3.37455,-68.2005
-3.56697,-61.3963,-3.56697,-61.3963
-3.74603,-61.6575,-3.74603,-61.6575
-7.19409,-59.896,-7.19409,-59.896
-3.58574,-59.1256,-3.58574,-59.1256
-0.983373,-62.9311,-0.983373,-62.9311
-2.79886,-57.0679,-2.79886,-57.0679
-3.89874,-61.3616,-3.89874,-61.3616
-2.97409,-57.5873,-2.97409,-57.5873
-8.74232,-67.3919,-8.74232,-67.3919
-4.39154,-59.5874,-4.39154,-59.5874
-3.31537,-61.2206,-3.31537,-61.2206
-6.52582,-64.3953,-6.52582,-64.3953
-4.88161,-66.9086,-4.88161,-66.9086
-4.09412,-63.1441,-4.09412,-63.1441
-3.83053,-62.0658,-3.83053,-62.0658
-6.65677,-69.8662,-6.65677,-69.8662
-7.43789,-70.0281,-7.43789,-70.0281
-2.52342,-66.0942,-2.52342,-66.0942
-7.53797,-72.5907,-7.53797,-72.5907
-7.51171,-63.0327,-7.51171,-63.0327
-7.04791,-71.6934,-7.04791,-71.6934
-3.13861,-58.4449,-3.13861,-58.4449
-3.48438,-66.0718,-3.48438,-66.0718
-2.75814,-66.7595,-2.75814,-66.7595
-7.26413,-64.7948,-7.26413,-64.7948
-3.76803,-60.369,-3.44078,-60.4612
-3.44078,-60.4612,-3.44078,-60.4612
