name,lat,lon
Acaraú,-2.88769,-40.1183,
Acopiara,-6.08911,-39.448,
Aracati,-4.55826,-37.7679,
Assaré,-6.8669,-39.8689,
Barbalha,-7.2982,-39.3021,
Barro,-7.17188,-38.7741,
Campos Sales,-7.06761,-40.3687,
Canindé,-4.35162,-39.3155,
Cedro,-6.60034,-39.0609,
Crateús,-5.16768,-40.6536,
Fortaleza,-3.71664,-38.5423,
Granja,-3.12788,-40.8372,
Guaiúba,-4.04057,-38.6404,
Ibiapina,-3.92403,-40.8911,
Ipu,-4.31748,-40.7059,
Irauçuba,-3.74737,-39.7843,
Jaguaribe,-5.90213,-38.6227,
Juazeiro do Norte,-7.19621,-39.3076,
Ocara,-4.48523,-38.5933,
Parambu,-6.20768,-40.6905,
Pedra Branca,-5.45341,-39.7078,
Quixadá,-4.9663,-39.0155,
Quixeramobim,-5.19067,-39.2889,
São Gonçalo do Amarante,-3.60515,-38.9726,
Sobral,-3.68913,-40.3482,
Tabuleiro do Norte,-5.24353,-38.1282,
Tamboril,-4.83136,-40.3196,
Tauá,-5.98585,-40.2968,
Tianguá,-3.72965,-40.9923,
