CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
230020,"Acarau",230020,"Acarau",0,2
230230,"Bela_Cruz",230020,"Acarau",0.5,2
230780,"Marco",230020,"Acarau",0.62,2
230030,"Acopiara",230030,"Acopiara",0,2
230426,"Deputado_Irapuan_Pinheiro",230030,"Acopiara",0.6,2
230040,"Aiuaba",230040,"Aiuaba",0,2
230150,"Arneiroz",230040,"Aiuaba",0.6,2
230070,"Alto_Santo",230070,"Alto_Santo",0,2
230680,"Jaguaribara",230070,"Alto_Santo",0.73,2
230760,"Limoeiro_Do_Norte",230070,"Alto_Santo",0.85,2
231123,"Potiretama",230070,"Alto_Santo",0.59,2
230110,"Aracati",230110,"Aracati",0,2
230120,"Aracoiaba",230120,"Aracoiaba",0,2
230290,"Capistrano",230120,"Aracoiaba",0.33,2
230080,"Antonina_Do_Norte",230160,"Assare",0.34,2
230160,"Assare",230160,"Assare",0,2
231325,"Tarrafas",230160,"Assare",0.61,2
230170,"Aurora",230170,"Aurora",0,2
230185,"Banabuiu",230185,"Banabuiu",0,2
230190,"Barbalha",230190,"Barbalha",0,2
230250,"Brejo_Santo",230190,"Barbalha",0.85,2
230420,"Crato",230190,"Barbalha",0.33,2
230830,"Milagres",230190,"Barbalha",0.72,2
230200,"Barro",230200,"Barro",0,2
230205,"Barroquinha",230205,"Barroquinha",0,2
230210,"Baturite",230210,"Baturite",0,2
230910,"Mulungu",230210,"Baturite",0.53,2
230240,"Boa_Viagem",230240,"Boa_Viagem",0,2
230260,"Camocim",230260,"Camocim",0,2
230130,"Araripe",230270,"Campos_Sales",0.59,2
230270,"Campos_Sales",230270,"Campos_Sales",0,2
230280,"Caninde",230280,"Caninde",0,2
230300,"Caridade",230280,"Caninde",0.33,2
231040,"Paramoti",230280,"Caninde",0.7,2
230310,"Carire",230310,"Carire",0,2
230320,"Caririacu",230320,"Caririacu",0,2
230220,"Beberibe",230350,"Cascavel",0.39,2
230350,"Cascavel",230350,"Cascavel",0,2
231085,"Pindoretama",230350,"Cascavel",0.27,2
230360,"Catarina",230360,"Catarina",0,2
230380,"Cedro",230380,"Cedro",0,2
230400,"Coreau",230400,"Coreau",0,2
231390,"Uruoca",230400,"Coreau",0.71,2
230410,"Crateus",230410,"Crateus",0,2
230560,"Independencia",230410,"Crateus",0.85,2
230423,"Croata",230423,"Croata",0,2
230430,"Farias_Brito",230430,"Farias_Brito",0,2
230440,"Fortaleza",230440,"Fortaleza",0,2
230470,"Granja",230470,"Granja",0,2
230495,"Guaiuba",230495,"Guaiuba",0,2
230770,"Maranguape",230495,"Guaiuba",0.42,2
231010,"Palmacia",230495,"Guaiuba",0.85,2
231160,"Redencao",230495,"Guaiuba",0.41,2
230520,"Hidrolandia",230520,"Hidrolandia",0,2
230523,"Horizonte",230523,"Horizonte",0,2
230960,"Pacajus",230523,"Horizonte",0.16,2
230530,"Ibiapina",230530,"Ibiapina",0,2
230900,"Mucambo",230530,"Ibiapina",0.42,2
230535,"Icapui",230535,"Icapui",0,2
230540,"Ico",230540,"Ico",0,2
231370,"Umari",230540,"Ico",0.66,2
230580,"Ipu",230580,"Ipu",0,2
230590,"Ipueiras",230590,"Ipueiras",0,2
230610,"Iraucuba",230610,"Iraucuba",0,2
230837,"Miraima",230610,"Iraucuba",0.89,2
230100,"Aquiraz",230625,"Itaitinga",0.5,2
230625,"Itaitinga",230625,"Itaitinga",0,2
230640,"Itapipoca",230640,"Itapipoca",0,2
230660,"Itatira",230660,"Itatira",0,2
230670,"Jaguaretama",230670,"Jaguaretama",0,2
230690,"Jaguaribe",230690,"Jaguaribe",0,2
230700,"Jaguaruana",230700,"Jaguaruana",0,2
230710,"Jardim",230710,"Jardim",0,2
230725,"Jijoca_De_Jericoacoara",230725,"Jijoca_De_Jericoacoara",0,2
230730,"Juazeiro_Do_Norte",230730,"Juazeiro_Do_Norte",0,2
230570,"Ipaumirim",230750,"Lavras_Da_Mangabeira",0.55,2
230750,"Lavras_Da_Mangabeira",230750,"Lavras_Da_Mangabeira",0,2
230763,"Madalena",230763,"Madalena",0,2
230850,"Mombaca",230850,"Mombaca",0,2
230860,"Monsenhor_Tabosa",230860,"Monsenhor_Tabosa",0,2
230533,"Ibicuitinga",230870,"Morada_Nova",0.68,2
230870,"Morada_Nova",230870,"Morada_Nova",0,2
231150,"Quixere",230870,"Morada_Nova",0.88,2
