NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,120001,"Acrelandia",1,"Physicians",16200,6.642
1,120001,"Acrelandia",2,"Nurses",16200,40.986
1,120001,"Acrelandia",3,"OtherCadres",16200,20.25
1,120001,"Acrelandia",4,"CommunityBased",16200,79.056
1,120001,"Acrelandia",5,"Beds",16200,0
1,120001,"Acrelandia",6,"CTScanner",16200,0
1,120001,"Acrelandia",7,"MRIUnit",16200,0
1,120001,"Acrelandia",8,"Mammography",16200,0
1,120001,"Acrelandia",9,"Radiotherapy",16200,0
1,120005,"Assis_Brasil",1,"Physicians",7873,3.2279
1,120005,"Assis_Brasil",2,"Nurses",7873,19.9187
1,120005,"Assis_Brasil",3,"OtherCadres",7873,9.8413
1,120005,"Assis_Brasil",4,"CommunityBased",7873,38.4202
1,120005,"Assis_Brasil",5,"Beds",7873,0
1,120005,"Assis_Brasil",6,"CTScanner",7873,0
1,120005,"Assis_Brasil",7,"MRIUnit",7873,0
1,120005,"Assis_Brasil",8,"Mammography",7873,0
1,120005,"Assis_Brasil",9,"Radiotherapy",7873,0
1,120010,"Brasileia",1,"Physicians",47423,19.4435
1,120010,"Brasileia",2,"Nurses",47423,119.9802
1,120010,"Brasileia",3,"OtherCadres",47423,59.2788
1,120010,"Brasileia",4,"CommunityBased",47423,231.4242
1,120010,"Brasileia",5,"Beds",47423,0
1,120010,"Brasileia",6,"CTScanner",47423,0
1,120010,"Brasileia",7,"MRIUnit",47423,0
1,120010,"Brasileia",8,"Mammography",47423,0
1,120010,"Brasileia",9,"Radiotherapy",47423,0
1,120013,"Bujari",1,"Physicians",10905,4.4711
1,120013,"Bujari",2,"Nurses",10905,27.5897
1,120013,"Bujari",3,"OtherCadres",10905,13.6313
1,120013,"Bujari",4,"CommunityBased",10905,53.2164
1,120013,"Bujari",5,"Beds",10905,0
1,120013,"Bujari",6,"CTScanner",10905,0
1,120013,"Bujari",7,"MRIUnit",10905,0
1,120013,"Bujari",8,"Mammography",10905,0
1,120013,"Bujari",9,"Radiotherapy",10905,0
1,120017,"Capixaba",1,"Physicians",12356,5.066
