NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,270030,"Arapiraca",799970,1591.9403,7183.7306,2007.9247,0,1455.9454,15.919403,13.439496,12.479532,8.159694
3,270100,"Boca_Da_Mata",342522,681.61878,3075.84756,859.73022,0,623.39004,6.8161878,5.7543696,5.3433432,3.4937244
3,270230,"Coruripe",78642,156.49758,706.20516,197.39142,0,143.12844,1.5649758,1.3211856,1.2268152,0.8021484
3,270240,"Delmiro_Gouveia",191956,381.99244,1723.76488,481.80956,0,349.35992,3.8199244,3.2248608,2.9945136,1.9579512
3,270430,"Maceio",1225781,2439.30419,11007.51338,3076.71031,0,2230.92142,24.3930419,20.5931208,19.1221836,12.5029662
3,270550,"Murici",41703,82.98897,374.49294,104.67453,0,75.89946,0.8298897,0.7006104,0.6505668,0.4253706
3,270670,"Penedo",135624,269.89176,1217.90352,340.41624,0,246.83568,2.6989176,2.2784832,2.1157344,1.3833648
3,270690,"Pilar",85742,170.62658,769.96316,215.21242,0,156.05044,1.7062658,1.4404656,1.3375752,0.8745684
3,270730,"Porto_Calvo",244111,485.78089,2192.11678,612.71861,0,444.28202,4.8578089,4.1010648,3.8081316,2.4899322
3,270800,"Santana_Do_Ipanema",153985,306.43015,1382.7853,386.50235,0,280.2527,3.0643015,2.586948,2.402166,1.570647
3,270840,"Sao_Jose_Da_Tapera",159021,316.45179,1428.00858,399.14271,0,289.41822,3.1645179,2.6715528,2.4807276,1.6220142
3,270930,"Uniao_Dos_Palmares",124764,248.28036,1120.38072,313.15764,0,227.07048,2.4828036,2.0960352,1.9463184,1.2725928
