NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,130002,"Alvaraes",1,"Physicians",17106,7.0135
1,130002,"Alvaraes",2,"Nurses",17106,43.2782
1,130002,"Alvaraes",3,"OtherCadres",17106,21.3825
1,130002,"Alvaraes",4,"CommunityBased",17106,83.4773
1,130002,"Alvaraes",5,"Beds",17106,0
1,130002,"Alvaraes",6,"CTScanner",17106,0
1,130002,"Alvaraes",7,"MRIUnit",17106,0
1,130002,"Alvaraes",8,"Mammography",17106,0
1,130002,"Alvaraes",9,"Radiotherapy",17106,0
1,130006,"Amatura",1,"Physicians",12222,5.011
1,130006,"Amatura",2,"Nurses",12222,30.9217
1,130006,"Amatura",3,"OtherCadres",12222,15.2775
1,130006,"Amatura",4,"CommunityBased",12222,59.6434
1,130006,"Amatura",5,"Beds",12222,0
1,130006,"Amatura",6,"CTScanner",12222,0
1,130006,"Amatura",7,"MRIUnit",12222,0
1,130006,"Amatura",8,"Mammography",12222,0
1,130006,"Amatura",9,"Radiotherapy",12222,0
1,130008,"Anama",1,"Physicians",14311,5.8675
1,130008,"Anama",2,"Nurses",14311,36.2068
1,130008,"Anama",3,"OtherCadres",14311,17.8888
1,130008,"Anama",4,"CommunityBased",14311,69.8377
1,130008,"Anama",5,"Beds",14311,0
1,130008,"Anama",6,"CTScanner",14311,0
1,130008,"Anama",7,"MRIUnit",14311,0
1,130008,"Anama",8,"Mammography",14311,0
1,130008,"Anama",9,"Radiotherapy",14311,0
1,130010,"Anori",1,"Physicians",22151,9.0819
1,130010,"Anori",2,"Nurses",22151,56.042
1,130010,"Anori",3,"OtherCadres",22151,27.6888
1,130010,"Anori",4,"CommunityBased",22151,108.0969
1,130010,"Anori",5,"Beds",22151,0
1,130010,"Anori",6,"CTScanner",22151,0
1,130010,"Anori",7,"MRIUnit",22151,0
1,130010,"Anori",8,"Mammography",22151,0
1,130010,"Anori",9,"Radiotherapy",22151,0
1,130014,"Apui",1,"Physicians",23278,9.544
1,130014,"Apui",2,"Nurses",23278,58.8933
1,130014,"Apui",3,"OtherCadres",23278,29.0975
1,130014,"Apui",4,"CommunityBased",23278,113.5966
1,130014,"Apui",5,"Beds",23278,0
1,130014,"Apui",6,"CTScanner",23278,0
1,130014,"Apui",7,"MRIUnit",23278,0
1,130014,"Apui",8,"Mammography",23278,0
1,130014,"Apui",9,"Radiotherapy",23278,0
1,130020,"Atalaia_Do_Norte",1,"Physicians",20965,8.5956
1,130020,"Atalaia_Do_Norte",2,"Nurses",20965,53.0415
1,130020,"Atalaia_Do_Norte",3,"OtherCadres",20965,26.2063
1,130020,"Atalaia_Do_Norte",4,"CommunityBased",20965,102.3092
1,130020,"Atalaia_Do_Norte",5,"Beds",20965,0
1,130020,"Atalaia_Do_Norte",6,"CTScanner",20965,0
1,130020,"Atalaia_Do_Norte",7,"MRIUnit",20965,0
1,130020,"Atalaia_Do_Norte",8,"Mammography",20965,0
1,130020,"Atalaia_Do_Norte",9,"Radiotherapy",20965,0
1,130030,"Autazes",1,"Physicians",41880,17.1708
1,130030,"Autazes",2,"Nurses",41880,105.9564
1,130030,"Autazes",3,"OtherCadres",41880,52.35
1,130030,"Autazes",4,"CommunityBased",41880,204.3744
1,130030,"Autazes",5,"Beds",41880,0
1,130030,"Autazes",6,"CTScanner",41880,0
1,130030,"Autazes",7,"MRIUnit",41880,0
1,130030,"Autazes",8,"Mammography",41880,0
1,130030,"Autazes",9,"Radiotherapy",41880,0
1,130040,"Barcelos",1,"Physicians",29513,12.1003
1,130040,"Barcelos",2,"Nurses",29513,74.6679
1,130040,"Barcelos",3,"OtherCadres",29513,36.8913
1,130040,"Barcelos",4,"CommunityBased",29513,144.0234
1,130040,"Barcelos",5,"Beds",29513,0
1,130040,"Barcelos",6,"CTScanner",29513,0
1,130040,"Barcelos",7,"MRIUnit",29513,0
1,130040,"Barcelos",8,"Mammography",29513,0
1,130040,"Barcelos",9,"Radiotherapy",29513,0
1,130050,"Barreirinha",1,"Physicians",34075,13.9708
1,130050,"Barreirinha",2,"Nurses",34075,86.2098
1,130050,"Barreirinha",3,"OtherCadres",34075,42.5938
1,130050,"Barreirinha",4,"CommunityBased",34075,166.286
1,130050,"Barreirinha",5,"Beds",34075,0
1,130050,"Barreirinha",6,"CTScanner",34075,0
1,130050,"Barreirinha",7,"MRIUnit",34075,0
1,130050,"Barreirinha",8,"Mammography",34075,0
1,130050,"Barreirinha",9,"Radiotherapy",34075,0
1,130060,"Benjamin_Constant",1,"Physicians",45321,18.5816
1,130060,"Benjamin_Constant",2,"Nurses",45321,114.6621
1,130060,"Benjamin_Constant",3,"OtherCadres",45321,56.6513
1,130060,"Benjamin_Constant",4,"CommunityBased",45321,221.1665
1,130060,"Benjamin_Constant",5,"Beds",45321,0
1,130060,"Benjamin_Constant",6,"CTScanner",45321,0
1,130060,"Benjamin_Constant",7,"MRIUnit",45321,0
1,130060,"Benjamin_Constant",8,"Mammography",45321,0
1,130060,"Benjamin_Constant",9,"Radiotherapy",45321,0
1,130063,"Beruri",1,"Physicians",20771,8.5161
1,130063,"Beruri",2,"Nurses",20771,52.5506
1,130063,"Beruri",3,"OtherCadres",20771,25.9638
1,130063,"Beruri",4,"CommunityBased",20771,101.3625
1,130063,"Beruri",5,"Beds",20771,0
1,130063,"Beruri",6,"CTScanner",20771,0
1,130063,"Beruri",7,"MRIUnit",20771,0
1,130063,"Beruri",8,"Mammography",20771,0
1,130063,"Beruri",9,"Radiotherapy",20771,0
1,130068,"Boa_Vista_Do_Ramos",1,"Physicians",20256,8.305
1,130068,"Boa_Vista_Do_Ramos",2,"Nurses",20256,51.2477
1,130068,"Boa_Vista_Do_Ramos",3,"OtherCadres",20256,25.32
1,130068,"Boa_Vista_Do_Ramos",4,"CommunityBased",20256,98.8493
1,130068,"Boa_Vista_Do_Ramos",5,"Beds",20256,0
1,130068,"Boa_Vista_Do_Ramos",6,"CTScanner",20256,0
1,130068,"Boa_Vista_Do_Ramos",7,"MRIUnit",20256,0
1,130068,"Boa_Vista_Do_Ramos",8,"Mammography",20256,0
1,130068,"Boa_Vista_Do_Ramos",9,"Radiotherapy",20256,0
1,130070,"Boca_Do_Acre",1,"Physicians",36645,15.0244
1,130070,"Boca_Do_Acre",2,"Nurses",36645,92.7119
1,130070,"Boca_Do_Acre",3,"OtherCadres",36645,45.8063
1,130070,"Boca_Do_Acre",4,"CommunityBased",36645,178.8276
1,130070,"Boca_Do_Acre",5,"Beds",36645,0
1,130070,"Boca_Do_Acre",6,"CTScanner",36645,0
1,130070,"Boca_Do_Acre",7,"MRIUnit",36645,0
1,130070,"Boca_Do_Acre",8,"Mammography",36645,0
1,130070,"Boca_Do_Acre",9,"Radiotherapy",36645,0
1,130080,"Borba",1,"Physicians",43751,17.9379
1,130080,"Borba",2,"Nurses",43751,110.69
1,130080,"Borba",3,"OtherCadres",43751,54.6888
1,130080,"Borba",4,"CommunityBased",43751,213.5049
1,130080,"Borba",5,"Beds",43751,0
1,130080,"Borba",6,"CTScanner",43751,0
1,130080,"Borba",7,"MRIUnit",43751,0
1,130080,"Borba",8,"Mammography",43751,0
1,130080,"Borba",9,"Radiotherapy",43751,0
1,130083,"Caapiranga",1,"Physicians",13888,5.6941
1,130083,"Caapiranga",2,"Nurses",13888,35.1366
1,130083,"Caapiranga",3,"OtherCadres",13888,17.36
1,130083,"Caapiranga",4,"CommunityBased",13888,67.7734
1,130083,"Caapiranga",5,"Beds",13888,0
1,130083,"Caapiranga",6,"CTScanner",13888,0
1,130083,"Caapiranga",7,"MRIUnit",13888,0
1,130083,"Caapiranga",8,"Mammography",13888,0
1,130083,"Caapiranga",9,"Radiotherapy",13888,0
1,130090,"Canutama",1,"Physicians",16664,6.8322
1,130090,"Canutama",2,"Nurses",16664,42.1599
1,130090,"Canutama",3,"OtherCadres",16664,20.83
1,130090,"Canutama",4,"CommunityBased",16664,81.3203
1,130090,"Canutama",5,"Beds",16664,0
1,130090,"Canutama",6,"CTScanner",16664,0
1,130090,"Canutama",7,"MRIUnit",16664,0
1,130090,"Canutama",8,"Mammography",16664,0
1,130090,"Canutama",9,"Radiotherapy",16664,0
1,130100,"Carauari",1,"Physicians",30281,12.4152
1,130100,"Carauari",2,"Nurses",30281,76.6109
1,130100,"Carauari",3,"OtherCadres",30281,37.8513
1,130100,"Carauari",4,"CommunityBased",30281,147.7713
1,130100,"Carauari",5,"Beds",30281,0
1,130100,"Carauari",6,"CTScanner",30281,0
1,130100,"Carauari",7,"MRIUnit",30281,0
1,130100,"Carauari",8,"Mammography",30281,0
1,130100,"Carauari",9,"Radiotherapy",30281,0
