NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	160005	Serra_Do_Navio	5723.00	9.56	6.87	14.36	0.00	15.28	0.04	0.03	0.02	0.00
2	160010	Amapa	9738.00	16.26	11.69	24.44	0.00	26.00	0.06	0.05	0.03	0.00
2	160015	Pedra_Branca_Do_Amapari	17182.00	28.69	20.62	43.13	0.00	45.88	0.11	0.09	0.05	0.01
2	160020	Calcoene	11784.00	19.68	14.14	29.58	0.00	31.46	0.08	0.06	0.04	0.00
2	160021	Cutias	6325.00	10.56	7.59	15.88	0.00	16.89	0.04	0.03	0.02	0.00
2	160023	Ferreira_Gomes	8187.00	13.67	9.82	20.55	0.00	21.86	0.05	0.04	0.03	0.00
2	160025	Itaubal	5810.00	9.70	6.97	14.58	0.00	15.51	0.04	0.03	0.02	0.00
2	160027	Laranjal_Do_Jari	53330.00	89.06	64.00	133.86	0.00	142.39	0.35	0.27	0.17	0.02
2	160030	Macapa	532408.00	889.12	638.89	1336.34	0.00	1421.53	3.51	2.66	1.65	0.16
2	160050	Oiapoque	28718.00	47.96	34.46	72.08	0.00	76.68	0.19	0.14	0.09	0.01
2	160053	Porto_Grande	23172.00	38.70	27.81	58.16	0.00	61.87	0.15	0.12	0.07	0.01
2	160060	Santana	151877.00	253.63	182.25	381.21	0.00	405.51	1.00	0.76	0.47	0.05
2	160070	Tartarugalzinho	23564.00	39.35	28.28	59.15	0.00	62.92	0.16	0.12	0.07	0.01
2	160080	Vitoria_Do_Jari	16831.00	28.11	20.20	42.25	0.00	44.94	0.11	0.08	0.05	0.01
