NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,160005,"Serra_Do_Navio",1,"Physicians",5723,2.3464
1,160005,"Serra_Do_Navio",2,"Nurses",5723,14.4792
1,160005,"Serra_Do_Navio",3,"OtherCadres",5723,7.1538
1,160005,"Serra_Do_Navio",4,"CommunityBased",5723,27.9282
1,160005,"Serra_Do_Navio",5,"Beds",5723,0
1,160005,"Serra_Do_Navio",6,"CTScanner",5723,0
1,160005,"Serra_Do_Navio",7,"MRIUnit",5723,0
1,160005,"Serra_Do_Navio",8,"Mammography",5723,0
1,160005,"Serra_Do_Navio",9,"Radiotherapy",5723,0
1,160010,"Amapa",1,"Physicians",9738,3.9926
1,160010,"Amapa",2,"Nurses",9738,24.6371
1,160010,"Amapa",3,"OtherCadres",9738,12.1725
1,160010,"Amapa",4,"CommunityBased",9738,47.5214
1,160010,"Amapa",5,"Beds",9738,0
1,160010,"Amapa",6,"CTScanner",9738,0
1,160010,"Amapa",7,"MRIUnit",9738,0
1,160010,"Amapa",8,"Mammography",9738,0
1,160010,"Amapa",9,"Radiotherapy",9738,0
1,160015,"Pedra_Branca_Do_Amapari",1,"Physicians",17182,7.0446
1,160015,"Pedra_Branca_Do_Amapari",2,"Nurses",17182,43.4705
1,160015,"Pedra_Branca_Do_Amapari",3,"OtherCadres",17182,21.4775
1,160015,"Pedra_Branca_Do_Amapari",4,"CommunityBased",17182,83.8482
1,160015,"Pedra_Branca_Do_Amapari",5,"Beds",17182,0
1,160015,"Pedra_Branca_Do_Amapari",6,"CTScanner",17182,0
1,160015,"Pedra_Branca_Do_Amapari",7,"MRIUnit",17182,0
1,160015,"Pedra_Branca_Do_Amapari",8,"Mammography",17182,0
1,160015,"Pedra_Branca_Do_Amapari",9,"Radiotherapy",17182,0
1,160020,"Calcoene",1,"Physicians",11784,4.8314
1,160020,"Calcoene",2,"Nurses",11784,29.8135
1,160020,"Calcoene",3,"OtherCadres",11784,14.73
1,160020,"Calcoene",4,"CommunityBased",11784,57.5059
1,160020,"Calcoene",5,"Beds",11784,0
1,160020,"Calcoene",6,"CTScanner",11784,0
1,160020,"Calcoene",7,"MRIUnit",11784,0
1,160020,"Calcoene",8,"Mammography",11784,0
1,160020,"Calcoene",9,"Radiotherapy",11784,0
1,160021,"Cutias",1,"Physicians",6325,2.5933
1,160021,"Cutias",2,"Nurses",6325,16.0022
1,160021,"Cutias",3,"OtherCadres",6325,7.9063
1,160021,"Cutias",4,"CommunityBased",6325,30.866
1,160021,"Cutias",5,"Beds",6325,0
1,160021,"Cutias",6,"CTScanner",6325,0
1,160021,"Cutias",7,"MRIUnit",6325,0
1,160021,"Cutias",8,"Mammography",6325,0
1,160021,"Cutias",9,"Radiotherapy",6325,0
1,160023,"Ferreira_Gomes",1,"Physicians",8187,3.3567
1,160023,"Ferreira_Gomes",2,"Nurses",8187,20.7131
1,160023,"Ferreira_Gomes",3,"OtherCadres",8187,10.2338
1,160023,"Ferreira_Gomes",4,"CommunityBased",8187,39.9526
