CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
290020,"Abare",290020,"Abare",0,3
290100,"Amargosa",290100,"Amargosa",0,3
290430,"Brejoes",290100,"Amargosa",0.77,3
292940,"Sao_Miguel_Das_Matas",290100,"Amargosa",0.53,3
293210,"Ubaira",290100,"Amargosa",0.88,3
290120,"Anage",290120,"Anage",0,3
290200,"Aracatu",290120,"Anage",0.86,3
290160,"Antas",290160,"Antas",0,3
291810,"Jeremoabo",290160,"Antas",0.81,3
290270,"Barra",290270,"Barra",0,3
290280,"Barra_Da_Estiva",290280,"Barra_Da_Estiva",0,3
290140,"Angical",290320,"Barreiras",0.72,3
290320,"Barreiras",290320,"Barreiras",0,3
290970,"Cristopolis",290320,"Barreiras",1.13,3
292620,"Riachao_Das_Neves",290320,"Barreiras",1,3
290340,"Belmonte",290340,"Belmonte",0,3
290350,"Belo_Campo",290350,"Belo_Campo",0,3
290390,"Bom_Jesus_Da_Lapa",290390,"Bom_Jesus_Da_Lapa",0,3
293075,"Sitio_Do_Mato",290390,"Bom_Jesus_Da_Lapa",0.77,3
290460,"Brumado",290460,"Brumado",0,3
291010,"Dom_Basilio",290460,"Brumado",0.84,3
290475,"Buritirama",290475,"Buritirama",0,3
290500,"Cacule",290500,"Cacule",0,3
291940,"Licinio_De_Almeida",290500,"Cacule",0.74,3
290520,"Caetite",290520,"Caetite",0,3
291875,"Lagoa_Real",290520,"Caetite",0.98,3
290560,"Camacan",290560,"Camacan",0,3
290590,"Campo_Alegre_De_Lourdes",290590,"Campo_Alegre_De_Lourdes",0,3
290530,"Cafarnaum",290620,"Canarana",0.83,3
290620,"Canarana",290620,"Canarana",0,3
293080,"Souto_Soares",290620,"Canarana",0.78,3
290670,"Candido_Sales",290670,"Candido_Sales",0,3
290680,"Cansancao",290680,"Cansancao",0,3
292265,"Nordestina",290680,"Cansancao",0.55,3
292580,"Queimadas",290680,"Cansancao",0.63,3
290685,"Capela_Do_Alto_Alegre",290687,"Capim_Grosso",0.87,3
290687,"Capim_Grosso",290687,"Capim_Grosso",0,3
293305,"Varzea_Da_Roca",290687,"Capim_Grosso",0.62,3
290710,"Carinhanha",290710,"Carinhanha",0,3
292020,"Malhada",290710,"Carinhanha",0.17,3
290720,"Casa_Nova",290720,"Casa_Nova",0,3
290750,"Catu",290750,"Catu",0,3
292860,"Santo_Amaro",290750,"Catu",0.98,3
290800,"Coaraci",290800,"Coaraci",0,3
290810,"Cocos",290810,"Cocos",0,3
290910,"Coribe",290810,"Cocos",0.74,3
290830,"Conceicao_Do_Almeida",290830,"Conceicao_Do_Almeida",0,3
290860,"Conde",290860,"Conde",0,3
290870,"Condeuba",290870,"Condeuba",0,3
290930,"Correntina",290930,"Correntina",0,3
290990,"Curaca",290990,"Curaca",0,3
291040,"Encruzilhada",291040,"Encruzilhada",0,3
291070,"Euclides_Da_Cunha",291070,"Euclides_Da_Cunha",0,3
292150,"Monte_Santo",291070,"Euclides_Da_Cunha",0.57,3
293190,"Tucano",291070,"Euclides_Da_Cunha",0.87,3
291072,"Eunapolis",291072,"Eunapolis",0,3
292530,"Porto_Seguro",291072,"Eunapolis",0.97,3
291080,"Feira_De_Santana",291080,"Feira_De_Santana",0,3
292880,"Santo_Estevao",291080,"Feira_De_Santana",0.53,3
292930,"Sao_Goncalo_Dos_Campos",291080,"Feira_De_Santana",0.44,3
291120,"Gandu",291120,"Gandu",0,3
293220,"Ubaitaba",291120,"Gandu",0.97,3
290660,"Candiba",291170,"Guanambi",0.55,3
291170,"Guanambi",291170,"Guanambi",0,3
292450,"Pindai",291170,"Guanambi",0.59,3
291320,"Ibotirama",291320,"Ibotirama",0,3
292370,"Paratinga",291320,"Ibotirama",0.98,3
291360,"Ilheus",291360,"Ilheus",0,3
291400,"Ipira",291400,"Ipira",0,3
291440,"Iraquara",291440,"Iraquara",0,3
290070,"Alagoinhas",291450,"Irara",0.78,3
290890,"Coracao_De_Maria",291450,"Irara",0.42,3
291450,"Irara",291450,"Irara",0,3
293050,"Serrinha",291450,"Irara",0.96,3
290380,"Boa_Vista_Do_Tupim",291470,"Itaberaba",0.82,3
291190,"Iacu",291470,"Itaberaba",0.51,3
291470,"Itaberaba",291470,"Itaberaba",0,3
291480,"Itabuna",291480,"Itabuna",0,3
291490,"Itacare",291490,"Itacare",0,3
291210,"Ibicarai",291550,"Itajuipe",0.92,3
291550,"Itajuipe",291550,"Itajuipe",0,3
291560,"Itamaraju",291560,"Itamaraju",0,3
293135,"Teixeira_De_Freitas",291560,"Itamaraju",0.93,3
291580,"Itambe",291580,"Itambe",0,3
291610,"Itaparica",291610,"Itaparica",0,3
291680,"Itarantim",291680,"Itarantim",0,3
291085,"Filadelfia",291700,"Itiuba",0.62,3
291700,"Itiuba",291700,"Itiuba",0,3
291230,"Ibicui",291710,"Itororo",0.85,3
