NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,230020,"Acarau",138197,56.66077,349.63841,172.74625,674.40136,0,0,0,0,0
1,230030,"Acopiara",58167,23.84847,147.16251,72.70875,283.85496,0,0,0,0,0
1,230040,"Aiuaba",18662,7.65142,47.21486,23.3275,91.07056,0,0,0,0,0
1,230060,"Altaneira",8112,3.32592,20.52336,10.14,39.58656,0,0,0,0,0
1,230070,"Alto_Santo",18439,7.55999,46.65067,23.04875,89.98232,0,0,0,0,0
1,230080,"Antonina_Do_Norte",7904,3.24064,19.99712,9.88,38.57152,0,0,0,0,0
1,230100,"Aquiraz",142847,58.56727,361.40291,178.55875,697.09336,0,0,0,0,0
1,230110,"Aracati",97545,39.99345,246.78885,121.93125,476.0196,0,0,0,0,0
1,230120,"Aracoiaba",28533,11.69853,72.18849,35.66625,139.24104,0,0,0,0,0
1,230125,"Ararenda",37557,15.39837,95.01921,46.94625,183.27816,0,0,0,0,0
1,230130,"Araripe",35092,14.38772,88.78276,43.865,171.24896,0,0,0,0,0
1,230150,"Arneiroz",8452,3.46532,21.38356,10.565,41.24576,0,0,0,0,0
1,230160,"Assare",25256,10.35496,63.89768,31.57,123.24928,0,0,0,0,0
1,230170,"Aurora",26639,10.92199,67.39667,33.29875,129.99832,0,0,0,0,0
1,230185,"Banabuiu",19577,8.02657,49.52981,24.47125,95.53576,0,0,0,0,0
1,230190,"Barbalha",103343,42.37063,261.45779,129.17875,504.31384,0,0,0,0,0
1,230200,"Barro",24368,9.99088,61.65104,30.46,118.91584,0,0,0,0,0
1,230205,"Barroquinha",30238,12.39758,76.50214,37.7975,147.56144,0,0,0,0,0
1,230210,"Baturite",38369,15.73129,97.07357,47.96125,187.24072,0,0,0,0,0
1,230220,"Beberibe",57617,23.62297,145.77101,72.02125,281.17096,0,0,0,0,0
1,230230,"Bela_Cruz",35153,14.41273,88.93709,43.94125,171.54664,0,0,0,0,0
1,230240,"Boa_Viagem",58716,24.07356,148.55148,73.395,286.53408,0,0,0,0,0
1,230250,"Brejo_Santo",52966,21.71606,134.00398,66.2075,258.47408,0,0,0,0,0
1,230260,"Camocim",68389,28.03949,173.02417,85.48625,333.73832,0,0,0,0,0
1,230270,"Campos_Sales",29562,12.12042,74.79186,36.9525,144.26256,0,0,0,0,0
1,230280,"Caninde",84180,34.5138,212.9754,105.225,410.7984,0,0,0,0,0
1,230290,"Capistrano",53142,21.78822,134.44926,66.4275,259.33296,0,0,0,0,0
1,230300,"Caridade",24189,9.91749,61.19817,30.23625,118.04232,0,0,0,0,0
1,230310,"Carire",20279,8.31439,51.30587,25.34875,98.96152,0,0,0,0,0
1,230320,"Caririacu",29223,11.98143,73.93419,36.52875,142.60824,0,0,0,0,0
1,230350,"Cascavel",77115,31.61715,195.10095,96.39375,376.3212,0,0,0,0,0
1,230360,"Catarina",22177,9.09257,56.10781,27.72125,108.22376,0,0,0,0,0
1,230380,"Cedro",27232,11.16512,68.89696,34.04,132.89216,0,0,0,0,0
1,230393,"Choro",14535,5.95935,36.77355,18.16875,70.9308,0,0,0,0,0
1,230400,"Coreau",46892,19.22572,118.63676,58.615,228.83296,0,0,0,0,0
1,230410,"Crateus",80872,33.15752,204.60616,101.09,394.65536,0,0,0,0,0
1,230420,"Crato",141691,58.09331,358.47823,177.11375,691.45208,0,0,0,0,0
1,230423,"Croata",19407,7.95687,49.09971,24.25875,94.70616,0,0,0,0,0
1,230426,"Deputado_Irapuan_Pinheiro",10338,4.23858,26.15514,12.9225,50.44944,0,0,0,0,0
1,230427,"Erere",23121,9.47961,58.49613,28.90125,112.83048,0,0,0,0,0
1,230430,"Farias_Brito",20365,8.34965,51.52345,25.45625,99.3812,0,0,0,0,0
1,230440,"Fortaleza",2850868,1168.85588,7212.69604,3563.585,13912.23584,0,0,0,0,0
1,230450,"Frecheirinha",14839,6.08399,37.54267,18.54875,72.41432,0,0,0,0,0
1,230470,"Granja",59028,24.20148,149.34084,73.785,288.05664,0,0,0,0,0
1,230490,"Groairas",11946,4.89786,30.22338,14.9325,58.29648,0,0,0,0,0
1,230495,"Guaiuba",28551,11.70591,72.23403,35.68875,139.32888,0,0,0,0,0
1,230500,"Guaraciaba_Do_Norte",61973,25.40893,156.79169,77.46625,302.42824,0,0,0,0,0
1,230520,"Hidrolandia",21951,8.99991,55.53603,27.43875,107.12088,0,0,0,0,0
1,230523,"Horizonte",92172,37.79052,233.19516,115.215,449.79936,0,0,0,0,0
1,230530,"Ibiapina",26958,11.05278,68.20374,33.6975,131.55504,0,0,0,0,0
1,230533,"Ibicuitinga",13394,5.49154,33.88682,16.7425,65.36272,0,0,0,0,0
1,230535,"Icapui",21360,8.7576,54.0408,26.7,104.2368,0,0,0,0,0
1,230540,"Ico",73311,30.05751,185.47683,91.63875,357.75768,0,0,0,0,0
1,230560,"Independencia",28223,11.57143,71.40419,35.27875,137.72824,0,0,0,0,0
1,230570,"Ipaumirim",20181,8.27421,51.05793,25.22625,98.48328,0,0,0,0,0
1,230580,"Ipu",56867,23.31547,143.87351,71.08375,277.51096,0,0,0,0,0
1,230590,"Ipueiras",41206,16.89446,104.25118,51.5075,201.08528,0,0,0,0,0
1,230610,"Iraucuba",82231,33.71471,208.04443,102.78875,401.28728,0,0,0,0,0
1,230625,"Itaitinga",42622,17.47502,107.83366,53.2775,207.99536,0,0,0,0,0
1,230640,"Itapipoca",184719,75.73479,467.33907,230.89875,901.42872,0,0,0,0,0
1,230660,"Itatira",22419,9.19179,56.72007,28.02375,109.40472,0,0,0,0,0
1,230670,"Jaguaretama",19524,8.00484,49.39572,24.405,95.27712,0,0,0,0,0
1,230680,"Jaguaribara",12251,5.02291,30.99503,15.31375,59.78488,0,0,0,0,0
1,230690,"Jaguaribe",37457,15.35737,94.76621,46.82125,182.79016,0,0,0,0,0
1,230700,"Jaguaruana",36635,15.02035,92.68655,45.79375,178.7788,0,0,0,0,0
1,230710,"Jardim",29427,12.06507,74.45031,36.78375,143.60376,0,0,0,0,0
