NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,320010,"Afonso_Claudio",44955,75.07485,53.946,112.83705,0,120.02985,0.296703,0.224775,0.1393605,0.0134865
2,320060,"Aracruz",161075,268.99525,193.29,404.29825,0,430.07025,1.063095,0.805375,0.4993325,0.0483225
2,320080,"Baixo_Guandu",33286,55.58762,39.9432,83.54786,0,88.87362,0.2196876,0.16643,0.1031866,0.0099858
2,320090,"Barra_De_Sao_Francisco",70212,117.25404,84.2544,176.23212,0,187.46604,0.4633992,0.35106,0.2176572,0.0210636
2,320120,"Cachoeiro_De_Itapemirim",258872,432.31624,310.6464,649.76872,0,691.18824,1.7085552,1.29436,0.8025032,0.0776616
2,320130,"Cariacica",491340,820.5378,589.608,1233.2634,0,1311.8778,3.242844,2.4567,1.523154,0.147402
2,320140,"Castelo",40248,67.21416,48.2976,101.02248,0,107.46216,0.2656368,0.20124,0.1247688,0.0120744
2,320150,"Colatina",158114,264.05038,189.7368,396.86614,0,422.16438,1.0435524,0.79057,0.4901534,0.0474342
2,320160,"Conceicao_Da_Barra",33272,55.56424,39.9264,83.51272,0,88.83624,0.2195952,0.16636,0.1031432,0.0099816
2,320170,"Conceicao_Do_Castelo",26985,45.06495,32.382,67.73235,0,72.04995,0.178101,0.134925,0.0836535,0.0080955
2,320190,"Domingos_Martins",54116,90.37372,64.9392,135.83116,0,144.48972,0.3571656,0.27058,0.1677596,0.0162348
2,320210,"Ecoporanga",24822,41.45274,29.7864,62.30322,0,66.27474,0.1638252,0.12411,0.0769482,0.0074466
2,320225,"Governador_Lindenberg",34022,56.81674,40.8264,85.39522,0,90.83874,0.2245452,0.17011,0.1054682,0.0102066
2,320230,"Guacui",95319,159.18273,114.3828,239.25069,0,254.50173,0.6291054,0.476595,0.2954889,0.0285957
2,320240,"Guarapari",132642,221.51214,159.1704,332.93142,0,354.15414,0.8754372,0.66321,0.4111902,0.0397926
2,320260,"Iconha",30535,50.99345,36.642,76.64285,0,81.52845,0.201531,0.152675,0.0946585,0.0091605
2,320280,"Itapemirim",144371,241.09957,173.2452,362.37121,0,385.47057,0.9528486,0.721855,0.4475501,0.0433113
2,320300,"Iuna",87627,146.33709,105.1524,219.94377,0,233.96409,0.5783382,0.438135,0.2716437,0.0262881
2,320320,"Linhares",215508,359.89836,258.6096,540.92508,0,575.40636,1.4223528,1.07754,0.6680748,0.0646524
2,320330,"Mantenopolis",16387,27.36629,19.6644,41.13137,0,43.75329,0.1081542,0.081935,0.0507997,0.0049161
2,320340,"Mimoso_Do_Sul",78355,130.85285,94.026,196.67105,0,209.20785,0.517143,0.391775,0.2429005,0.0235065
2,320350,"Montanha",34627,57.82709,41.5524,86.91377,0,92.45409,0.2285382,0.173135,0.1073437,0.0103881
2,320370,"Muniz_Freire",18996,31.72332,22.7952,47.67996,0,50.71932,0.1253736,0.09498,0.0588876,0.0056988
2,320390,"Nova_Venecia",63581,106.18027,76.2972,159.58831,0,169.76127,0.4196346,0.317905,0.1971011,0.0190743
2,320400,"Pancas",33281,55.57927,39.9372,83.53531,0,88.86027,0.2196546,0.166405,0.1031711,0.0099843
2,320405,"Pedro_Canario",28023,46.79841,33.6276,70.33773,0,74.82141,0.1849518,0.140115,0.0868713,0.0084069
2,320410,"Pinheiros",45024,75.19008,54.0288,113.01024,0,120.21408,0.2971584,0.22512,0.1395744,0.0135072
2,320455,"Santa_Maria_De_Jetiba",69649,116.31383,83.5788,174.81899,0,185.96283,0.4596834,0.348245,0.2159119,0.0208947
2,320460,"Santa_Teresa",38495,64.28665,46.194,96.62245,0,102.78165,0.254067,0.192475,0.1193345,0.0115485
2,320470,"Sao_Gabriel_Da_Palha",64754,108.13918,77.7048,162.53254,0,172.89318,0.4273764,0.32377,0.2007374,0.0194262
2,320490,"Sao_Mateus",170892,285.38964,205.0704,428.93892,0,456.28164,1.1278872,0.85446,0.5297652,0.0512676
2,320500,"Serra",547469,914.27323,656.9628,1374.14719,0,1461.74223,3.6132954,2.737345,1.6971539,0.1642407
2,320506,"Venda_Nova_Do_Imigrante",26748,44.66916,32.0976,67.13748,0,71.41716,0.1765368,0.13374,0.0829188,0.0080244
2,320520,"Vila_Velha",524399,875.74633,629.2788,1316.24149,0,1400.14533,3.4610334,2.621995,1.6256369,0.1573197
2,320530,"Vitoria",386408,645.30136,463.6896,969.88408,0,1031.70936,2.5502928,1.93204,1.1978648,0.1159224
