NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,520013,"Acreuna",108236,215.38964,971.95928,271.67236,0,196.98952,2.1538964,1.8183648,1.6884816,1.1040072
3,520025,"Aguas_Lindas_De_Goias",223335,444.43665,2005.5483,560.57085,0,406.4697,4.4443665,3.752028,3.484026,2.278017
3,520060,"Alto_Paraiso_De_Goias",26262,52.26138,235.83276,65.91762,0,47.79684,0.5226138,0.4412016,0.4096872,0.2678724
3,520080,"Alvorada_Do_Norte",98295,195.60705,882.6891,246.72045,0,178.8969,1.9560705,1.651356,1.533402,1.002609
3,520110,"Anapolis",733149,1458.96651,6583.67802,1840.20399,0,1334.33118,14.5896651,12.3169032,11.4371244,7.4781198
3,520130,"Anicuns",88981,177.07219,799.04938,223.34231,0,161.94542,1.7707219,1.4948808,1.3881036,0.9076062
3,520140,"Aparecida_De_Goiania",679425,1352.05575,6101.2365,1705.35675,0,1236.5535,13.5205575,11.41434,10.59903,6.930135
3,520215,"Araguapaz",15568,30.98032,139.80064,39.07568,0,28.33376,0.3098032,0.2615424,0.2428608,0.1587936
3,520250,"Aruana",16606,33.04594,149.12188,41.68106,0,30.22292,0.3304594,0.2789808,0.2590536,0.1693812
3,520330,"Bela_Vista_De_Goias",58184,115.78616,522.49232,146.04184,0,105.89488,1.1578616,0.9774912,0.9076704,0.5934768
3,520400,"Cabeceiras",8563,17.04037,76.89574,21.49313,0,15.58466,0.1704037,0.1438584,0.1335828,0.0873426
3,520425,"Cachoeira_Dourada",168102,334.52298,1509.55596,421.93602,0,305.94564,3.3452298,2.8241136,2.6223912,1.7146404
3,520430,"Cacu",51699,102.88101,464.25702,129.76449,0,94.09218,1.0288101,0.8685432,0.8065044,0.5273298
3,520440,"Caiaponia",31896,63.47304,286.42608,80.05896,0,58.05072,0.6347304,0.5358528,0.4975776,0.3253392
3,520490,"Campos_Belos",30513,60.72087,274.00674,76.58763,0,55.53366,0.6072087,0.5126184,0.4760028,0.3112326
3,520510,"Catalao",140081,278.76119,1257.92738,351.60331,0,254.94742,2.7876119,2.3533608,2.1852636,1.4288262
3,520530,"Cavalcante",14138,28.13462,126.95924,35.48638,0,25.73116,0.2813462,0.2375184,0.2205528,0.1442076
3,520547,"Chapadao_Do_Ceu",10615,21.12385,95.3227,26.64365,0,19.3193,0.2112385,0.178332,0.165594,0.108273
3,520590,"Corumbaiba",14743,29.33857,132.39214,37.00493,0,26.83226,0.2933857,0.2476824,0.2299908,0.1503786
3,520620,"Cristalina",62296,123.96904,559.41808,156.36296,0,113.37872,1.2396904,1.0465728,0.9718176,0.6354192
3,520740,"Edeia",30659,61.01141,275.31782,76.95409,0,55.79938,0.6101141,0.5150712,0.4782804,0.3127218
3,520790,"Flores_De_Goias",23864,47.48936,214.29872,59.89864,0,43.43248,0.4748936,0.4009152,0.3722784,0.2434128
3,520800,"Formosa",225079,447.90721,2021.20942,564.94829,0,409.64378,4.4790721,3.7813272,3.5112324,2.2958058
3,520860,"Goianesia",96080,191.1992,862.7984,241.1608,0,174.8656,1.911992,1.614144,1.498848,0.980016
3,520870,"Goiania",1887076,3755.28124,16945.94248,4736.56076,0,3434.47832,37.5528124,31.7028768,29.4383856,19.2481752
3,520890,"Goias",53369,106.20431,479.25362,133.95619,0,97.13158,1.0620431,0.8965992,0.8325564,0.5443638
3,520910,"Goiatuba",41651,82.88549,374.02598,104.54401,0,75.80482,0.8288549,0.6997368,0.6497556,0.4248402
3,521010,"Ipameri",79601,158.40599,714.81698,199.79851,0,144.87382,1.5840599,1.3372968,1.2417756,0.8119302
3,521020,"Ipora",46322.0000000009,92.1807800000019,415.971560000008,116.268220000002,0,84.3060400000017,0.9218078,0.7782096,0.7226232,0.4724844
3,521090,"Itapaci",28796,57.30404,258.58808,72.27796,0,52.40872,0.5730404,0.4837728,0.4492176,0.2937192
3,521120,"Itapuranga",51493,102.47107,462.40714,129.24743,0,93.71726,1.0247107,0.8650824,0.8032908,0.5252286
3,521180,"Jaragua",81787,162.75613,734.44726,205.28537,0,148.85234,1.6275613,1.3740216,1.2758772,0.8342274
3,521190,"Jatai",107503,213.93097,965.37694,269.83253,0,195.65546,2.1393097,1.8060504,1.6770468,1.0965306
3,521220,"Jussara",40996,81.58204,368.14408,102.89996,0,74.61272,0.8158204,0.6887328,0.6395376,0.4181592
