CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
310160,"Alfenas",310160,"Alfenas",0,3
310200,"Alterosa",310160,"Alfenas",0.84,3
310430,"Areado",310160,"Alfenas",0.65,3
311160,"Campos_Gerais",310160,"Alfenas",0.62,3
312360,"Eloi_Mendes",310160,"Alfenas",0.93,3
313900,"Machado",310160,"Alfenas",0.62,3
314300,"Monte_Belo",310160,"Alfenas",1,3
310350,"Araguari",310350,"Araguari",0,3
313070,"Indianopolis",310350,"Araguari",1.07,3
310400,"Araxa",310400,"Araxa",0,3
311150,"Campos_Altos",310400,"Araxa",1.55,3
312950,"Ibia",310400,"Araxa",1.17,3
315770,"Santa_Juliana",310400,"Araxa",1.28,3
310290,"Antonio_Carlos",310560,"Barbacena",0.29,3
310560,"Barbacena",310560,"Barbacena",0,3
311320,"Carandai",310560,"Barbacena",0.57,3
312940,"Ibertioga",310560,"Barbacena",0.66,3
314160,"Merces",310560,"Barbacena",1.02,3
315270,"Prados",310560,"Barbacena",0.96,3
316070,"Santos_Dumont",310560,"Barbacena",0.63,3
310620,"Belo_Horizonte",310620,"Belo_Horizonte",0,3
312410,"Esmeraldas",310620,"Belo_Horizonte",0.99,3
315670,"Sabara",310620,"Belo_Horizonte",0.45,3
310670,"Betim",310670,"Betim",0,3
310900,"Brumadinho",310670,"Betim",0.62,3
313220,"Itaguara",310670,"Betim",0.93,3
310780,"Bom_Jesus_Do_Galho",311340,"Caratinga",0.59,3
311340,"Caratinga",311340,"Caratinga",0,3
315400,"Raul_Soares",311340,"Caratinga",1.11,3
316840,"Tarumirim",311340,"Caratinga",0.99,3
310150,"Alem_Paraiba",311530,"Cataguases",1.04,3
311530,"Cataguases",311530,"Cataguases",0,3
310640,"Belo_Vale",311830,"Conselheiro_Lafaiete",0.94,3
311830,"Conselheiro_Lafaiete",311830,"Conselheiro_Lafaiete",0,3
312390,"Entre_Rios_De_Minas",311830,"Conselheiro_Lafaiete",0.94,3
313540,"Jeceaba",311830,"Conselheiro_Lafaiete",0.7,3
315520,"Rio_Espera",311830,"Conselheiro_Lafaiete",1.19,3
311860,"Contagem",311860,"Contagem",0,3
310630,"Belo_Oriente",311940,"Coronel_Fabriciano",0.83,3
311940,"Coronel_Fabriciano",311940,"Coronel_Fabriciano",0,3
312800,"Guanhaes",311940,"Coronel_Fabriciano",2.37,3
310480,"Augusto_De_Lima",312090,"Curvelo",1.29,3
311350,"Carbonita",312090,"Curvelo",3.98,3
312090,"Curvelo",312090,"Curvelo",0,3
312760,"Gouveia",312090,"Curvelo",1.48,3
316935,"Tres_Marias",312090,"Curvelo",1.63,3
317080,"Varzea_Da_Palma",312090,"Curvelo",2.24,3
311400,"Carmo_Da_Mata",312230,"Divinopolis",0.92,3
312230,"Divinopolis",312230,"Divinopolis",0,3
313350,"Itapecerica",312230,"Divinopolis",1.04,3
313380,"Itauna",312230,"Divinopolis",0.82,3
312210,"Divino_Das_Laranjeiras",312770,"Governador_Valadares",1.07,3
312690,"Frei_Inocencio",312770,"Governador_Valadares",0.66,3
312770,"Governador_Valadares",312770,"Governador_Valadares",0,3
313320,"Itanhomi",312770,"Governador_Valadares",0.97,3
315430,"Resplendor",312770,"Governador_Valadares",2.13,3
316550,"Sardoa",312770,"Governador_Valadares",1.15,3
313130,"Ipatinga",313130,"Ipatinga",0,3
314170,"Mesquita",313130,"Ipatinga",0.65,3
312590,"Ferros",313170,"Itabira",1.3,3
313170,"Itabira",313170,"Itabira",0,3
314470,"Nova_Era",313170,"Itabira",0.85,3
315800,"Santa_Maria_De_Itabira",313170,"Itabira",0.57,3
311410,"Carmo_De_Minas",313240,"Itajuba",1.17,3
313240,"Itajuba",313240,"Itajuba",0,3
314730,"Paraisopolis",313240,"Itajuba",0.89,3
314910,"Pedralva",313240,"Itajuba",0.65,3
311260,"Capinopolis",313420,"Ituiutaba",0.66,3
312910,"Gurinhata",313420,"Ituiutaba",1.14,3
313420,"Ituiutaba",313420,"Ituiutaba",0,3
313440,"Iturama",313420,"Ituiutaba",2.94,3
315980,"Santa_Vitoria",313420,"Ituiutaba",1.22,3
