NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,500020,"Agua_Clara",16455,6.74655,41.63115,20.56875,80.3004,0,0,0,0,0
1,500025,"Alcinopolis",5682,2.32962,14.37546,7.1025,27.72816,0,0,0,0,0
1,500060,"Amambai",42018,17.22738,106.30554,52.5225,205.04784,0,0,0,0,0
1,500070,"Anastacio",27102,11.11182,68.56806,33.8775,132.25776,0,0,0,0,0
1,500080,"Anaurilandia",9699,3.97659,24.53847,12.12375,47.33112,0,0,0,0,0
1,500085,"Angelica",11454,4.69614,28.97862,14.3175,55.89552,0,0,0,0,0
1,500090,"Antonio_Joao",9589,3.93149,24.26017,11.98625,46.79432,0,0,0,0,0
1,500100,"Aparecida_Do_Taboado",27429,11.24589,69.39537,34.28625,133.85352,0,0,0,0,0
1,500110,"Aquidauana",51537,21.13017,130.38861,64.42125,251.50056,0,0,0,0,0
1,500124,"Aral_Moreira",12903,5.29023,32.64459,16.12875,62.96664,0,0,0,0,0
1,500150,"Bandeirantes",15031,6.16271,38.02843,18.78875,73.35128,0,0,0,0,0
1,500190,"Bataguassu",24501,10.04541,61.98753,30.62625,119.56488,0,0,0,0,0
1,500210,"Bela_Vista",26433,10.83753,66.87549,33.04125,128.99304,0,0,0,0,0
1,500215,"Bodoquena",8431,3.45671,21.33043,10.53875,41.14328,0,0,0,0,0
1,500220,"Bonito",23445,9.61245,59.31585,29.30625,114.4116,0,0,0,0,0
1,500230,"Brasilandia",12825,5.25825,32.44725,16.03125,62.586,0,0,0,0,0
1,500240,"Caarapo",32079,13.15239,81.15987,40.09875,156.54552,0,0,0,0,0
1,500260,"Camapua",14805,6.07005,37.45665,18.50625,72.2484,0,0,0,0,0
1,500270,"Campo_Grande",955282,391.66562,2416.86346,1194.1025,4661.77616,0,0,0,0,0
1,500280,"Caracol",6524,2.67484,16.50572,8.155,31.83712,0,0,0,0,0
1,500290,"Cassilandia",23594,9.67354,59.69282,29.4925,115.13872,0,0,0,0,0
1,500295,"Chapadao_Do_Sul",26488,10.86008,67.01464,33.11,129.26144,0,0,0,0,0
1,500310,"Corguinho",12125,4.97125,30.67625,15.15625,59.17,0,0,0,0,0
1,500315,"Coronel_Sapucaia",16342,6.70022,41.34526,20.4275,79.74896,0,0,0,0,0
1,500320,"Corumba",119510,48.9991,302.3603,149.3875,583.2088,0,0,0,0,0
1,500325,"Costa_Rica",22106,9.06346,55.92818,27.6325,107.87728,0,0,0,0,0
1,500330,"Coxim",36149,14.82109,91.45697,45.18625,176.40712,0,0,0,0,0
1,500345,"Deodapolis",13879,5.69039,35.11387,17.34875,67.72952,0,0,0,0,0
1,500348,"Dois_Irmaos_Do_Buriti",12122,4.97002,30.66866,15.1525,59.15536,0,0,0,0,0
1,500350,"Douradina",6352,2.60432,16.07056,7.94,30.99776,0,0,0,0,0
1,500370,"Dourados",238321,97.71161,602.95213,297.90125,1163.00648,0,0,0,0,0
1,500375,"Eldorado",13272,5.44152,33.57816,16.59,64.76736,0,0,0,0,0
1,500380,"Fatima_Do_Sul",20745,8.50545,52.48485,25.93125,101.2356,0,0,0,0,0
1,500390,"Figueirao",3283,1.34603,8.30599,4.10375,16.02104,0,0,0,0,0
1,500400,"Gloria_De_Dourados",15116,6.19756,38.24348,18.895,73.76608,0,0,0,0,0
1,500410,"Guia_Lopes_Da_Laguna",10751,4.40791,27.20003,13.43875,52.46488,0,0,0,0,0
1,500430,"Iguatemi",17232,7.06512,43.59696,21.54,84.09216,0,0,0,0,0
1,500440,"Inocencia",8224,3.37184,20.80672,10.28,40.13312,0,0,0,0,0
1,500450,"Itapora",25762,10.56242,65.17786,32.2025,125.71856,0,0,0,0,0
1,500460,"Itaquirai",22547,9.24427,57.04391,28.18375,110.02936,0,0,0,0,0
1,500470,"Ivinhema",24958,10.23278,63.14374,31.1975,121.79504,0,0,0,0,0
1,500500,"Jardim",28007,11.48287,70.85771,35.00875,136.67416,0,0,0,0,0
1,500515,"Juti",7159,2.93519,18.11227,8.94875,34.93592,0,0,0,0,0
1,500520,"Ladario",24772,10.15652,62.67316,30.965,120.88736,0,0,0,0,0
1,500525,"Laguna_Carapa",7838,3.21358,19.83014,9.7975,38.24944,0,0,0,0,0
1,500540,"Maracaju",49540,20.3114,125.3362,61.925,241.7552,0,0,0,0,0
1,500560,"Miranda",29978,12.29098,75.84434,37.4725,146.29264,0,0,0,0,0
1,500568,"Mundo_Novo",29371,12.04211,74.30863,36.71375,143.33048,0,0,0,0,0
1,500570,"Navirai",58297,23.90177,147.49141,72.87125,284.48936,0,0,0,0,0
1,500580,"Nioaque",15191,6.22831,38.43323,18.98875,74.13208,0,0,0,0,0
1,500600,"Nova_Alvorada_Do_Sul",22973,9.41893,58.12169,28.71625,112.10824,0,0,0,0,0
1,500620,"Nova_Andradina",69914,28.66474,176.88242,87.3925,341.18032,0,0,0,0,0
1,500625,"Novo_Horizonte_Do_Sul",4257,1.74537,10.77021,5.32125,20.77416,0,0,0,0,0
1,500627,"Paraiso_Das_Aguas",5883,2.41203,14.88399,7.35375,28.70904,0,0,0,0,0
1,500630,"Paranaiba",45310,18.5771,114.6343,56.6375,221.1128,0,0,0,0,0
1,500635,"Paranhos",15151,6.21191,38.33203,18.93875,73.93688,0,0,0,0,0
1,500640,"Pedro_Gomes",8268,3.38988,20.91804,10.335,40.34784,0,0,0,0,0
1,500660,"Ponta_Pora",98236,40.27676,248.53708,122.795,479.39168,0,0,0,0,0
1,500690,"Porto_Murtinho",18419,7.55179,46.60007,23.02375,89.88472,0,0,0,0,0
1,500710,"Ribas_Do_Rio_Pardo",26163,10.72683,66.19239,32.70375,127.67544,0,0,0,0,0
1,500720,"Rio_Brilhante",39723,16.28643,100.49919,49.65375,193.84824,0,0,0,0,0
1,500730,"Rio_Negro",5198,2.13118,13.15094,6.4975,25.36624,0,0,0,0,0
1,500740,"Rio_Verde_De_Mato_Grosso",21228,8.70348,53.70684,26.535,103.59264,0,0,0,0,0
1,500755,"Santa_Rita_Do_Pardo",8414,3.44974,21.28742,10.5175,41.06032,0,0,0,0,0
1,500769,"Sao_Gabriel_Do_Oeste",28434,11.65794,71.93802,35.5425,138.75792,0,0,0,0,0
1,500770,"Sete_Quedas",11661,4.78101,29.50233,14.57625,56.90568,0,0,0,0,0
1,500780,"Selviria",7027,2.88107,17.77831,8.78375,34.29176,0,0,0,0,0
1,500790,"Sidrolandia",60486,24.79926,153.02958,75.6075,295.17168,0,0,0,0,0
1,500793,"Sonora",20307,8.32587,51.37671,25.38375,99.09816,0,0,0,0,0
1,500795,"Tacuru",12325,5.05325,31.18225,15.40625,60.146,0,0,0,0,0
1,500797,"Taquarussu",3864,1.58424,9.77592,4.83,18.85632,0,0,0,0,0
1,500800,"Terenos",22985,9.42385,58.15205,28.73125,112.1668,0,0,0,0,0
1,500830,"Tres_Lagoas",128849,52.82809,325.98797,161.06125,628.78312,0,0,0,0,0
1,500840,"Vicentina",6544,2.68304,16.55632,8.18,31.93472,0,0,0,0,0
