CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
510010,"Acorizal",510010,"Acorizal",0,1
510490,"Jangada",510010,"Acorizal",0.3,1
510020,"Agua_Boa",510020,"Agua_Boa",0,1
510025,"Alta_Floresta",510025,"Alta_Floresta",0,1
510030,"Alto_Araguaia",510030,"Alto_Araguaia",0,1
510035,"Alto_Boa_Vista",510035,"Alto_Boa_Vista",0,1
510040,"Alto_Garcas",510040,"Alto_Garcas",0,1
510060,"Alto_Taquari",510060,"Alto_Taquari",0,1
510080,"Apiacas",510080,"Apiacas",0,1
510100,"Araguaiana",510100,"Araguaiana",0,1
510120,"Araguainha",510120,"Araguainha",0,1
510125,"Araputanga",510125,"Araputanga",0,1
510450,"Indiavai",510125,"Araputanga",0.49,1
510130,"Arenapolis",510130,"Arenapolis",0,1
510885,"Nova_Marilandia",510130,"Arenapolis",0.35,1
510140,"Aripuana",510140,"Aripuana",0,1
510160,"Barao_De_Melgaco",510160,"Barao_De_Melgaco",0,1
510170,"Barra_Do_Bugres",510170,"Barra_Do_Bugres",0,1
510180,"Barra_Do_Garcas",510180,"Barra_Do_Garcas",0,1
510185,"Bom_Jesus_Do_Araguaia",510185,"Bom_Jesus_Do_Araguaia",0,1
510788,"Serra_Nova_Dourada",510185,"Bom_Jesus_Do_Araguaia",0.4,1
510190,"Brasnorte",510190,"Brasnorte",0,1
510250,"Caceres",510250,"Caceres",0,1
510260,"Campinapolis",510260,"Campinapolis",0,1
510263,"Campo_Novo_Do_Parecis",510263,"Campo_Novo_Do_Parecis",0,1
510267,"Campo_Verde",510267,"Campo_Verde",0,1
510268,"Campos_De_Julio",510268,"Campos_De_Julio",0,1
510269,"Canabrava_Do_Norte",510269,"Canabrava_Do_Norte",0,1
510270,"Canarana",510270,"Canarana",0,1
510279,"Carlinda",510279,"Carlinda",0,1
510285,"Castanheira",510285,"Castanheira",0,1
510300,"Chapada_Dos_Guimaraes",510300,"Chapada_Dos_Guimaraes",0,1
510305,"Claudia",510305,"Claudia",0,1
510310,"Cocalinho",510310,"Cocalinho",0,1
510320,"Colider",510320,"Colider",0,1
510325,"Colniza",510325,"Colniza",0,1
510330,"Comodoro",510330,"Comodoro",0,1
510335,"Confresa",510335,"Confresa",0,1
510337,"Cotriguacu",510337,"Cotriguacu",0,1
510340,"Cuiaba",510340,"Cuiaba",0,1
510343,"Curvelandia",510343,"Curvelandia",0,1
510345,"Denise",510345,"Denise",0,1
510050,"Alto_Paraguai",510350,"Diamantino",0.34,1
510350,"Diamantino",510350,"Diamantino",0,1
510360,"Dom_Aquino",510360,"Dom_Aquino",0,1
510370,"Feliz_Natal",510370,"Feliz_Natal",0,1
510385,"Gaucha_Do_Norte",510385,"Gaucha_Do_Norte",0,1
510390,"General_Carneiro",510390,"General_Carneiro",0,1
510410,"Guaranta_Do_Norte",510410,"Guaranta_Do_Norte",0,1
510420,"Guiratinga",510420,"Guiratinga",0,1
510452,"Ipiranga_Do_Norte",510452,"Ipiranga_Do_Norte",0,1
510454,"Itanhanga",510454,"Itanhanga",0,1
510455,"Itauba",510455,"Itauba",0,1
510460,"Itiquira",510460,"Itiquira",0,1
510380,"Figueiropolis_Doeste",510500,"Jauru",0.4,1
510500,"Jauru",510500,"Jauru",0,1
510835,"Vale_De_Sao_Domingos",510500,"Jauru",0.41,1
510510,"Juara",510510,"Juara",0,1
510515,"Juina",510515,"Juina",0,1
510517,"Juruena",510517,"Juruena",0,1
510480,"Jaciara",510520,"Juscimeira",0.16,1
510520,"Juscimeira",510520,"Juscimeira",0,1
510740,"Sao_Pedro_Da_Cipa",510520,"Juscimeira",0.08,1
510525,"Lucas_Do_Rio_Verde",510525,"Lucas_Do_Rio_Verde",0,1
510530,"Luciara",510530,"Luciara",0,1
510550,"Vila_Bela_Da_Santissima_Trindade",510550,"Vila_Bela_Da_Santissima_Trindade",0,1
510558,"Marcelandia",510558,"Marcelandia",0,1
510560,"Matupa",510560,"Matupa",0,1
510600,"Nortelandia",510600,"Nortelandia",0,1
510726,"Santo_Afonso",510600,"Nortelandia",0.47,1
510610,"Nossa_Senhora_Do_Livramento",510610,"Nossa_Senhora_Do_Livramento",0,1
510615,"Nova_Bandeirantes",510615,"Nova_Bandeirantes",0,1
510617,"Nova_Nazare",510617,"Nova_Nazare",0,1
510336,"Conquista_Doeste",510618,"Nova_Lacerda",0.15,1
510618,"Nova_Lacerda",510618,"Nova_Lacerda",0,1
510620,"Nova_Brasilandia",510620,"Nova_Brasilandia",0,1
510621,"Nova_Canaa_Do_Norte",510621,"Nova_Canaa_Do_Norte",0,1
510622,"Nova_Mutum",510622,"Nova_Mutum",0,1
510623,"Nova_Olimpia",510623,"Nova_Olimpia",0,1
510624,"Nova_Ubirata",510624,"Nova_Ubirata",0,1
510625,"Nova_Xavantina",510625,"Nova_Xavantina",0,1
510626,"Novo_Mundo",510626,"Novo_Mundo",0,1
510627,"Novo_Horizonte_Do_Norte",510627,"Novo_Horizonte_Do_Norte",0,1
510628,"Novo_Sao_Joaquim",510628,"Novo_Sao_Joaquim",0,1
510629,"Paranaita",510629,"Paranaita",0,1
510630,"Paranatinga",510630,"Paranatinga",0,1
510631,"Novo_Santo_Antonio",510631,"Novo_Santo_Antonio",0,1
510637,"Pedra_Preta",510637,"Pedra_Preta",0,1
510642,"Peixoto_De_Azevedo",510642,"Peixoto_De_Azevedo",0,1
510645,"Planalto_Da_Serra",510645,"Planalto_Da_Serra",0,1
510650,"Pocone",510650,"Pocone",0,1
510665,"Pontal_Do_Araguaia",510665,"Pontal_Do_Araguaia",0,1
510670,"Ponte_Branca",510670,"Ponte_Branca",0,1
510675,"Pontes_E_Lacerda",510675,"Pontes_E_Lacerda",0,1
510677,"Porto_Alegre_Do_Norte",510677,"Porto_Alegre_Do_Norte",0,1
510680,"Porto_Dos_Gauchos",510680,"Porto_Dos_Gauchos",0,1
510682,"Porto_Esperidiao",510682,"Porto_Esperidiao",0,1
510685,"Porto_Estrela",510685,"Porto_Estrela",0,1
510700,"Poxoreu",510700,"Poxoreu",0,1
510704,"Primavera_Do_Leste",510704,"Primavera_Do_Leste",0,1
510706,"Querencia",510706,"Querencia",0,1
510395,"Gloria_Doeste",510710,"Sao_Jose_Dos_Quatro_Marcos",0.42,1
510562,"Mirassol_Doeste",510710,"Sao_Jose_Dos_Quatro_Marcos",0.22,1
510710,"Sao_Jose_Dos_Quatro_Marcos",510710,"Sao_Jose_Dos_Quatro_Marcos",0,1
510715,"Reserva_Do_Cabacal",510715,"Reserva_Do_Cabacal",0,1
510718,"Ribeirao_Cascalheira",510718,"Ribeirao_Cascalheira",0,1
510719,"Ribeiraozinho",510719,"Ribeiraozinho",0,1
510523,"Lambari_Doeste",510720,"Rio_Branco",0.28,1
510720,"Rio_Branco",510720,"Rio_Branco",0,1
510724,"Santa_Carmem",510724,"Santa_Carmem",0,1
510729,"Sao_Jose_Do_Povo",510729,"Sao_Jose_Do_Povo",0,1
510730,"Sao_Jose_Do_Rio_Claro",510730,"Sao_Jose_Do_Rio_Claro",0,1
510735,"Sao_Jose_Do_Xingu",510735,"Sao_Jose_Do_Xingu",0,1
510757,"Rondolandia",510757,"Rondolandia",0,1
510760,"Rondonopolis",510760,"Rondonopolis",0,1
510590,"Nobres",510770,"Rosario_Oeste",0.24,1
510770,"Rosario_Oeste",510770,"Rosario_Oeste",0,1
510774,"Santa_Cruz_Do_Xingu",510774,"Santa_Cruz_Do_Xingu",0,1
510775,"Salto_Do_Ceu",510775,"Salto_Do_Ceu",0,1
510776,"Santa_Rita_Do_Trivelato",510776,"Santa_Rita_Do_Trivelato",0,1
510777,"Santa_Terezinha",510777,"Santa_Terezinha",0,1
510779,"Santo_Antonio_Do_Leste",510779,"Santo_Antonio_Do_Leste",0,1
510780,"Santo_Antonio_Do_Leverger",510780,"Santo_Antonio_Do_Leverger",0,1
510785,"Sao_Felix_Do_Araguaia",510785,"Sao_Felix_Do_Araguaia",0,1
