NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,510020,"Agua_Boa",37410,74.4459,335.9418,93.8991,0,68.0862,0.744459,0.628488,0.583596,0.381582
3,510025,"Alta_Floresta",88668,176.44932,796.23864,222.55668,0,161.37576,1.7644932,1.4896224,1.3832208,0.9044136
3,510030,"Alto_Araguaia",45389,90.32411,407.59322,113.92639,0,82.60798,0.9032411,0.7625352,0.7080684,0.4629678
3,510125,"Araputanga",40777,81.14623,366.17746,102.35027,0,74.21414,0.8114623,0.6850536,0.6361212,0.4159254
3,510140,"Aripuana",23714,47.19086,212.95172,59.52214,0,43.15948,0.4719086,0.3983952,0.3699384,0.2418828
3,510170,"Barra_Do_Bugres",40628,80.84972,364.83944,101.97628,0,73.94296,0.8084972,0.6825504,0.6337968,0.4144056
3,510180,"Barra_Do_Garcas",90067,179.23333,808.80166,226.06817,0,163.92194,1.7923333,1.5131256,1.4050452,0.9186834
3,510190,"Brasnorte",20760,41.3124,186.4248,52.1076,0,37.7832,0.413124,0.348768,0.323856,0.211752
3,510250,"Caceres",101256,201.49944,909.27888,254.15256,0,184.28592,2.0149944,1.7011008,1.5795936,1.0328112
3,510260,"Campinapolis",28098,55.91502,252.32004,70.52598,0,51.13836,0.5591502,0.4720464,0.4383288,0.2865996
3,510263,"Campo_Novo_Do_Parecis",37272,74.17128,334.70256,93.55272,0,67.83504,0.7417128,0.6261696,0.5814432,0.3801744
3,510267,"Campo_Verde",130331,259.35869,1170.37238,327.13081,0,237.20242,2.5935869,2.1895608,2.0331636,1.3293762
3,510270,"Canarana",31088,61.86512,279.17024,78.03088,0,56.58016,0.6186512,0.5222784,0.4849728,0.3170976
3,510305,"Claudia",16841,33.51359,151.23218,42.27091,0,30.65062,0.3351359,0.2829288,0.2627196,0.1717782
3,510320,"Colider",73346,145.95854,658.64708,184.09846,0,133.48972,1.4595854,1.2322128,1.1441976,0.7481292
3,510325,"Colniza",40208,80.01392,361.06784,100.92208,0,73.17856,0.8001392,0.6754944,0.6272448,0.4101216
3,510330,"Comodoro",37726,75.07474,338.77948,94.69226,0,68.66132,0.7507474,0.6337968,0.5885256,0.3848052
3,510337,"Cotriguacu",20766,41.32434,186.47868,52.12266,0,37.79412,0.4132434,0.3488688,0.3239496,0.2118132
3,510340,"Cuiaba",696074,1385.18726,6250.74452,1747.14574,0,1266.85468,13.8518726,11.6940432,10.8587544,7.0999548
3,510350,"Diamantino",69755,138.81245,626.3999,175.08505,0,126.9541,1.3881245,1.171884,1.088178,0.711501
3,510410,"Guaranta_Do_Norte",93227,185.52173,837.17846,233.99977,0,169.67314,1.8552173,1.5662136,1.4543412,0.9509154
3,510420,"Guiratinga",20299,40.39501,182.28502,50.95049,0,36.94418,0.4039501,0.3410232,0.3166644,0.2070498
3,510460,"Itiquira",14197,28.25203,127.48906,35.63447,0,25.83854,0.2825203,0.2385096,0.2214732,0.1448094
3,510510,"Juara",58019,115.45781,521.01062,145.62769,0,105.59458,1.1545781,0.9747192,0.9050964,0.5917938
3,510515,"Juina",53496,106.45704,480.39408,134.27496,0,97.36272,1.0645704,0.8987328,0.8345376,0.5456592
3,510517,"Juruena",16577,32.98823,148.86146,41.60827,0,30.17014,0.3298823,0.2784936,0.2586012,0.1690854
3,510525,"Lucas_Do_Rio_Verde",68392,136.10008,614.16016,171.66392,0,124.47344,1.3610008,1.1489856,1.0669152,0.6975984
3,510550,"Vila_Bela_Da_Santissima_Trindade",17238,34.30362,154.79724,43.26738,0,31.37316,0.3430362,0.2895984,0.2689128,0.1758276
3,510558,"Marcelandia",11540,22.9646,103.6292,28.9654,0,21.0028,0.229646,0.193872,0.180024,0.117708
3,510615,"Nova_Bandeirantes",36634,72.90166,328.97332,91.95134,0,66.67388,0.7290166,0.6154512,0.5714904,0.3736668
3,510622,"Nova_Mutum",50961,101.41239,457.62978,127.91211,0,92.74902,1.0141239,0.8561448,0.7949916,0.5198022
3,510625,"Nova_Xavantina",22899,45.56901,205.63302,57.47649,0,41.67618,0.4556901,0.3847032,0.3572244,0.2335698
3,510630,"Paranatinga",23993,47.74607,215.45714,60.22243,0,43.66726,0.4774607,0.4030824,0.3742908,0.2447286
3,510650,"Pocone",35342,70.33058,317.37116,88.70842,0,64.32244,0.7033058,0.5937456,0.5513352,0.3604884
3,510675,"Pontes_E_Lacerda",48635,96.78365,436.7423,122.07385,0,88.5157,0.9678365,0.817068,0.758706,0.496077
3,510677,"Porto_Alegre_Do_Norte",68811,136.93389,617.92278,172.71561,0,125.23602,1.3693389,1.1560248,1.0734516,0.7018722
3,510704,"Primavera_Do_Leste",83543,166.25057,750.21614,209.69293,0,152.04826,1.6625057,1.4035224,1.3032708,0.8521386
3,510706,"Querencia",47889,95.29911,430.04322,120.20139,0,87.15798,0.9529911,0.8045352,0.7470684,0.4884678
3,510710,"Sao_Jose_Dos_Quatro_Marcos",87718,174.55882,787.70764,220.17218,0,159.64676,1.7455882,1.4736624,1.3684008,0.8947236
3,510730,"Sao_Jose_Do_Rio_Claro",30997,61.68403,278.35306,77.80247,0,56.41454,0.6168403,0.5207496,0.4835532,0.3161694
3,510760,"Rondonopolis",269997,537.29403,2424.57306,677.69247,0,491.39454,5.3729403,4.5359496,4.2119532,2.7539694
3,510770,"Rosario_Oeste",50007,99.51393,449.06286,125.51757,0,91.01274,0.9951393,0.8401176,0.7801092,0.5100714
3,510785,"Sao_Felix_Do_Araguaia",14791,29.43409,132.82318,37.12541,0,26.91962,0.2943409,0.2484888,0.2307396,0.1508682
3,510787,"Sapezal",34259,68.17541,307.64582,85.99009,0,62.35138,0.6817541,0.5755512,0.5344404,0.3494418
3,510790,"Sinop",155765,309.97235,1398.7697,390.97015,0,283.4923,3.0997235,2.616852,2.429934,1.588803
3,510792,"Sorriso",142344,283.26456,1278.24912,357.28344,0,259.06608,2.8326456,2.3913792,2.2205664,1.4519088
3,510795,"Tangara_Da_Serra",131365,261.41635,1179.6577,329.72615,0,239.0843,2.6141635,2.206932,2.049294,1.339923
3,510800,"Tapurah",21512,42.80888,193.17776,53.99512,0,39.15184,0.4280888,0.3614016,0.3355872,0.2194224
3,510840,"Varzea_Grande",304160,605.2784,2731.3568,763.4416,0,553.5712,6.052784,5.109888,4.744896,3.102432
3,510860,"Vila_Rica",27578,54.88022,247.65044,69.22078,0,50.19196,0.5488022,0.4633104,0.4302168,0.2812956
