NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,150010,"Abaetetuba",1,"Physicians",168568,69.1129
1,150010,"Abaetetuba",2,"Nurses",168568,426.477
1,150010,"Abaetetuba",3,"OtherCadres",168568,210.71
1,150010,"Abaetetuba",4,"CommunityBased",168568,822.6118
1,150010,"Abaetetuba",5,"Beds",168568,0
1,150010,"Abaetetuba",6,"CTScanner",168568,0
1,150010,"Abaetetuba",7,"MRIUnit",168568,0
1,150010,"Abaetetuba",8,"Mammography",168568,0
1,150010,"Abaetetuba",9,"Radiotherapy",168568,0
1,150013,"Abel_Figueiredo",1,"Physicians",26126,10.7116
1,150013,"Abel_Figueiredo",2,"Nurses",26126,66.0988
1,150013,"Abel_Figueiredo",3,"OtherCadres",26126,32.6575
1,150013,"Abel_Figueiredo",4,"CommunityBased",26126,127.4949
1,150013,"Abel_Figueiredo",5,"Beds",26126,0
1,150013,"Abel_Figueiredo",6,"CTScanner",26126,0
1,150013,"Abel_Figueiredo",7,"MRIUnit",26126,0
1,150013,"Abel_Figueiredo",8,"Mammography",26126,0
1,150013,"Abel_Figueiredo",9,"Radiotherapy",26126,0
1,150020,"Acara",1,"Physicians",59873,24.5479
1,150020,"Acara",2,"Nurses",59873,151.4787
1,150020,"Acara",3,"OtherCadres",59873,74.8413
1,150020,"Acara",4,"CommunityBased",59873,292.1802
1,150020,"Acara",5,"Beds",59873,0
1,150020,"Acara",6,"CTScanner",59873,0
1,150020,"Acara",7,"MRIUnit",59873,0
1,150020,"Acara",8,"Mammography",59873,0
1,150020,"Acara",9,"Radiotherapy",59873,0
1,150030,"Afua",1,"Physicians",41916,17.1856
1,150030,"Afua",2,"Nurses",41916,106.0475
1,150030,"Afua",3,"OtherCadres",41916,52.395
1,150030,"Afua",4,"CommunityBased",41916,204.5501
1,150030,"Afua",5,"Beds",41916,0
1,150030,"Afua",6,"CTScanner",41916,0
1,150030,"Afua",7,"MRIUnit",41916,0
1,150030,"Afua",8,"Mammography",41916,0
1,150030,"Afua",9,"Radiotherapy",41916,0
1,150034,"Agua_Azul_Do_Norte",1,"Physicians",29381,12.0462
1,150034,"Agua_Azul_Do_Norte",2,"Nurses",29381,74.3339
1,150034,"Agua_Azul_Do_Norte",3,"OtherCadres",29381,36.7263
1,150034,"Agua_Azul_Do_Norte",4,"CommunityBased",29381,143.3793
1,150034,"Agua_Azul_Do_Norte",5,"Beds",29381,0
1,150034,"Agua_Azul_Do_Norte",6,"CTScanner",29381,0
1,150034,"Agua_Azul_Do_Norte",7,"MRIUnit",29381,0
1,150034,"Agua_Azul_Do_Norte",8,"Mammography",29381,0
1,150034,"Agua_Azul_Do_Norte",9,"Radiotherapy",29381,0
1,150040,"Alenquer",1,"Physicians",60916,24.9756
1,150040,"Alenquer",2,"Nurses",60916,154.1175
1,150040,"Alenquer",3,"OtherCadres",60916,76.145
1,150040,"Alenquer",4,"CommunityBased",60916,297.2701
1,150040,"Alenquer",5,"Beds",60916,0
1,150040,"Alenquer",6,"CTScanner",60916,0
1,150040,"Alenquer",7,"MRIUnit",60916,0
1,150040,"Alenquer",8,"Mammography",60916,0
1,150040,"Alenquer",9,"Radiotherapy",60916,0
1,150050,"Almeirim",1,"Physicians",36824,15.0978
1,150050,"Almeirim",2,"Nurses",36824,93.1647
1,150050,"Almeirim",3,"OtherCadres",36824,46.03
1,150050,"Almeirim",4,"CommunityBased",36824,179.7011
