CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
250020,"Aguiar",250020,"Aguiar",0,1
250260,"Igaracy",250020,"Aguiar",0.27,1
250030,"Alagoa_Grande",250030,"Alagoa_Grande",0,1
250760,"Juarez_Tavora",250030,"Alagoa_Grande",0.31,1
250980,"Mulungu",250030,"Alagoa_Grande",0.47,1
250057,"Algodao_De_Jandaira",250057,"Algodao_De_Jandaira",0,1
250070,"Sao_Joao_Do_Rio_Do_Peixe",250070,"Sao_Joao_Do_Rio_Do_Peixe",0,1
251330,"Santa_Helena",250070,"Sao_Joao_Do_Rio_Do_Peixe",0.48,1
250090,"Arara",250090,"Arara",0,1
250415,"Casserengue",250090,"Arara",0.28,1
251270,"Remigio",250090,"Arara",0.31,1
250100,"Araruna",250100,"Araruna",0,1
250535,"Damiao",250100,"Araruna",0.44,1
251274,"Riachao",250100,"Araruna",0.45,1
251640,"Tacima",250100,"Araruna",0.21,1
250040,"Alagoa_Nova",250110,"Areia",0.42,1
250110,"Areia",250110,"Areia",0,1
250130,"Aroeiras",250130,"Aroeiras",0,1
250625,"Gado_Bravo",250130,"Aroeiras",0.29,1
250140,"Baia_Da_Traicao",250140,"Baia_Da_Traicao",0,1
250160,"Barra_De_Santa_Rosa",250160,"Barra_De_Santa_Rosa",0,1
250180,"Bayeux",250180,"Bayeux",0,1
250190,"Belem",250190,"Belem",0,1
250360,"Caicara",250190,"Belem",0.25,1
250570,"Dona_Ines",250190,"Belem",0.5,1
250580,"Duas_Estradas",250190,"Belem",0.46,1
250855,"Logradouro",250190,"Belem",0.3,1
251560,"Serra_Da_Raiz",250190,"Belem",0.39,1
250200,"Belem_Do_Brejo_Do_Cruz",250200,"Belem_Do_Brejo_Do_Cruz",0,1
250240,"Bonito_De_Santa_Fe",250240,"Bonito_De_Santa_Fe",0,1
250960,"Monte_Horebe",250240,"Bonito_De_Santa_Fe",0.3,1
250250,"Boqueirao",250250,"Boqueirao",0,1
250280,"Brejo_Do_Cruz",250280,"Brejo_Do_Cruz",0,1
250060,"Alhandra",250300,"Caapora",0.17,1
250300,"Caapora",250300,"Caapora",0,1
251190,"Pitimbu",250300,"Caapora",0.32,1
250310,"Cabaceiras",250310,"Cabaceiras",0,1
251394,"Sao_Domingos_Do_Cariri",250310,"Cabaceiras",0.49,1
250320,"Cabedelo",250320,"Cabedelo",0,1
250340,"Cacimba_De_Areia",250340,"Cacimba_De_Areia",0,1
251070,"Passagem",250340,"Cacimba_De_Areia",0.43,1
250350,"Cacimba_De_Dentro",250350,"Cacimba_De_Dentro",0,1
251600,"Solanea",250350,"Cacimba_De_Dentro",0.46,1
250220,"Bom_Jesus",250370,"Cajazeiras",0.29,1
250330,"Cachoeira_Dos_Indios",250370,"Cajazeiras",0.29,1
250370,"Cajazeiras",250370,"Cajazeiras",0,1
250915,"Marizopolis",250370,"Cajazeiras",0.35,1
250400,"Campina_Grande",250400,"Campina_Grande",0,1
251275,"Riachao_Do_Bacamarte",250400,"Campina_Grande",0.47,1
250230,"Bom_Sucesso",250430,"Catole_Do_Rocha",0.49,1
250290,"Brejo_Dos_Santos",250430,"Catole_Do_Rocha",0.21,1
250430,"Catole_Do_Rocha",250430,"Catole_Do_Rocha",0,1
251280,"Riacho_Dos_Cavalos",250430,"Catole_Do_Rocha",0.38,1
250440,"Conceicao",250440,"Conceicao",0,1
250660,"Ibiara",250440,"Conceicao",0.28,1
251335,"Santa_Ines",250440,"Conceicao",0.22,1
250390,"Camalau",250470,"Congo",0.48,1
250407,"Caraubas",250470,"Congo",0.38,1
250470,"Congo",250470,"Congo",0,1
250480,"Coremas",250480,"Coremas",0,1
250500,"Cubati",250500,"Cubati",0,1
250510,"Cuite",250510,"Cuite",0,1
251010,"Nova_Floresta",250510,"Cuite",0.12,1
