CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
250020	                        Aguiar	250020	                        Aguiar	    0.00
250260	                       Igaracy	250020	                        Aguiar	    0.27
250030	                 Alagoa_Grande	250030	                 Alagoa_Grande	    0.00
250760	                 Juarez_Tavora	250030	                 Alagoa_Grande	    0.31
250980	                       Mulungu	250030	                 Alagoa_Grande	    0.47
250057	           Algodao_De_Jandaira	250057	           Algodao_De_Jandaira	    0.00
250070	      Sao_Joao_Do_Rio_Do_Peixe	250070	      Sao_Joao_Do_Rio_Do_Peixe	    0.00
251330	                  Santa_Helena	250070	      Sao_Joao_Do_Rio_Do_Peixe	    0.48
250090	                         Arara	250090	                         Arara	    0.00
250415	                   Casserengue	250090	                         Arara	    0.28
251270	                       Remigio	250090	                         Arara	    0.31
250100	                       Araruna	250100	                       Araruna	    0.00
250535	                        Damiao	250100	                       Araruna	    0.44
251274	                       Riachao	250100	                       Araruna	    0.45
251640	                        Tacima	250100	                       Araruna	    0.21
250040	                   Alagoa_Nova	250110	                         Areia	    0.42
250110	                         Areia	250110	                         Areia	    0.00
250130	                      Aroeiras	250130	                      Aroeiras	    0.00
250625	                    Gado_Bravo	250130	                      Aroeiras	    0.29
250140	               Baia_Da_Traicao	250140	               Baia_Da_Traicao	    0.00
250160	           Barra_De_Santa_Rosa	250160	           Barra_De_Santa_Rosa	    0.00
250180	                        Bayeux	250180	                        Bayeux	    0.00
250190	                         Belem	250190	                         Belem	    0.00
250360	                       Caicara	250190	                         Belem	    0.25
250570	                     Dona_Ines	250190	                         Belem	    0.50
250580	                 Duas_Estradas	250190	                         Belem	    0.46
250855	                    Logradouro	250190	                         Belem	    0.30
251560	                 Serra_Da_Raiz	250190	                         Belem	    0.39
250200	        Belem_Do_Brejo_Do_Cruz	250200	        Belem_Do_Brejo_Do_Cruz	    0.00
250240	            Bonito_De_Santa_Fe	250240	            Bonito_De_Santa_Fe	    0.00
250960	                  Monte_Horebe	250240	            Bonito_De_Santa_Fe	    0.30
250250	                     Boqueirao	250250	                     Boqueirao	    0.00
250280	                 Brejo_Do_Cruz	250280	                 Brejo_Do_Cruz	    0.00
250060	                      Alhandra	250300	                       Caapora	    0.17
250300	                       Caapora	250300	                       Caapora	    0.00
251190	                       Pitimbu	250300	                       Caapora	    0.32
250310	                    Cabaceiras	250310	                    Cabaceiras	    0.00
251394	        Sao_Domingos_Do_Cariri	250310	                    Cabaceiras	    0.49
250320	                      Cabedelo	250320	                      Cabedelo	    0.00
250340	              Cacimba_De_Areia	250340	              Cacimba_De_Areia	    0.00
251070	                      Passagem	250340	              Cacimba_De_Areia	    0.43
250350	             Cacimba_De_Dentro	250350	             Cacimba_De_Dentro	    0.00
251600	                       Solanea	250350	             Cacimba_De_Dentro	    0.46
250220	                     Bom_Jesus	250370	                    Cajazeiras	    0.29
250330	          Cachoeira_Dos_Indios	250370	                    Cajazeiras	    0.29
250370	                    Cajazeiras	250370	                    Cajazeiras	    0.00
250915	                   Marizopolis	250370	                    Cajazeiras	    0.35
250400	                Campina_Grande	250400	                Campina_Grande	    0.00
251275	          Riachao_Do_Bacamarte	250400	                Campina_Grande	    0.47
250230	                   Bom_Sucesso	250430	               Catole_Do_Rocha	    0.49
250290	              Brejo_Dos_Santos	250430	               Catole_Do_Rocha	    0.21
250430	               Catole_Do_Rocha	250430	               Catole_Do_Rocha	    0.00
251280	            Riacho_Dos_Cavalos	250430	               Catole_Do_Rocha	    0.38
250440	                     Conceicao	250440	                     Conceicao	    0.00
250660	                        Ibiara	250440	                     Conceicao	    0.28
251335	                    Santa_Ines	250440	                     Conceicao	    0.22
250390	                       Camalau	250470	                         Congo	    0.48
250407	                      Caraubas	250470	                         Congo	    0.38
250470	                         Congo	250470	                         Congo	    0.00
