CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
260005,"Abreu_E_Lima",260005,"Abreu_E_Lima",0,1
260010,"Afogados_Da_Ingazeira",260010,"Afogados_Da_Ingazeira",0,1
260390,"Carnaiba",260010,"Afogados_Da_Ingazeira",0.39,1
260690,"Iguaracy",260010,"Afogados_Da_Ingazeira",0.35,1
260710,"Ingazeira",260010,"Afogados_Da_Ingazeira",0.45,1
260020,"Afranio",260020,"Afranio",0,1
260030,"Agrestina",260030,"Agrestina",0,1
260080,"Altinho",260030,"Agrestina",0.27,1
261330,"Sao_Joaquim_Do_Monte",260030,"Agrestina",0.46,1
260050,"Aguas_Belas",260050,"Aguas_Belas",0,1
260070,"Alianca",260070,"Alianca",0,1
260270,"Buenos_Aires",260070,"Alianca",0.48,1
260550,"Ferreiros",260070,"Alianca",0.47,1
260780,"Itaquitinga",260070,"Alianca",0.48,1
261550,"Tracunhaem",260070,"Alianca",0.47,1
261630,"Vicencia",260070,"Alianca",0.32,1
260110,"Araripina",260110,"Araripina",0,1
260140,"Barreiros",260140,"Barreiros",0,1
261340,"Sao_Jose_Da_Coroa_Grande",260140,"Barreiros",0.28,1
260160,"Belem_Do_Sao_Francisco",260160,"Belem_Do_Sao_Francisco",0,1
260170,"Belo_Jardim",260170,"Belo_Jardim",0,1
261240,"Sanharo",260170,"Belo_Jardim",0.31,1
260180,"Betania",260180,"Betania",0,1
260130,"Barra_De_Guabiraba",260190,"Bezerros",0.46,1
260190,"Bezerros",260190,"Bezerros",0,1
260230,"Bonito",260190,"Bezerros",0.48,1
260200,"Bodoco",260200,"Bodoco",0,1
260210,"Bom_Conselho",260210,"Bom_Conselho",0,1
260220,"Bom_Jardim",260220,"Bom_Jardim",0,1
260280,"Buique",260280,"Buique",0,1
260290,"Cabo_De_Santo_Agostinho",260290,"Cabo_De_Santo_Agostinho",0,1
260520,"Escada",260290,"Cabo_De_Santo_Agostinho",0.35,1
260720,"Ipojuca",260290,"Cabo_De_Santo_Agostinho",0.3,1
260300,"Cabrobo",260300,"Cabrobo",0,1
260320,"Caetes",260320,"Caetes",0,1
260345,"Camaragibe",260345,"Camaragibe",0,1
261060,"Paudalho",260345,"Camaragibe",0.5,1
260370,"Canhotinho",260370,"Canhotinho",0,1
