NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
3,260005,"Abreu_E_Lima",107447,213.81953,964.87406,269.69197,0,195.55354,2.1381953,1.8051096,1.6761732,1.0959594
3,260030,"Agrestina",484221,963.59979,4348.30458,1215.39471,0,881.28222,9.6359979,8.1349128,7.5538476,4.9390542
3,260050,"Aguas_Belas",118448,235.71152,1063.66304,297.30448,0,215.57536,2.3571152,1.9899264,1.8477888,1.2081696
3,260070,"Alianca",301917,600.814829999999,2711.21466,757.811669999999,0,549.488939999999,6.0081483,5.0722056,4.7099052,3.0795534
3,260110,"Araripina",90559,180.21241,813.21982,227.30309,0,164.81738,1.8021241,1.5213912,1.4127204,0.9237018
3,260200,"Bodoco",106392,211.72008,955.40016,267.04392,0,193.63344,2.1172008,1.7873856,1.6597152,1.0851984
3,260210,"Bom_Conselho",86605,172.34395,777.7129,217.37855,0,157.6211,1.7234395,1.454964,1.351038,0.883371
3,260300,"Cabrobo",36599,72.83201,328.65902,91.86349,0,66.61018,0.7283201,0.6148632,0.5709444,0.3733098
3,260370,"Canhotinho",364856,726.06344,3276.40688,915.78856,0,664.03792,7.2606344,6.1295808,5.6917536,3.7215312
3,260410,"Caruaru",1044805,2079.16195,9382.3489,2622.46055,0,1901.5451,20.7916195,17.552724,16.298958,10.657011
3,260570,"Floresta",62720,124.8128,563.2256,157.4272,0,114.1504,1.248128,1.053696,0.978432,0.639744
3,260660,"Ibimirim",55971,111.38229,502.61958,140.48721,0,101.86722,1.1138229,0.9403128,0.8731476,0.5709042
3,260875,"Lagoa_Grande",68530,136.3747,615.3994,172.0103,0,124.7246,1.363747,1.151304,1.069068,0.699006
3,260960,"Olinda",2491083,4957.25517,22369.92534,6252.61833,0,4533.77106,49.5725517,41.8501944,38.8608948,25.4090466
3,260970,"Orobo",626608,1246.94992,5626.93984,1572.78608,0,1140.42656,12.4694992,10.5270144,9.7750848,6.3914016
3,260990,"Ouricuri",160870,320.1313,1444.6126,403.783699999999,0,292.7834,3.201313,2.702616,2.509572,1.640874
3,261090,"Pesqueira",505873,1006.68727,4542.73954,1269.74123,0,920.68886,10.0668727,8.4986664,7.8916188,5.1599046
3,261100,"Petrolandia",82340,163.8566,739.4132,206.6734,0,149.8588,1.638566,1.383312,1.284504,0.839868
3,261110,"Petrolina",370875,738.04125,3330.4575,930.89625,0,674.9925,7.3804125,6.2307,5.78565,3.782925
3,261160,"Recife",2092292,4163.66108,18788.78216,5251.65292,0,3807.97144,41.6366108,35.1505056,32.6397552,21.3413784
3,261220,"Salgueiro",173660,345.5834,1559.4668,435.8866,0,316.0612,3.455834,2.917488,2.709096,1.771332
3,261260,"Santa_Maria_Da_Boa_Vista",61031,121.45169,548.05838,153.18781,0,111.07642,1.2145169,1.0253208,0.9520836,0.6225162
3,261360,"Sao_Jose_Do_Egito",204344,406.64456,1835.00912,512.90344,0,371.90608,4.0664456,3.4329792,3.1877664,2.0843088
3,261390,"Serra_Talhada",189661,377.42539,1703.15578,476.04911,0,345.18302,3.7742539,3.1863048,2.9587116,1.9345422
3,261410,"Sertania",91971,183.02229,825.89958,230.84721,0,167.38722,1.8302229,1.5451128,1.4347476,0.9381042
3,261420,"Sirinhaem",167718,333.75882,1506.10764,420.97218,0,305.24676,3.3375882,2.8176624,2.6164008,1.7107236
3,261580,"Tupanatinga",91544,182.17256,822.06512,229.77544,0,166.61008,1.8217256,1.5379392,1.4280864,0.9337488
