CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
410020	                  Adrianopolis	410020	                  Adrianopolis	    0.00
410050	                       Altonia	410050	                       Altonia	    0.00
410090	                       Amapora	410090	                       Amapora	    0.00
411970	          Planaltina_Do_Parana	410090	                       Amapora	    0.30
410100	                        Ampere	410100	                        Ampere	    0.00
412440	     Santo_Antonio_Do_Sudoeste	410100	                        Ampere	    0.68
410110	                        Andira	410110	                        Andira	    0.00
410360	                       Cambara	410110	                        Andira	    0.30
410120	                      Antonina	410120	                      Antonina	    0.00
411620	                      Morretes	410120	                      Antonina	    0.26
410150	                     Arapongas	410150	                     Arapongas	    0.00
410170	                       Araruna	410170	                       Araruna	    0.00
410190	                         Assai	410190	                         Assai	    0.00
410210	                       Astorga	410210	                       Astorga	    0.00
410240	                  Bandeirantes	410240	                  Bandeirantes	    0.00
410250	                Barbosa_Ferraz	410250	                Barbosa_Ferraz	    0.00
410280	         Bela_Vista_Do_Paraiso	410280	         Bela_Vista_Do_Paraiso	    0.00
410290	                      Bituruna	410290	                      Bituruna	    0.00
410305	        Boa_Vista_Da_Aparecida	410305	        Boa_Vista_Da_Aparecida	    0.00
410460	      Capitao_Leonidas_Marques	410305	        Boa_Vista_Da_Aparecida	    0.52
410310	               Bocaiuva_Do_Sul	410310	               Bocaiuva_Do_Sul	    0.00
412788	               Tunas_Do_Parana	410310	               Bocaiuva_Do_Sul	    0.61
410330	                  Borrazopolis	410330	                  Borrazopolis	    0.00
411729	                Novo_Itacolomi	410330	                  Borrazopolis	    0.53
410045	            Altamira_Do_Parana	410390	              Campina_Da_Lagoa	    0.60
410390	              Campina_Da_Lagoa	410390	              Campina_Da_Lagoa	    0.00
411680	                    Nova_Cantu	410390	              Campina_Da_Lagoa	    0.55
410400	         Campina_Grande_Do_Sul	410400	         Campina_Grande_Do_Sul	    0.00
410180	                     Araucaria	410420	                   Campo_Largo	    0.50
410420	                   Campo_Largo	410420	                   Campo_Largo	    0.00
410430	                  Campo_Mourao	410430	                  Campo_Mourao	    0.00
410440	              Candido_De_Abreu	410440	              Candido_De_Abreu	    0.00
410442	                        Candoi	410442	                        Candoi	    0.00
412175	             Reserva_Do_Iguacu	410442	                        Candoi	    0.67
410480	                      Cascavel	410480	                      Cascavel	    0.00
410490	                        Castro	410490	                        Castro	    0.00
411940	                  Pirai_Do_Sul	410490	                        Castro	    0.40
410510	             Centenario_Do_Sul	410510	             Centenario_Do_Sul	    0.00
411600	                     Miraselva	410510	             Centenario_Do_Sul	    0.39
412000	                      Porecatu	410510	             Centenario_Do_Sul	    0.49
410520	                    Cerro_Azul	410520	                    Cerro_Azul	    0.00
410550	                      Cianorte	410550	                      Cianorte	    0.00
410570	                   Clevelandia	410570	                   Clevelandia	    0.00
410590	                      Colorado	410590	                      Colorado	    0.00
410670	               Cruzeiro_Do_Sul	410590	                      Colorado	    0.43
412360	                    Santa_Ines	410590	                      Colorado	    0.58
410620	                      Contenda	410620	                      Contenda	    0.00
411320	                          Lapa	410620	                      Contenda	    0.45
410630	                      Corbelia	410630	                      Corbelia	    0.00
411005	                        Iguatu	410630	                      Corbelia	    0.67
410645	       Coronel_Domingos_Soares	410645	       Coronel_Domingos_Soares	    0.00
410540	                   Chopinzinho	410650	                Coronel_Vivida	    0.32
410650	                Coronel_Vivida	410650	                Coronel_Vivida	    0.00
410965	                 Honorio_Serpa	410650	                Coronel_Vivida	    0.53
410680	                  Cruz_Machado	410680	                  Cruz_Machado	    0.00
410690	                      Curitiba	410690	                      Curitiba	    0.00
410700	                       Curiuva	410700	                       Curiuva	    0.00
412853	                      Ventania	410700	                       Curiuva	    0.65
410720	                 Dois_Vizinhos	410720	                 Dois_Vizinhos	    0.00
412860	                          Vere	410720	                 Dois_Vizinhos	    0.48
410750	            Engenheiro_Beltrao	410750	            Engenheiro_Beltrao	    0.00
410760	                       Faxinal	410760	                       Faxinal	    0.00
410765	            Fazenda_Rio_Grande	410765	            Fazenda_Rio_Grande	    0.00
410775	                      Figueira	410775	                      Figueira	    0.00
410790	                      Floresta	410790	                      Floresta	    0.00
410830	                 Foz_Do_Iguacu	410830	                 Foz_Do_Iguacu	    0.00
410840	             Francisco_Beltrao	410840	             Francisco_Beltrao	    0.00
411435	                 Manfrinopolis	410840	             Francisco_Beltrao	    0.48
410860	                       Goioere	410860	                       Goioere	    0.00
411510	                       Mariluz	410860	                       Goioere	    0.60
410865	                       Goioxim	410865	                       Goioxim	    0.00
410870	                  Grandes_Rios	410870	                  Grandes_Rios	    0.00
412217	            Rio_Branco_Do_Ivai	410870	                  Grandes_Rios	    0.68
410880	                        Guaira	410880	                        Guaira	    0.00
410890	                      Guairaca	410890	                      Guairaca	    0.00
410940	                    Guarapuava	410940	                    Guarapuava	    0.00
410950	                  Guaraquecaba	410950	                  Guaraquecaba	    0.00
410960	                     Guaratuba	410960	                     Guaratuba	    0.00
410970	                        Ibaiti	410970	                        Ibaiti	    0.00
410930	                    Guaraniacu	410975	                         Ibema	    0.26
410975	                         Ibema	410975	                         Ibema	    0.00
410980	                       Ibipora	410980	                       Ibipora	    0.00
411020	                Inacio_Martins	411020	                Inacio_Martins	    0.00
411050	                      Ipiranga	411050	                      Ipiranga	    0.00
410070	                  Alto_Piquiri	411060	                         Ipora	    0.62
411060	                         Ipora	411060	                         Ipora	    0.00
411070	                         Irati	411070	                         Irati	    0.00
412150	                      Reboucas	411070	                         Irati	    0.41
411080	                       Iretama	411080	                       Iretama	    0.00
411373	                      Luiziana	411080	                       Iretama	    0.68
411125	                     Itaperucu	411125	                     Itaperucu	    0.00
411140	                          Ivai	411140	                          Ivai	    0.00
411150	                      Ivaipora	411150	                      Ivaipora	    0.00
410610	          Conselheiro_Mairinck	411170	                        Jaboti	    0.47
411170	                        Jaboti	411170	                        Jaboti	    0.00
411190	                     Jaguapita	411190	                     Jaguapita	    0.00
412033	                Prado_Ferreira	411190	                     Jaguapita	    0.33
411200	                   Jaguariaiva	411200	                   Jaguariaiva	    0.00
412630	                        Senges	411200	                   Jaguariaiva	    0.59
410140	                     Apucarana	411210	                Jandaia_Do_Sul	    0.32
411210	                Jandaia_Do_Sul	411210	                Jandaia_Do_Sul	    0.00
411550	                       Marumbi	411210	                Jandaia_Do_Sul	    0.32
411240	                        Japura	411240	                        Japura	    0.00
410200	           Assis_Chateaubriand	411275	                      Jesuitas	    0.30
410820	              Formosa_Do_Oeste	411275	                      Jesuitas	    0.25
411275	                      Jesuitas	411275	                      Jesuitas	    0.00
411300	                       Jussara	411300	                       Jussara	    0.00
412530	             Sao_Jorge_Do_Ivai	411300	                       Jussara	    0.59
411330	            Laranjeiras_Do_Sul	411330	            Laranjeiras_Do_Sul	    0.00
411545	                     Marquinho	411330	            Laranjeiras_Do_Sul	    0.66
411350	                        Loanda	411350	                        Loanda	    0.00
412020	                    Porto_Rico	411350	                        Loanda	    0.49
410370	                         Cambe	411370	                      Londrina	    0.28
411370	                      Londrina	411370	                      Londrina	    0.00
411390	                        Mallet	411390	                        Mallet	    0.00
410300	                 Boa_Esperanca	411400	                       Mambore	    0.58
411400	                       Mambore	411400	                       Mambore	    0.00
