NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,410020,"Adrianopolis",1,"Physicians",6453,2.6457
1,410020,"Adrianopolis",2,"Nurses",6453,16.3261
1,410020,"Adrianopolis",3,"OtherCadres",6453,8.0663
1,410020,"Adrianopolis",4,"CommunityBased",6453,31.4906
1,410020,"Adrianopolis",5,"Beds",6453,0
1,410020,"Adrianopolis",6,"CTScanner",6453,0
1,410020,"Adrianopolis",7,"MRIUnit",6453,0
1,410020,"Adrianopolis",8,"Mammography",6453,0
1,410020,"Adrianopolis",9,"Radiotherapy",6453,0
1,410045,"Altamira_Do_Parana",1,"Physicians",2383,0.977
1,410045,"Altamira_Do_Parana",2,"Nurses",2383,6.029
1,410045,"Altamira_Do_Parana",3,"OtherCadres",2383,2.9787
1,410045,"Altamira_Do_Parana",4,"CommunityBased",2383,11.629
1,410045,"Altamira_Do_Parana",5,"Beds",2383,0
1,410045,"Altamira_Do_Parana",6,"CTScanner",2383,0
1,410045,"Altamira_Do_Parana",7,"MRIUnit",2383,0
1,410045,"Altamira_Do_Parana",8,"Mammography",2383,0
1,410045,"Altamira_Do_Parana",9,"Radiotherapy",2383,0
1,410050,"Altonia",1,"Physicians",32104,13.1627
1,410050,"Altonia",2,"Nurses",32104,81.2231
1,410050,"Altonia",3,"OtherCadres",32104,40.13
1,410050,"Altonia",4,"CommunityBased",32104,156.6675
1,410050,"Altonia",5,"Beds",32104,0
1,410050,"Altonia",6,"CTScanner",32104,0
1,410050,"Altonia",7,"MRIUnit",32104,0
1,410050,"Altonia",8,"Mammography",32104,0
1,410050,"Altonia",9,"Radiotherapy",32104,0
1,410060,"Alto_Parana",1,"Physicians",21505,8.817
1,410060,"Alto_Parana",2,"Nurses",21505,54.4077
1,410060,"Alto_Parana",3,"OtherCadres",21505,26.8813
1,410060,"Alto_Parana",4,"CommunityBased",21505,104.9444
1,410060,"Alto_Parana",5,"Beds",21505,0
1,410060,"Alto_Parana",6,"CTScanner",21505,0
1,410060,"Alto_Parana",7,"MRIUnit",21505,0
1,410060,"Alto_Parana",8,"Mammography",21505,0
1,410060,"Alto_Parana",9,"Radiotherapy",21505,0
1,410070,"Alto_Piquiri",1,"Physicians",10673,4.3759
1,410070,"Alto_Piquiri",2,"Nurses",10673,27.0027
1,410070,"Alto_Piquiri",3,"OtherCadres",10673,13.3413
1,410070,"Alto_Piquiri",4,"CommunityBased",10673,52.0842
1,410070,"Alto_Piquiri",5,"Beds",10673,0
1,410070,"Alto_Piquiri",6,"CTScanner",10673,0
1,410070,"Alto_Piquiri",7,"MRIUnit",10673,0
1,410070,"Alto_Piquiri",8,"Mammography",10673,0
1,410070,"Alto_Piquiri",9,"Radiotherapy",10673,0
1,410090,"Amapora",1,"Physicians",6667,2.7335
1,410090,"Amapora",2,"Nurses",6667,16.8675
1,410090,"Amapora",3,"OtherCadres",6667,8.3338
1,410090,"Amapora",4,"CommunityBased",6667,32.535
1,410090,"Amapora",5,"Beds",6667,0
1,410090,"Amapora",6,"CTScanner",6667,0
1,410090,"Amapora",7,"MRIUnit",6667,0
1,410090,"Amapora",8,"Mammography",6667,0
1,410090,"Amapora",9,"Radiotherapy",6667,0
1,410100,"Ampere",1,"Physicians",41641,17.0728
1,410100,"Ampere",2,"Nurses",41641,105.3517
1,410100,"Ampere",3,"OtherCadres",41641,52.0514
1,410100,"Ampere",4,"CommunityBased",41641,203.2081
1,410100,"Ampere",5,"Beds",41641,0
1,410100,"Ampere",6,"CTScanner",41641,0
1,410100,"Ampere",7,"MRIUnit",41641,0
1,410100,"Ampere",8,"Mammography",41641,0
1,410100,"Ampere",9,"Radiotherapy",41641,0
1,410110,"Andira",1,"Physicians",21721,8.9056
1,410110,"Andira",2,"Nurses",21721,54.9541
1,410110,"Andira",3,"OtherCadres",21721,27.1513
1,410110,"Andira",4,"CommunityBased",21721,105.9985
1,410110,"Andira",5,"Beds",21721,0
1,410110,"Andira",6,"CTScanner",21721,0
1,410110,"Andira",7,"MRIUnit",21721,0
1,410110,"Andira",8,"Mammography",21721,0
1,410110,"Andira",9,"Radiotherapy",21721,0
1,410120,"Antonina",1,"Physicians",20504,8.4066
1,410120,"Antonina",2,"Nurses",20504,51.8751
1,410120,"Antonina",3,"OtherCadres",20504,25.63
1,410120,"Antonina",4,"CommunityBased",20504,100.0595
1,410120,"Antonina",5,"Beds",20504,0
1,410120,"Antonina",6,"CTScanner",20504,0
1,410120,"Antonina",7,"MRIUnit",20504,0
1,410120,"Antonina",8,"Mammography",20504,0
1,410120,"Antonina",9,"Radiotherapy",20504,0
1,410130,"Antonio_Olinto",1,"Physicians",8025,3.2903
