NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,330010,"Angra_Dos_Reis",216149,360.96883,259.3788,542.53399,0,577.11783,1.4265834,1.080745,0.6700619,0.0648447
2,330020,"Araruama",140685,234.94395,168.822,353.11935,0,375.62895,0.928521,0.703425,0.4361235,0.0422055
2,330023,"Armacao_Dos_Buzios",449185,750.13895,539.022,1127.45435,0,1199.32395,2.964621,2.245925,1.3924735,0.1347555
2,330040,"Barra_Mansa",702556,1173.26852,843.0672,1763.41556,0,1875.82452,4.6368696,3.51278,2.1779236,0.2107668
2,330060,"Bom_Jesus_Do_Itabapoana",70023,116.93841,84.0276,175.75773,0,186.96141,0.4621518,0.350115,0.2170713,0.0210069
2,330080,"Cachoeiras_De_Macacu",63160,105.4772,75.792,158.5316,0,168.6372,0.416856,0.3158,0.195796,0.018948
2,330100,"Campos_Dos_Goytacazes",542967,906.75489,651.5604,1362.84717,0,1449.72189,3.5835822,2.714835,1.6831977,0.1628901
2,330110,"Cantagalo",55410,92.5347,66.492,139.0791,0,147.9447,0.365706,0.27705,0.171771,0.016623
2,330130,"Casimiro_De_Abreu",46696,77.98232,56.0352,117.20696,0,124.67832,0.3081936,0.23348,0.1447576,0.0140088
2,330140,"Conceicao_De_Macabu",36320,60.6544,43.584,91.1632,0,96.9744,0.239712,0.1816,0.112592,0.010896
2,330170,"Duque_De_Caxias",2218740,3705.2958,2662.488,5569.0374,0,5924.0358,14.643684,11.0937,6.878094,0.665622
2,330200,"Itaguai",135803,226.79101,162.9636,340.86553,0,362.59401,0.8962998,0.679015,0.4209893,0.0407409
2,330220,"Itaperuna",166855,278.64785,200.226,418.80605,0,445.50285,1.101243,0.834275,0.5172505,0.0500565
2,330240,"Macae",271396,453.23132,325.6752,681.20396,0,724.62732,1.7912136,1.35698,0.8413276,0.0814188
2,330250,"Mage",327091,546.24197,392.5092,820.99841,0,873.33297,2.1588006,1.635455,1.0139821,0.0981273
2,330260,"Mangaratiba",47121,78.69207,56.5452,118.27371,0,125.81307,0.3109986,0.235605,0.1460751,0.0141363
2,330290,"Miguel_Pereira",57347,95.76949,68.8164,143.94097,0,153.11649,0.3784902,0.286735,0.1777757,0.0172041
2,330300,"Miracema",37297,62.28599,44.7564,93.61547,0,99.58299,0.2461602,0.186485,0.1156207,0.0111891
2,330330,"Niteroi",551986,921.81662,662.3832,1385.48486,0,1473.80262,3.6431076,2.75993,1.7111566,0.1655958
2,330340,"Nova_Friburgo",263957,440.80819,316.7484,662.53207,0,704.76519,1.7421162,1.319785,0.8182667,0.0791871
2,330350,"Nova_Iguacu",1072611,1791.26037,1287.1332,2692.25361,0,2863.87137,7.0792326,5.363055,3.3250941,0.3217833
2,330360,"Paracambi",565437,944.27979,678.5244,1419.24687,0,1509.71679,3.7318842,2.827185,1.7528547,0.1696311
2,330380,"Paraty",45978,76.78326,55.1736,115.40478,0,122.76126,0.3034548,0.22989,0.1425318,0.0137934
2,330390,"Petropolis",329698,550.59566,395.6376,827.54198,0,880.29366,2.1760068,1.64849,1.0220638,0.0989094
2,330395,"Pinheiral",26900,44.923,32.28,67.519,0,71.823,0.17754,0.1345,0.08339,0.00807
2,330400,"Pirai",51177,85.46559,61.4124,128.45427,0,136.64259,0.3377682,0.255885,0.1586487,0.0153531
2,330415,"Quissama",43449,72.55983,52.1388,109.05699,0,116.00883,0.2867634,0.217245,0.1346919,0.0130347
2,330430,"Rio_Bonito",1677959,2802.19153,2013.5508,4211.67709,0,4480.15053,11.0745294,8.389795,5.2016729,0.5033877
2,330452,"Rio_Das_Ostras",157456,262.95152,188.9472,395.21456,0,420.40752,1.0392096,0.78728,0.4881136,0.0472368
2,330455,"Rio_De_Janeiro",7214328,12047.92776,8657.1936,18107.96328,0,19262.25576,47.6145648,36.07164,22.3644168,2.1642984
2,330470,"Santo_Antonio_De_Padua",141656,236.56552,169.9872,355.55656,0,378.22152,0.9349296,0.70828,0.4391336,0.0424968
2,330475,"Sao_Francisco_De_Itabapoana",45516,76.01172,54.6192,114.24516,0,121.52772,0.3004056,0.22758,0.1410996,0.0136548
2,330500,"Sao_Joao_Da_Barra",38977,65.09159,46.7724,97.83227,0,104.06859,0.2572482,0.194885,0.1208287,0.0116931
2,330515,"Sao_Jose_Do_Vale_Do_Rio_Preto",80036,133.66012,96.0432,200.89036,0,213.69612,0.5282376,0.40018,0.2481116,0.0240108
2,330550,"Saquarema",94593,157.97031,113.5116,237.42843,0,252.56331,0.6243138,0.472965,0.2932383,0.0283779
2,330575,"Tangua",36530,61.0051,43.836,91.6903,0,97.5351,0.241098,0.18265,0.113243,0.010959
2,330580,"Teresopolis",195094,325.80698,234.1128,489.68594,0,520.90098,1.2876204,0.97547,0.6047914,0.0585282
2,330600,"Tres_Rios",110517,184.56339,132.6204,277.39767,0,295.08039,0.7294122,0.552585,0.3426027,0.0331551
2,330610,"Valenca",92091,153.79197,110.5092,231.14841,0,245.88297,0.6078006,0.460455,0.2854821,0.0276273
2,330620,"Vassouras",87090,145.4403,104.508,218.5959,0,232.5303,0.574794,0.43545,0.269979,0.026127
