CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
240030,"Afonso_Bezerra",240080,"Angicos",0.49,2
240080,"Angicos",240080,"Angicos",0,2
240050,"Alexandria",240090,"Antonio_Martins",0.49,2
240090,"Antonio_Martins",240090,"Antonio_Martins",0,2
241355,"Serrinha_Dos_Pintos",240090,"Antonio_Martins",0.53,2
240100,"Apodi",240100,"Apodi",0,2
240370,"Felipe_Guerra",240100,"Apodi",0.54,2
241360,"Severiano_Melo",240100,"Apodi",0.5,2
240110,"Areia_Branca",240110,"Areia_Branca",0,2
240145,"Barauna",240145,"Barauna",0,2
240180,"Brejinho",240180,"Brejinho",0,2
240185,"Caicara_Do_Norte",240185,"Caicara_Do_Norte",0,2
240950,"Pedra_Grande",240185,"Caicara_Do_Norte",0.41,2
240200,"Caico",240200,"Caico",0,2
240560,"Jardim_De_Piranhas",240200,"Caico",0.45,2
240230,"Caraubas",240230,"Caraubas",0,2
240430,"Governador_Dix_Sept_Rosado",240230,"Caraubas",0.64,2
240020,"Acu",240250,"Carnaubais",0.49,2
240250,"Carnaubais",240250,"Carnaubais",0,2
241025,"Porto_Do_Mangue",240250,"Carnaubais",0.59,2
240270,"Cerro_Cora",240270,"Cerro_Cora",0,2
240360,"Extremoz",240360,"Extremoz",0,2
240750,"Maxaranguape",240360,"Extremoz",0.59,2
241200,"Sao_Goncalo_Do_Amarante",240360,"Extremoz",0.41,2
240140,"Baia_Formosa",240420,"Goianinha",0.57,2
240420,"Goianinha",240420,"Goianinha",0,2
241420,"Tibau_Do_Sul",240420,"Goianinha",0.39,2
240440,"Grossos",240440,"Grossos",0,2
241105,"Tibau",240440,"Grossos",0.52,2
240450,"Guamare",240450,"Guamare",0,2
240490,"Itau",240490,"Itau",0,2
240410,"Galinhos",240510,"Jandaira",0.68,2
240510,"Jandaira",240510,"Jandaira",0,2
240130,"Augusto_Severo",240520,"Janduis",0.36,2
240520,"Janduis",240520,"Janduis",0,2
240580,"Joao_Camara",240580,"Joao_Camara",0,2
240600,"Jose_Da_Penha",240600,"Jose_Da_Penha",0,2
240940,"Pau_Dos_Ferros",240600,"Jose_Da_Penha",0.55,2
240610,"Jucurutu",240610,"Jucurutu",0,2
241415,"Tenente_Laurentino_Cruz",240610,"Jucurutu",0.7,2
241445,"Triunfo_Potiguar",240610,"Jucurutu",0.5,2
240310,"Currais_Novos",240650,"Lagoa_Nova",0.49,2
240650,"Lagoa_Nova",240650,"Lagoa_Nova",0,2
240670,"Lajes",240670,"Lajes",0,2
240710,"Macaiba",240710,"Macaiba",0,2
240720,"Macau",240720,"Macau",0,2
240760,"Messias_Targino",240760,"Messias_Targino",0,2
240800,"Mossoro",240800,"Mossoro",0,2
240810,"Natal",240810,"Natal",0,2
240830,"Nova_Cruz",240830,"Nova_Cruz",0,2
240910,"Passa_E_Fica",240830,"Nova_Cruz",0.49,2
240010,"Acari",240890,"Parelhas",0.54,2
240240,"Carnauba_Dos_Dantas",240890,"Parelhas",0.46,2
240570,"Jardim_Do_Serido",240890,"Parelhas",0.36,2
240890,"Parelhas",240890,"Parelhas",0,2
241142,"Santana_Do_Serido",240890,"Parelhas",0.31,2
240895,"Rio_Do_Fogo",240895,"Rio_Do_Fogo",0,2
241440,"Touros",240895,"Rio_Do_Fogo",0.26,2
240690,"Lucrecia",240930,"Patu",0.48,2
240930,"Patu",240930,"Patu",0,2
241010,"Poco_Branco",241010,"Poco_Branco",0,2
241040,"Pureza",241010,"Poco_Branco",0.68,2
240500,"Jacana",241120,"Santa_Cruz",0.59,2
240540,"Japi",241120,"Santa_Cruz",0.53,2
241120,"Santa_Cruz",241120,"Santa_Cruz",0,2
241400,"Tangara",241120,"Santa_Cruz",0.47,2
241140,"Santana_Do_Matos",241140,"Santana_Do_Matos",0,2
241150,"Santo_Antonio",241150,"Santo_Antonio",0,2
241230,"Sao_Jose_Do_Campestre",241230,"Sao_Jose_Do_Campestre",0,2
241250,"Sao_Miguel",241250,"Sao_Miguel",0,2
241255,"Sao_Miguel_Do_Gostoso",241255,"Sao_Miguel_Do_Gostoso",0,2
240460,"Ielmo_Marinho",241260,"Sao_Paulo_Do_Potengi",0.6,2
241110,"Ruy_Barbosa",241260,"Sao_Paulo_Do_Potengi",0.58,2
241260,"Sao_Paulo_Do_Potengi",241260,"Sao_Paulo_Do_Potengi",0,2
241280,"Sao_Rafael",241280,"Sao_Rafael",0,2
241335,"Serra_Do_Mel",241335,"Serra_Do_Mel",0,2
241210,"Sao_Joao_Do_Sabugi",241340,"Serra_Negra_Do_Norte",0.52,2
241340,"Serra_Negra_Do_Norte",241340,"Serra_Negra_Do_Norte",0,2
241410,"Tenente_Ananias",241410,"Tenente_Ananias",0,2
