NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,240080,"Angicos",27831,46.47777,33.3972,69.85581,0,74.30877,0.1836846,0.139155,0.0862761,0.0083493
2,240090,"Antonio_Martins",43872,73.26624,52.6464,110.11872,0,117.13824,0.2895552,0.21936,0.1360032,0.0131616
2,240100,"Apodi",59476,99.32492,71.3712,149.28476,0,158.80092,0.3925416,0.29738,0.1843756,0.0178428
2,240110,"Areia_Branca",29296,48.92432,35.1552,73.53296,0,78.22032,0.1933536,0.14648,0.0908176,0.0087888
2,240145,"Barauna",30193,50.42231,36.2316,75.78443,0,80.61531,0.1992738,0.150965,0.0935983,0.0090579
2,240180,"Brejinho",136414,227.81138,163.6968,342.39914,0,364.22538,0.9003324,0.68207,0.4228834,0.0409242
2,240185,"Caicara_Do_Norte",19188,32.04396,23.0256,48.16188,0,51.23196,0.1266408,0.09594,0.0594828,0.0057564
2,240200,"Caico",100160,167.2672,120.192,251.4016,0,267.4272,0.661056,0.5008,0.310496,0.030048
2,240230,"Caraubas",36067,60.23189,43.2804,90.52817,0,96.29889,0.2380422,0.180335,0.1118077,0.0108201
2,240250,"Carnaubais",137218,229.15406,164.6616,344.41718,0,366.37206,0.9056388,0.68609,0.4253758,0.0411654
2,240270,"Cerro_Cora",14483,24.18661,17.3796,36.35233,0,38.66961,0.0955878,0.072415,0.0448973,0.0043449
2,240360,"Extremoz",507360,847.2912,608.832,1273.4736,0,1354.6512,3.348576,2.5368,1.572816,0.152208
2,240420,"Goianinha",113082,188.84694,135.6984,283.83582,0,301.92894,0.7463412,0.56541,0.3505542,0.0339246
2,240440,"Grossos",15502,25.88834,18.6024,38.91002,0,41.39034,0.1023132,0.07751,0.0480562,0.0046506
2,240450,"Guamare",16555,27.64685,19.866,41.55305,0,44.20185,0.109263,0.082775,0.0513205,0.0049665
2,240490,"Itau",16606,27.73202,19.9272,41.68106,0,44.33802,0.1095996,0.08303,0.0514786,0.0049818
2,240510,"Jandaira",10342,17.27114,12.4104,25.95842,0,27.61314,0.0682572,0.05171,0.0320602,0.0031026
2,240520,"Janduis",31755,53.03085,38.106,79.70505,0,84.78585,0.209583,0.158775,0.0984405,0.0095265
2,240580,"Joao_Camara",46198,77.15066,55.4376,115.95698,0,123.34866,0.3049068,0.23099,0.1432138,0.0138594
2,240600,"Jose_Da_Penha",102488,171.15496,122.9856,257.24488,0,273.64296,0.6764208,0.51244,0.3177128,0.0307464
2,240610,"Jucurutu",43490,72.6283,52.188,109.1599,0,116.1183,0.287034,0.21745,0.134819,0.013047
2,240650,"Lagoa_Nova",71764,119.84588,86.1168,180.12764,0,191.60988,0.4736424,0.35882,0.2224684,0.0215292
2,240670,"Lajes",26013,43.44171,31.2156,65.29263,0,69.45471,0.1716858,0.130065,0.0806403,0.0078039
2,240710,"Macaiba",110247,184.11249,132.2964,276.71997,0,294.35949,0.7276302,0.551235,0.3417657,0.0330741
2,240720,"Macau",34065,56.88855,40.878,85.50315,0,90.95355,0.224829,0.170325,0.1056015,0.0102195
2,240760,"Messias_Targino",4927,8.22809,5.9124,12.36677,0,13.15509,0.0325182,0.024635,0.0152737,0.0014781
2,240800,"Mossoro",317175,529.68225,380.61,796.10925,0,846.85725,2.093355,1.585875,0.9832425,0.0951525
2,240810,"Natal",946577,1580.78359,1135.8924,2375.90827,0,2527.36059,6.2474082,4.732885,2.9343887,0.2839731
2,240830,"Nova_Cruz",98148,163.90716,117.7776,246.35148,0,262.05516,0.6477768,0.49074,0.3042588,0.0294444
2,240890,"Parelhas",80467,134.37989,96.5604,201.97217,0,214.84689,0.5310822,0.402335,0.2494477,0.0241401
2,240895,"Rio_Do_Fogo",48020,80.1934,57.624,120.5302,0,128.2134,0.316932,0.2401,0.148862,0.014406
2,240930,"Patu",47005,78.49835,56.406,117.98255,0,125.50335,0.310233,0.235025,0.1457155,0.0141015
2,241010,"Poco_Branco",39982,66.76994,47.9784,100.35482,0,106.75194,0.2638812,0.19991,0.1239442,0.0119946
2,241120,"Santa_Cruz",108250,180.7775,129.9,271.7075,0,289.0275,0.71445,0.54125,0.335575,0.032475
2,241140,"Santana_Do_Matos",13972,23.33324,16.7664,35.06972,0,37.30524,0.0922152,0.06986,0.0433132,0.0041916
2,241150,"Santo_Antonio",62856,104.96952,75.4272,157.76856,0,167.82552,0.4148496,0.31428,0.1948536,0.0188568
2,241230,"Sao_Jose_Do_Campestre",13841,23.11447,16.6092,34.74091,0,36.95547,0.0913506,0.069205,0.0429071,0.0041523
2,241250,"Sao_Miguel",34985,58.42495,41.982,87.81235,0,93.40995,0.230901,0.174925,0.1084535,0.0104955
2,241255,"Sao_Miguel_Do_Gostoso",10280,17.1676,12.336,25.8028,0,27.4476,0.067848,0.0514,0.031868,0.003084
2,241260,"Sao_Paulo_Do_Potengi",95235,159.04245,114.282,239.03985,0,254.27745,0.628551,0.476175,0.2952285,0.0285705
2,241280,"Sao_Rafael",8857,14.79119,10.6284,22.23107,0,23.64819,0.0584562,0.044285,0.0274567,0.0026571
2,241335,"Serra_Do_Mel",12716,21.23572,15.2592,31.91716,0,33.95172,0.0839256,0.06358,0.0394196,0.0038148
2,241340,"Serra_Negra_Do_Norte",17765,29.66755,21.318,44.59015,0,47.43255,0.117249,0.088825,0.0550715,0.0053295
2,241410,"Tenente_Ananias",11557,19.30019,13.8684,29.00807,0,30.85719,0.0762762,0.057785,0.0358267,0.0034671
