NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,110001,"Alta_Floresta_Doeste",24987,41.72829,29.9844,62.71737,0,66.71529,0.1649142,0.124935,0.0774597,0.0074961
2,110002,"Ariquemes",114507,191.22669,137.4084,287.41257,0,305.73369,0.7557462,0.572535,0.3549717,0.0343521
2,110004,"Cacoal",91475,152.76325,109.77,229.60225,0,244.23825,0.603735,0.457375,0.2835725,0.0274425
2,110005,"Cerejeiras",28260,47.1942,33.912,70.9326,0,75.4542,0.186516,0.1413,0.087606,0.008478
2,110006,"Colorado_Do_Oeste",23367,39.02289,28.0404,58.65117,0,62.38989,0.1542222,0.116835,0.0724377,0.0070101
2,110008,"Costa_Marques",19257,32.15919,23.1084,48.33507,0,51.41619,0.1270962,0.096285,0.0596967,0.0057771
2,110009,"Espigao_Doeste",34564,57.72188,41.4768,86.75564,0,92.28588,0.2281224,0.17282,0.1071484,0.0103692
2,110010,"Guajara_Mirim",49379,82.46293,59.2548,123.94129,0,131.84193,0.3259014,0.246895,0.1530749,0.0148137
2,110011,"Jaru",56012,93.54004,67.2144,140.59012,0,149.55204,0.3696792,0.28006,0.1736372,0.0168036
2,110012,"Ji_Parana",137954,230.38318,165.5448,346.26454,0,368.33718,0.9104964,0.68977,0.4276574,0.0413862
2,110013,"Machadinho_Doeste",42168,70.42056,50.6016,105.84168,0,112.58856,0.2783088,0.21084,0.1307208,0.0126504
2,110014,"Nova_Brasilandia_Doeste",22066,36.85022,26.4792,55.38566,0,58.91622,0.1456356,0.11033,0.0684046,0.0066198
2,110015,"Ouro_Preto_Do_Oeste",39194,65.45398,47.0328,98.37694,0,104.64798,0.2586804,0.19597,0.1215014,0.0117582
2,110018,"Pimenta_Bueno",42466,70.91822,50.9592,106.58966,0,113.38422,0.2802756,0.21233,0.1316446,0.0127398
2,110020,"Porto_Velho",560339,935.76613,672.4068,1406.45089,0,1496.10513,3.6982374,2.801695,1.7370509,0.1681017
2,110025,"Presidente_Medici",20934,34.95978,25.1208,52.54434,0,55.89378,0.1381644,0.10467,0.0648954,0.0062802
2,110028,"Rolim_De_Moura",72008,120.25336,86.4096,180.74008,0,192.26136,0.4752528,0.36004,0.2232248,0.0216024
2,110030,"Vilhena",105102,175.52034,126.1224,263.80602,0,280.62234,0.6936732,0.52551,0.3258162,0.0315306
2,110032,"Sao_Miguel_Do_Guapore",24732,41.30244,29.6784,62.07732,0,66.03444,0.1632312,0.12366,0.0766692,0.0074196
2,110033,"Nova_Mamore",32094,53.59698,38.5128,80.55594,0,85.69098,0.2118204,0.16047,0.0994914,0.0096282
2,110037,"Alto_Alegre_Dos_Parecis",20680,34.5356,24.816,51.9068,0,55.2156,0.136488,0.1034,0.064108,0.006204
2,110040,"Alto_Paraiso",26663,44.52721,31.9956,66.92413,0,71.19021,0.1759758,0.133315,0.0826553,0.0079989
2,110045,"Buritis",41995,70.13165,50.394,105.40745,0,112.12665,0.277167,0.209975,0.1301845,0.0125985
2,110050,"Novo_Horizonte_Do_Oeste",12802,21.37934,15.3624,32.13302,0,34.18134,0.0844932,0.06401,0.0396862,0.0038406
2,110092,"Chupinguaia",11741,19.60747,14.0892,29.46991,0,31.34847,0.0774906,0.058705,0.0363971,0.0035223
2,110094,"Cujubim",26129,43.63543,31.3548,65.58379,0,69.76443,0.1724514,0.130645,0.0809999,0.0078387
2,110100,"Governador_Jorge_Teixeira",15407,25.72969,18.4884,38.67157,0,41.13669,0.1016862,0.077035,0.0477617,0.0046221
2,110110,"Itapua_Do_Oeste",39103,65.30201,46.9236,98.14853,0,104.40501,0.2580798,0.195515,0.1212193,0.0117309
2,110120,"Ministro_Andreazza",10529,17.58343,12.6348,26.42779,0,28.11243,0.0694914,0.052645,0.0326399,0.0031587
2,110140,"Monte_Negro",32037,53.50179,38.4444,80.41287,0,85.53879,0.2114442,0.160185,0.0993147,0.0096111
2,110149,"Sao_Francisco_Do_Guapore",21401,35.73967,25.6812,53.71651,0,57.14067,0.1412466,0.107005,0.0663431,0.0064203
2,110150,"Seringueiras",12792,21.36264,15.3504,32.10792,0,34.15464,0.0844272,0.06396,0.0396552,0.0038376
2,110160,"Theobroma",18866,31.50622,22.6392,47.35366,0,50.37222,0.1245156,0.09433,0.0584846,0.0056598
2,110170,"Urupa",52738,88.07246,63.2856,132.37238,0,140.81046,0.3480708,0.26369,0.1634878,0.0158214
2,110175,"Vale_Do_Anari",11894,19.86298,14.2728,29.85394,0,31.75698,0.0785004,0.05947,0.0368714,0.0035682
