CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
430003	                        Acegua	430003	                        Acegua	    0.00
430010	                         Agudo	430010	                         Agudo	    0.00
431402	                Paraiso_Do_Sul	430010	                         Agudo	    0.35
430020	                     Ajuricaba	430020	                     Ajuricaba	    0.00
430030	                       Alecrim	430030	                       Alecrim	    0.00
430040	                      Alegrete	430040	                      Alegrete	    0.00
430063	               Amaral_Ferrador	430063	               Amaral_Ferrador	    0.00
430064	               Ametista_Do_Sul	430064	               Ametista_Do_Sul	    0.00
430607	                Cristal_Do_Sul	430064	               Ametista_Do_Sul	    0.49
431445	                        Pinhal	430064	               Ametista_Do_Sul	    0.46
431590	                 Rodeio_Bonito	430064	               Ametista_Do_Sul	    0.32
430070	                    Anta_Gorda	430070	                    Anta_Gorda	    0.00
430140	                   Arvorezinha	430070	                    Anta_Gorda	    0.40
431030	                      Ilopolis	430070	                    Anta_Gorda	    0.23
431520	                       Putinga	430070	                    Anta_Gorda	    0.43
430080	                 Antonio_Prado	430080	                 Antonio_Prado	    0.00
431043	                           Ipe	430080	                 Antonio_Prado	    0.15
430085	                      Arambare	430085	                      Arambare	    0.00
430090	                       Aratiba	430090	                       Aratiba	    0.00
430100	                Arroio_Do_Meio	430100	                Arroio_Do_Meio	    0.00
430107	               Arroio_Do_Padre	430107	               Arroio_Do_Padre	    0.00
430120	               Arroio_Do_Tigre	430120	               Arroio_Do_Tigre	    0.00
430130	                 Arroio_Grande	430130	                 Arroio_Grande	    0.00
430150	               Augusto_Pestana	430150	               Augusto_Pestana	    0.00
430783	             Eugenio_De_Castro	430150	               Augusto_Pestana	    0.49
431115	                          Joia	430150	               Augusto_Pestana	    0.40
430155	                         Aurea	430155	                         Aurea	    0.00
430511	                    Centenario	430155	                         Aurea	    0.40
430160	                          Bage	430160	                          Bage	    0.00
430163	              Balneario_Pinhal	430163	              Balneario_Pinhal	    0.00
430185	              Barra_Do_Guarita	430185	              Barra_Do_Guarita	    0.00
431449	           Pinheirinho_Do_Vale	430185	              Barra_Do_Guarita	    0.51
430187	               Barra_Do_Quarai	430187	               Barra_Do_Quarai	    0.00
430190	              Barra_Do_Ribeiro	430190	              Barra_Do_Ribeiro	    0.00
430192	             Barra_Do_Rio_Azul	430192	             Barra_Do_Rio_Azul	    0.00
431070	                Itatiba_Do_Sul	430192	             Barra_Do_Rio_Azul	    0.25
430200	                 Barros_Cassal	430200	                 Barros_Cassal	    0.00
430205	      Benjamin_Constant_Do_Sul	430205	      Benjamin_Constant_Do_Sul	    0.00
430720	                  Erval_Grande	430205	      Benjamin_Constant_Do_Sul	    0.44
430805	                  Faxinalzinho	430205	      Benjamin_Constant_Do_Sul	    0.40
431970	                  Sao_Valentim	430205	      Benjamin_Constant_Do_Sul	    0.30
430210	               Bento_Goncalves	430210	               Bento_Goncalves	    0.00
431238	             Monte_Belo_Do_Sul	430210	               Bento_Goncalves	    0.41
431454	                Pinto_Bandeira	430210	               Bento_Goncalves	    0.47
430222	          Boa_Vista_Do_Cadeado	430222	          Boa_Vista_Do_Cadeado	    0.00
430230	                     Bom_Jesus	430230	                     Bom_Jesus	    0.00
430250	                     Bossoroca	430250	                     Bossoroca	    0.00
430270	                         Butia	430270	                         Butia	    0.00
431225	                 Minas_Do_Leao	430270	                         Butia	    0.24
430280	               Cacapava_Do_Sul	430280	               Cacapava_Do_Sul	    0.00
430290	                       Cacequi	430290	                       Cacequi	    0.00
430300	              Cachoeira_Do_Sul	430300	              Cachoeira_Do_Sul	    0.00
430330	                       Caibate	430330	                       Caibate	    0.00
431217	                 Mato_Queimado	430330	                       Caibate	    0.09
430340	                       Caicara	430340	                       Caicara	    0.00
432310	                 Vicente_Dutra	430340	                       Caicara	    0.36
430350	                       Camaqua	430350	                       Camaqua	    0.00
430360	                Cambara_Do_Sul	430360	                Cambara_Do_Sul	    0.00
430380	               Campinas_Do_Sul	430380	               Campinas_Do_Sul	    0.00
430613	                   Cruzaltense	430380	               Campinas_Do_Sul	    0.16
431090	                     Jacutinga	430380	               Campinas_Do_Sul	    0.20
430390	                     Campo_Bom	430390	                     Campo_Bom	    0.00
430410	                 Campos_Borges	430410	                 Campos_Borges	    0.00
430420	                    Candelaria	430420	                    Candelaria	    0.00
