NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,280020,"Aquidaba",29394,49.08798,35.2728,73.77894,0,78.48198,0.1940004,0.14697,0.0911214,0.0088182
2,280030,"Aracaju",699912,1168.85304,839.8944,1756.77912,0,1868.76504,4.6194192,3.49956,2.1697272,0.2099736
2,280120,"Caninde_De_Sao_Francisco",85165,142.22555,102.198,213.76415,0,227.39055,0.562089,0.425825,0.2640115,0.0255495
2,280130,"Capela",98629,164.71043,118.3548,247.55879,0,263.33943,0.6509514,0.493145,0.3057499,0.0295887
2,280140,"Carira",23430,39.1281,28.116,58.8093,0,62.5581,0.154638,0.11715,0.072633,0.007029
2,280210,"Estancia",263313,439.73271,315.9756,660.91563,0,703.04571,1.7378658,1.316565,0.8162703,0.0789939
2,280240,"Gararu",24804,41.42268,29.7648,62.25804,0,66.22668,0.1637064,0.12402,0.0768924,0.0074412
2,280290,"Itabaiana",158228,264.24076,189.8736,397.15228,0,422.46876,1.0443048,0.79114,0.4905068,0.0474684
2,280300,"Itabaianinha",59045,98.60515,70.854,148.20295,0,157.65015,0.389697,0.295225,0.1830395,0.0177135
2,280350,"Lagarto",164412,274.56804,197.2944,412.67412,0,438.98004,1.0851192,0.82206,0.5096772,0.0493236
2,280440,"Neopolis",76215,127.27905,91.458,191.29965,0,203.49405,0.503019,0.381075,0.2362665,0.0228645
2,280450,"Nossa_Senhora_Da_Gloria",63368,105.82456,76.0416,159.05368,0,169.19256,0.4182288,0.31684,0.1964408,0.0190104
2,280480,"Nossa_Senhora_Do_Socorro",480047,801.67849,576.0564,1204.91797,0,1281.72549,3.1683102,2.400235,1.4881457,0.1440141
2,280550,"Poco_Verde",25439,42.48313,30.5268,63.85189,0,67.92213,0.1678974,0.127195,0.0788609,0.0076317
2,280560,"Porto_Da_Folha",30735,51.32745,36.882,77.14485,0,82.06245,0.202851,0.153675,0.0952785,0.0092205
2,280570,"Propria",65020,108.5834,78.024,163.2002,0,173.6034,0.429132,0.3251,0.201562,0.019506
2,280710,"Simao_Dias",54191,90.49897,65.0292,136.01941,0,144.68997,0.3576606,0.270955,0.1679921,0.0162573
2,280740,"Tobias_Barreto",55915,93.37805,67.098,140.34665,0,149.29305,0.369039,0.279575,0.1733365,0.0167745
