NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,280020,"Aquidaba",1,"Physicians",29394,12.0516
1,280020,"Aquidaba",2,"Nurses",29394,74.3668
1,280020,"Aquidaba",3,"OtherCadres",29394,36.7426
1,280020,"Aquidaba",4,"CommunityBased",29394,143.4428
1,280020,"Aquidaba",5,"Beds",29394,0
1,280020,"Aquidaba",6,"CTScanner",29394,0
1,280020,"Aquidaba",7,"MRIUnit",29394,0
1,280020,"Aquidaba",8,"Mammography",29394,0
1,280020,"Aquidaba",9,"Radiotherapy",29394,0
1,280030,"Aracaju",1,"Physicians",699912,286.9639
1,280030,"Aracaju",2,"Nurses",699912,1770.7774
1,280030,"Aracaju",3,"OtherCadres",699912,874.89
1,280030,"Aracaju",4,"CommunityBased",699912,3415.5706
1,280030,"Aracaju",5,"Beds",699912,0
1,280030,"Aracaju",6,"CTScanner",699912,0
1,280030,"Aracaju",7,"MRIUnit",699912,0
1,280030,"Aracaju",8,"Mammography",699912,0
1,280030,"Aracaju",9,"Radiotherapy",699912,0
1,280040,"Araua",1,"Physicians",40873,16.758
1,280040,"Araua",2,"Nurses",40873,103.4087
1,280040,"Araua",3,"OtherCadres",40873,51.0914
1,280040,"Araua",4,"CommunityBased",40873,199.4603
1,280040,"Araua",5,"Beds",40873,0
1,280040,"Araua",6,"CTScanner",40873,0
1,280040,"Araua",7,"MRIUnit",40873,0
1,280040,"Araua",8,"Mammography",40873,0
1,280040,"Araua",9,"Radiotherapy",40873,0
1,280067,"Boquim",1,"Physicians",50370,20.6517
1,280067,"Boquim",2,"Nurses",50370,127.4361
1,280067,"Boquim",3,"OtherCadres",50370,62.9626
1,280067,"Boquim",4,"CommunityBased",50370,245.8056
1,280067,"Boquim",5,"Beds",50370,0
1,280067,"Boquim",6,"CTScanner",50370,0
1,280067,"Boquim",7,"MRIUnit",50370,0
1,280067,"Boquim",8,"Mammography",50370,0
1,280067,"Boquim",9,"Radiotherapy",50370,0
1,280120,"Caninde_De_Sao_Francisco",1,"Physicians",31742,13.0142
1,280120,"Caninde_De_Sao_Francisco",2,"Nurses",31742,80.3073
1,280120,"Caninde_De_Sao_Francisco",3,"OtherCadres",31742,39.6775
1,280120,"Caninde_De_Sao_Francisco",4,"CommunityBased",31742,154.901
1,280120,"Caninde_De_Sao_Francisco",5,"Beds",31742,0
1,280120,"Caninde_De_Sao_Francisco",6,"CTScanner",31742,0
1,280120,"Caninde_De_Sao_Francisco",7,"MRIUnit",31742,0
1,280120,"Caninde_De_Sao_Francisco",8,"Mammography",31742,0
1,280120,"Caninde_De_Sao_Francisco",9,"Radiotherapy",31742,0
1,280130,"Capela",1,"Physicians",65105,26.6931
1,280130,"Capela",2,"Nurses",65105,164.7156
1,280130,"Capela",3,"OtherCadres",65105,81.3813
1,280130,"Capela",4,"CommunityBased",65105,317.7124
1,280130,"Capela",5,"Beds",65105,0
1,280130,"Capela",6,"CTScanner",65105,0
1,280130,"Capela",7,"MRIUnit",65105,0
1,280130,"Capela",8,"Mammography",65105,0
1,280130,"Capela",9,"Radiotherapy",65105,0
1,280140,"Carira",1,"Physicians",23430,9.6063
1,280140,"Carira",2,"Nurses",23430,59.2779
1,280140,"Carira",3,"OtherCadres",23430,29.2875
1,280140,"Carira",4,"CommunityBased",23430,114.3384
1,280140,"Carira",5,"Beds",23430,0
1,280140,"Carira",6,"CTScanner",23430,0
1,280140,"Carira",7,"MRIUnit",23430,0
1,280140,"Carira",8,"Mammography",23430,0
1,280140,"Carira",9,"Radiotherapy",23430,0
1,280210,"Estancia",1,"Physicians",137871,56.5271
1,280210,"Estancia",2,"Nurses",137871,348.8136
1,280210,"Estancia",3,"OtherCadres",137871,172.3388
1,280210,"Estancia",4,"CommunityBased",137871,672.8104
1,280210,"Estancia",5,"Beds",137871,0
1,280210,"Estancia",6,"CTScanner",137871,0
1,280210,"Estancia",7,"MRIUnit",137871,0
1,280210,"Estancia",8,"Mammography",137871,0
1,280210,"Estancia",9,"Radiotherapy",137871,0
1,280220,"Feira_Nova",1,"Physicians",10293,4.2201
1,280220,"Feira_Nova",2,"Nurses",10293,26.0413
1,280220,"Feira_Nova",3,"OtherCadres",10293,12.8663
1,280220,"Feira_Nova",4,"CommunityBased",10293,50.2298
1,280220,"Feira_Nova",5,"Beds",10293,0
1,280220,"Feira_Nova",6,"CTScanner",10293,0
1,280220,"Feira_Nova",7,"MRIUnit",10293,0
1,280220,"Feira_Nova",8,"Mammography",10293,0
1,280220,"Feira_Nova",9,"Radiotherapy",10293,0
1,280240,"Gararu",1,"Physicians",24804,10.1697
1,280240,"Gararu",2,"Nurses",24804,62.754
1,280240,"Gararu",3,"OtherCadres",24804,31.005
