CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
350020	                        Adolfo	350020	                        Adolfo	    0.00
350050	              Aguas_De_Lindoia	350050	              Aguas_De_Lindoia	    0.00
352700	                       Lindoia	350050	              Aguas_De_Lindoia	    0.16
350060	            Aguas_De_Sao_Pedro	350060	            Aguas_De_Sao_Pedro	    0.00
351170	                    Charqueada	350060	            Aguas_De_Sao_Pedro	    0.47
355040	                     Sao_Pedro	350060	            Aguas_De_Sao_Pedro	    0.21
350070	                        Agudos	350070	                        Agudos	    0.00
350745	                        Borebi	350070	                        Agudos	    0.27
350100	                   Altinopolis	350100	                   Altinopolis	    0.00
350110	                   Alto_Alegre	350110	                   Alto_Alegre	    0.00
352770	                     Luiziania	350110	                   Alto_Alegre	    0.35
350080	             Alfredo_Marcondes	350130	               Alvares_Machado	    0.39
350130	               Alvares_Machado	350130	               Alvares_Machado	    0.00
353920	                   Pirapozinho	350130	               Alvares_Machado	    0.48
350150	                   Alvinlandia	350150	                   Alvinlandia	    0.00
355550	                     Ubirajara	350150	                   Alvinlandia	    0.32
350160	                     Americana	350160	                     Americana	    0.00
352690	                       Limeira	350160	                     Americana	    0.45
350170	           Americo_Brasiliense	350170	           Americo_Brasiliense	    0.00
354370	                        Rincao	350170	           Americo_Brasiliense	    0.41
354690	                   Santa_Lucia	350170	           Americo_Brasiliense	    0.13
350180	             Americo_De_Campos	350180	             Americo_De_Campos	    0.00
350190	                        Amparo	350190	                        Amparo	    0.00
350210	                     Andradina	350210	                     Andradina	    0.00
351100	                      Castilho	350210	                     Andradina	    0.27
350220	                      Angatuba	350220	                      Angatuba	    0.00
350945	       Campina_Do_Monte_Alegre	350220	                      Angatuba	    0.34
350230	                       Anhembi	350230	                       Anhembi	    0.00
350250	                     Aparecida	350250	                     Aparecida	    0.00
350270	                         Apiai	350270	                         Apiai	    0.00
352215	                        Itaoca	350270	                         Apiai	    0.43
354280	                       Ribeira	350270	                         Apiai	    0.51
350310	                        Arandu	350310	                        Arandu	    0.00
350330	                        Araras	350330	                        Araras	    0.00
350340	                       Arealva	350340	                       Arealva	    0.00
352200	                         Itaju	350340	                       Arealva	    0.37
350350	                        Areias	350350	                        Areias	    0.00
350390	                         Aruja	350390	                         Aruja	    0.00
353980	                           Poa	350390	                         Aruja	    0.41
355250	                        Suzano	350390	                         Aruja	    0.35
350400	                         Assis	350400	                         Assis	    0.00
350420	                     Auriflama	350420	                     Auriflama	    0.00
351890	                    Guzolandia	350420	                     Auriflama	    0.22
350450	                         Avare	350450	                         Avare	    0.00
350490	                       Bananal	350490	                       Bananal	    0.00
350520	                        Bariri	350520	                        Bariri	    0.00
350535	               Barra_Do_Chapeu	350535	               Barra_Do_Chapeu	    0.00
350540	                Barra_Do_Turvo	350540	                Barra_Do_Turvo	    0.00
350550	                      Barretos	350550	                      Barretos	    0.00
350570	                       Barueri	350570	                       Barueri	    0.00
350590	                      Batatais	350590	                      Batatais	    0.00
350600	                         Bauru	350600	                         Bauru	    0.00
350610	                     Bebedouro	350610	                     Bebedouro	    0.00
355680	                     Viradouro	350610	                     Bebedouro	    0.46
350630	          Bernardino_De_Campos	350630	          Bernardino_De_Campos	    0.00
352860	                       Manduri	350630	          Bernardino_De_Campos	    0.34
353380	                          Oleo	350630	          Bernardino_De_Campos	    0.37
350635	                      Bertioga	350635	                      Bertioga	    0.00
350280	                     Aracatuba	350640	                         Bilac	    0.44
350640	                         Bilac	350640	                         Bilac	    0.00
350650	                       Birigui	350640	                         Bilac	    0.31
351250	                      Coroados	350640	                         Bilac	    0.38
351650	              Gabriel_Monteiro	350640	                         Bilac	    0.30
351710	                      Glicerio	350640	                         Bilac	    0.48
353770	                       Piacatu	350640	                         Bilac	    0.44
354840	         Santopolis_Do_Aguapei	350640	                         Bilac	    0.48
350670	          Boa_Esperanca_Do_Sul	350680	                       Bocaina	    0.40
350680	                       Bocaina	350680	                       Bocaina	    0.00
351430	                       Dourado	350680	                       Bocaina	    0.50
350690	                        Bofete	350690	                        Bofete	    0.00
