NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	350170	Americo_Brasiliense	72402.00	120.91	86.88	181.73	0.00	193.31	0.48	0.36	0.22	0.02
2	350190	Amparo	193180.00	322.61	231.82	484.88	0.00	515.79	1.27	0.97	0.60	0.06
2	350210	Andradina	88153.00	147.22	105.78	221.26	0.00	235.37	0.58	0.44	0.27	0.03
2	350220	Angatuba	33392.00	55.76	40.07	83.81	0.00	89.16	0.22	0.17	0.10	0.01
2	350250	Aparecida	38967.00	65.07	46.76	97.81	0.00	104.04	0.26	0.19	0.12	0.01
2	350270	Apiai	44332.00	74.03	53.20	111.27	0.00	118.37	0.29	0.22	0.14	0.01
2	350310	Arandu	6847.00	11.43	8.22	17.19	0.00	18.28	0.05	0.03	0.02	0.00
2	350330	Araras	318005.00	531.07	381.61	798.19	0.00	849.07	2.10	1.59	0.99	0.10
2	350340	Arealva	13252.00	22.13	15.90	33.26	0.00	35.38	0.09	0.07	0.04	0.00
2	350400	Assis	170877.00	285.36	205.05	428.90	0.00	456.24	1.13	0.85	0.53	0.05
2	350420	Auriflama	46105.00	77.00	55.33	115.72	0.00	123.10	0.30	0.23	0.14	0.01
2	350450	Avare	97137.00	162.22	116.56	243.81	0.00	259.36	0.64	0.49	0.30	0.03
2	350490	Bananal	18902.00	31.57	22.68	47.44	0.00	50.47	0.12	0.09	0.06	0.01
2	350520	Bariri	37707.00	62.97	45.25	94.64	0.00	100.68	0.25	0.19	0.12	0.01
2	350540	Barra_Do_Turvo	12862.00	21.48	15.43	32.28	0.00	34.34	0.08	0.06	0.04	0.00
2	350550	Barretos	130875.00	218.56	157.05	328.50	0.00	349.44	0.86	0.65	0.41	0.04
2	350570	Barueri	292616.00	488.67	351.14	734.47	0.00	781.28	1.93	1.46	0.91	0.09
2	350590	Batatais	66896.00	111.72	80.28	167.91	0.00	178.61	0.44	0.33	0.21	0.02
2	350600	Bauru	533504.00	890.95	640.20	1339.10	0.00	1424.46	3.52	2.67	1.65	0.16
2	350630	Bernardino_De_Campos	28152.00	47.01	33.78	70.66	0.00	75.17	0.19	0.14	0.09	0.01
