NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,170035,"Alianca_Do_Tocantins",1,"Physicians",7703,3.1582
1,170035,"Alianca_Do_Tocantins",2,"Nurses",7703,19.4886
1,170035,"Alianca_Do_Tocantins",3,"OtherCadres",7703,9.6288
1,170035,"Alianca_Do_Tocantins",4,"CommunityBased",7703,37.5907
1,170035,"Alianca_Do_Tocantins",5,"Beds",7703,0
1,170035,"Alianca_Do_Tocantins",6,"CTScanner",7703,0
1,170035,"Alianca_Do_Tocantins",7,"MRIUnit",7703,0
1,170035,"Alianca_Do_Tocantins",8,"Mammography",7703,0
1,170035,"Alianca_Do_Tocantins",9,"Radiotherapy",7703,0
1,170040,"Almas",1,"Physicians",7691,3.1533
1,170040,"Almas",2,"Nurses",7691,19.4582
1,170040,"Almas",3,"OtherCadres",7691,9.6138
1,170040,"Almas",4,"CommunityBased",7691,37.5321
1,170040,"Almas",5,"Beds",7691,0
1,170040,"Almas",6,"CTScanner",7691,0
1,170040,"Almas",7,"MRIUnit",7691,0
1,170040,"Almas",8,"Mammography",7691,0
1,170040,"Almas",9,"Radiotherapy",7691,0
1,170070,"Alvorada",1,"Physicians",9089,3.7265
1,170070,"Alvorada",2,"Nurses",9089,22.9952
1,170070,"Alvorada",3,"OtherCadres",9089,11.3613
1,170070,"Alvorada",4,"CommunityBased",9089,44.3543
1,170070,"Alvorada",5,"Beds",9089,0
1,170070,"Alvorada",6,"CTScanner",9089,0
1,170070,"Alvorada",7,"MRIUnit",9089,0
1,170070,"Alvorada",8,"Mammography",9089,0
1,170070,"Alvorada",9,"Radiotherapy",9089,0
1,170100,"Ananas",1,"Physicians",19013,7.7953
1,170100,"Ananas",2,"Nurses",19013,48.1029
1,170100,"Ananas",3,"OtherCadres",19013,23.7663
1,170100,"Ananas",4,"CommunityBased",19013,92.7835
1,170100,"Ananas",5,"Beds",19013,0
1,170100,"Ananas",6,"CTScanner",19013,0
1,170100,"Ananas",7,"MRIUnit",19013,0
1,170100,"Ananas",8,"Mammography",19013,0
1,170100,"Ananas",9,"Radiotherapy",19013,0
1,170110,"Aparecida_Do_Rio_Negro",1,"Physicians",5113,2.0963
1,170110,"Aparecida_Do_Rio_Negro",2,"Nurses",5113,12.9359
1,170110,"Aparecida_Do_Rio_Negro",3,"OtherCadres",5113,6.3913
1,170110,"Aparecida_Do_Rio_Negro",4,"CommunityBased",5113,24.9514
1,170110,"Aparecida_Do_Rio_Negro",5,"Beds",5113,0
1,170110,"Aparecida_Do_Rio_Negro",6,"CTScanner",5113,0
1,170110,"Aparecida_Do_Rio_Negro",7,"MRIUnit",5113,0
1,170110,"Aparecida_Do_Rio_Negro",8,"Mammography",5113,0
1,170110,"Aparecida_Do_Rio_Negro",9,"Radiotherapy",5113,0
1,170130,"Aragominas",1,"Physicians",6240,2.5584
1,170130,"Aragominas",2,"Nurses",6240,15.7872
1,170130,"Aragominas",3,"OtherCadres",6240,7.8
1,170130,"Aragominas",4,"CommunityBased",6240,30.4512
1,170130,"Aragominas",5,"Beds",6240,0
1,170130,"Aragominas",6,"CTScanner",6240,0
1,170130,"Aragominas",7,"MRIUnit",6240,0
1,170130,"Aragominas",8,"Mammography",6240,0
1,170130,"Aragominas",9,"Radiotherapy",6240,0
1,170190,"Araguacema",1,"Physicians",7567,3.1025
1,170190,"Araguacema",2,"Nurses",7567,19.1445
1,170190,"Araguacema",3,"OtherCadres",7567,9.4588
1,170190,"Araguacema",4,"CommunityBased",7567,36.927
1,170190,"Araguacema",5,"Beds",7567,0
1,170190,"Araguacema",6,"CTScanner",7567,0
1,170190,"Araguacema",7,"MRIUnit",7567,0
1,170190,"Araguacema",8,"Mammography",7567,0
1,170190,"Araguacema",9,"Radiotherapy",7567,0
1,170200,"Araguacu",1,"Physicians",9240,3.7884
1,170200,"Araguacu",2,"Nurses",9240,23.3772
1,170200,"Araguacu",3,"OtherCadres",9240,11.55
1,170200,"Araguacu",4,"CommunityBased",9240,45.0912
1,170200,"Araguacu",5,"Beds",9240,0
1,170200,"Araguacu",6,"CTScanner",9240,0
1,170200,"Araguacu",7,"MRIUnit",9240,0
1,170200,"Araguacu",8,"Mammography",9240,0
1,170200,"Araguacu",9,"Radiotherapy",9240,0
1,170210,"Araguaina",1,"Physicians",191461,78.499
1,170210,"Araguaina",2,"Nurses",191461,484.3963
1,170210,"Araguaina",3,"OtherCadres",191461,239.3263
1,170210,"Araguaina",4,"CommunityBased",191461,934.3297
1,170210,"Araguaina",5,"Beds",191461,0
1,170210,"Araguaina",6,"CTScanner",191461,0
1,170210,"Araguaina",7,"MRIUnit",191461,0
1,170210,"Araguaina",8,"Mammography",191461,0
1,170210,"Araguaina",9,"Radiotherapy",191461,0
1,170220,"Araguatins",1,"Physicians",38122,15.63
1,170220,"Araguatins",2,"Nurses",38122,96.4487
1,170220,"Araguatins",3,"OtherCadres",38122,47.6525
1,170220,"Araguatins",4,"CommunityBased",38122,186.0354
1,170220,"Araguatins",5,"Beds",38122,0
1,170220,"Araguatins",6,"CTScanner",38122,0
1,170220,"Araguatins",7,"MRIUnit",38122,0
1,170220,"Araguatins",8,"Mammography",38122,0
1,170220,"Araguatins",9,"Radiotherapy",38122,0
1,170230,"Arapoema",1,"Physicians",7194,2.9495
