unit,isco08,indic_ed,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
NR,OC221,TNGO_IF,AT	207.00 	224.00 	257.00 	209.00 	238.00 	225.00 	242.00 	263.00 	224.00 	196.00 	179.00 	191.00 	170.00 	177.00 	228.00 	210.00 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,BE	610.00 	483.00 	553.00 	461.00 	598.00 	500.00 	566.00 	558.00 	481.00 	684.00 	665.00 	504.00 	400.00 	459.00 	418.00 	204.00 	157.00 	95.00 	83.00 	83.00 	120.00 	107.00 
NR,OC221,TNGO_IF,BG	26.00 	28.00 	24.00 	12.00 	30.00 	18.00 	14.00 	21.00 	12.00 	21.00 	21.00 	26.00 	31.00 	19.00 	7.00 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,CH	: 	1910.00 	1875.00 	2003.00 	2268.00 	2355.00 	2183.00 	2123.00 	2519.00 	2179.00 	2015.00 	1892.00 	1924.00 	1984.00 	1798.00 	1798.00 	1632.00 	1676.00 	1831.00 	: 	: 	: 
NR,OC221,TNGO_IF,CY	: 	: 	309.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,CZ	153.00 	148.00 	105.00 	250.00 	311.00 	258.00 	241.00 	221.00 	210.00 	195.00 	158.00 	103.00 	95.00 	79.00 	133.00 	152.00 	237.00 	259.00 	347.00 	225.00 	77.00 	18.00 
NR,OC221,TNGO_IF,DE	: 	1333.00 	1349.00 	1296.00 	1287.00 	1430.00 	1530.00 	1730.00 	1964.00 	2225.00 	1900.00 	1426.00 	1071.00 	934.00 	883.00 	607.00 	580.00 	796.00 	371.00 	259.00 	223.00 	226.00 
NR,OC221,TNGO_IF,DK	279.00 	250.00 	272.00 	246.00 	275.00 	267.00 	282.00 	283.00 	198.00 	184.00 	238.00 	296.00 	359.00 	314.00 	320.00 	264.00 	334.00 	307.00 	216.00 	209.00 	113.00 	124.00 
NR,OC221,TNGO_IF,EE	11.00 	12.00 	9.00 	24.00 	22.00 	21.00 	29.00 	21.00 	24.00 	19.00 	20.00 	11.00 	16.00 	15.00 	10.00 	11.00 	12.00 	6.00 	1.00 	: 	: 	: 
NR,OC221,TNGO_IF,EL	: 	691.00 	313.00 	208.00 	161.00 	98.00 	79.00 	78.00 	83.00 	77.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,ES	4293.00 	4036.00 	6354.00 	4008.00 	3146.00 	2876.00 	1383.00 	2439.00 	2432.00 	3491.00 	5525.00 	6800.00 	6968.00 	7709.00 	4820.00 	3391.00 	2624.00 	2634.00 	3360.00 	831.00 	1342.00 	763.00 
NR,OC221,TNGO_IF,FI	: 	328.00 	320.00 	287.00 	291.00 	275.00 	300.00 	315.00 	357.00 	304.00 	354.00 	381.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,FR	: 	1073.00 	950.00 	1149.00 	1315.00 	1457.00 	1647.00 	1683.00 	1489.00 	1410.00 	1547.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,HU	: 	92.00 	123.00 	137.00 	111.00 	109.00 	133.00 	82.00 	54.00 	78.00 	51.00 	35.00 	43.00 	55.00 	110.00 	168.00 	190.00 	170.00 	116.00 	109.00 	64.00 	95.00 
NR,OC221,TNGO_IF,IE	1707.00 	1017.00 	1422.00 	1395.00 	1685.00 	1819.00 	1777.00 	871.00 	832.00 	783.00 	855.00 	683.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,IS	: 	67.00 	61.00 	43.00 	33.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,IT	299.00 	293.00 	260.00 	204.00 	150.00 	100.00 	89.00 	60.00 	98.00 	134.00 	129.00 	149.00 	143.00 	126.00 	116.00 	148.00 	168.00 	168.00 	125.00 	98.00 	92.00 	74.00 
