unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,TOTAL,F,AT	23799 	23109 	22708 	22062 	21592 	21065 	20462 	19914 	19346 	18773 	18278 	17833 	17117 	16419 	15769 	15132 	14460 	13718 	13043 	12465 	11978 	11350 	10869 	10597 	10001 	9605 	9310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,BE	: 	17039 	16317 	15732 	15049 	14515 	13822 	13174 	12686 	12159 	11743 	11336 	11008 	10646 	10282 	9865 	9519 	9260 	8943 	8700 	8372 	8026 	7675 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,BG	: 	16549 	16536 	16490 	16439 	16232 	15984 	15971 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,CH	17373 	16694 	16175 	15785 	15316 	14774 	14100 	13418 	12657 	11816 	11173 	10718 	10539 	10135 b	9913 	9665 	9278 	8934 	8659 	7946 	7555 	7343 	: 	: 	: 	5975 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,CY	: 	: 	1439 	1347 	1256 	1205 	1145 	1072 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	591 	: 	: 	: 	: 	488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,CZ	: 	25317 e	24439 be	: 	: 	: 	: 	: 	21133 	21006 	20675 	20236 	19987 	19575 	19413 	19192 	19028 	18725 	18621 	18533 	18227 	17837 b	16666 	16326 	16490 	16038 	15791 	15444 	14864 	14202 	14098 	14239 	14122 	13865 	13449 	13274 	13055 	12647 	12248 	11693 	11225 	10773 
NR,TOTAL,F,DE	: 	178566 	173703 	168169 	163810 	159433 	154568 	150421 	145334 	139239 	134579 	128919 	123138 	118508 	114358 	110735 	107271 	105101 	103056 	101144 	98891 	96102 	93370 	91433 	89197 	88529 	86235 	83309 	79685 	75050 	71716 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,DK	: 	: 	13230 	12848 	12306 	11701 	11202 	10788 	10487 	10200 	9848 	9419 	9042 	8663 	8193 	7863 	7461 	6973 	6507 	6241 	5843 	5636 	5460 	5239 	4958 	4629 	4434 	4253 	4093 	4004 b	3699 	3599 	3466 	3242 	3094 	2982 	2832 	2719 	2435 	2302 	1930 	1828 
NR,TOTAL,F,EE	: 	3387 	3389 	3383 	3382 	3378 	3350 	3323 	3311 b	3213 e	3243 e	3206 e	3243 e	3315 e	3247 e	3142 e	3115 e	3010 e	2999 e	2978 e	2827 e	3003 e	3043 e	3040 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,EL	: 	28469 	28307 	27581 	27414 	28047 	25949 	26015 	25647 	25383 	25195 	24946 	24734 	24134 	23480 	22242 	20195 	19385 	18583 	17700 	16600 	16032 	15373 	15008 	14099 	13050 	12948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,ES	: 	122733 	117133 	105733 	99866 	96465 	93867 	91066 	89199 	89933 	90600 	87833 	82067 	78467 	75633 	72867 	68700 	66200 	60600 	54033 	50133 	46833 	45000 	43233 	42500 	39733 	: 	: 	: 	: 	: 	22800 	: 	: 	: 	: 	16700 	: 	: 	: 	: 	12600 
NR,TOTAL,F,EU27_2020	: 	902536 e	883851 e	849555 e	828076 e	808695 e	782653 e	766434 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,EU28	: 	: 	979022 e	941352 e	915828 e	892580 e	864919 e	848812 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,FI	: 	: 	: 	11750 	11666 	11464 	11315 	11131 	10803 	10477 	10355 	9937 	9684 	9322 	8962 	8721 	8533 	8228 b	7915 	7713 	7504 	7395 	6991 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,FR	: 	100408 	98234 	95508 	93369 	90733 	88316 	85867 	83273 	80834 	78418 b	86588 	84891 b	84428 	83059 	82012 	80858 	79490 	77757 	75886 	74128 	72260 	70429 	69911 	69008 	67419 	65471 	63628 	60280 	58287 	55838 	53347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,HR	: 	9064 	9102 	8926 	8778 	8474 	8378 	8252 	7946 	7809 	7590 	7408 	7038 b	6978 	6923 	6545 	6399 	6378 	6157 	5973 	5910 	5795 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,HU	: 	17565 b	19143 	18557 	18261 	17635 	17035 b	17885 	17328 	16672 	16021 	15556 b	15886 	16230 b	14830 b	15654 	14425 b	17218 b	19660 	19172 b	16743 e	15377 be	18284 	18118 	17724 	17420 	17223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,IE	9459 b	7857 	7372 	7117 	6877 	6587 	6334 	5972 b	7494 	7279 	7423 	7314 	6880 	6561 	6146 	5523 b	: 	4077 	3781 	3497 	3354 	3082 	3021 	2804 	2634 	2533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,IS	: 	: 	570 	544 	513 	474 b	467 	434 	414 	396 	372 	369 	373 	359 	326 	295 	276 b	267 	255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,IT	109361 p	105800 	105852 	103260 	102218 	99339 	94959 	95038 	93421 	90796 b	144871 	138321 	134674 	131793 	131088 	123129 	119347 	115603 e	110408 e	105338 e	101185 e	96815 be	100298 	97555 	94698 	91656 	88924 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,F,LI	40 	45 	44 	38 	44 	38 	36 	31 	32 	28 	28 	25 b	22 d	21 d	20 d	20 d	18 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
