data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
   205	   205	0		0
   205	   765	33		2978
   205	   290	87		7839
   205	   777	92		8324
   205	   578	21		1894
   205	   785	56		5073
   205	   620	72		6441
   205	   105	62		5567
   205	   697	39		3495
   765	   205	33		2978
   765	   765	0		0
   765	   290	55		4950
   765	   777	87		7849
   765	   578	40		3621
   765	   785	88		7906
   765	   620	89		7968
   765	   105	60		5441
   765	   697	42		3798
   290	   205	87		7839
   290	   765	55		4950
   290	   290	0		0
   290	   777	89		8017
   290	   578	87		7810
   290	   105	79		7067
   290	   697	76		6814
   777	   205	92		8324
   777	   765	87		7849
   777	   290	89		8017
   777	   777	0		0
   777	   578	74		6619
   777	   785	106		9508
   777	   620	59		5296
   777	   105	31		2762
   777	   697	54		4830
   578	   205	21		1894
   578	   765	40		3621
   578	   290	87		7810
   578	   777	74		6619
   578	   578	0		0
   578	   785	51		4573
   578	   620	52		4659
   578	   105	43		3865
   578	   697	21		1878
   785	   205	56		5073
   785	   765	88		7906
   785	   777	106		9508
   785	   578	51		4573
   785	   785	0		0
   785	   620	53		4791
   785	   105	80		7224
   785	   697	66		5959
   620	   205	72		6441
   620	   765	89		7968
   620	   777	59		5296
   620	   578	52		4659
   620	   785	53		4791
   620	   620	0		0
   620	   105	44		3999
   620	   697	48		4308
   105	   205	62		5567
   105	   765	60		5441
   105	   290	79		7067
   105	   777	31		2762
   105	   578	43		3865
   105	   785	80		7224
   105	   620	44		3999
   105	   105	0		0
   105	   697	23		2073
   697	   205	39		3495
   697	   765	42		3798
   697	   290	76		6814
   697	   777	54		4830
   697	   578	21		1878
   697	   785	66		5959
   697	   620	48		4308
   697	   105	23		2073
   697	   697	0		0
;

end;

