name,lat,lon
Helsinki,60.1756,24.9342,
Espoo,60.21,24.66,
Nurmijärvi,60.4667,24.8083,
Tampere,61.4981,23.7608,
Vantaa,60.3,25.0333,
Oulu,65.0142,25.4719,
Muhos,64.8,26,
Lumijoki,64.8367,25.1867,
Turku,60.4517,22.27,
Jyväskylä,62.2333,25.7333,
Toivakka,62.1,26.0833,
Kuopio,62.8925,27.6783,
Lahti,60.9804,25.655,
Kouvola,60.8681,26.7042,
Pori,61.4847,21.7972,
Pomarkku,61.6917,22.0083,
Joensuu,62.6,29.7639,
Rääkkylä,62.3133,29.625,
Lappeenranta,61.0583,28.1861,
Hämeenlinna,61,24.4414,
Vaasa,63.1,21.6167,
Malax,62.9417,21.55,
Rovaniemi,66.5028,25.7285,
Seinäjoki,62.7903,22.8403,
Mikkeli,61.6875,27.2736,
Mäntyharju,61.4181,26.8792,
Hirvensalmi,61.6389,26.7806,
Kotka,60.4667,26.9458,
Miehikkälä,60.6708,27.7,
Salo,60.3831,23.1331,
Paimio,60.4569,22.6861,
Porvoo,60.3931,25.6639,
Kokkola,63.8376,23.132,
Kannus,63.9017,23.9151,
Lohja,60.25,24.0667,
Vihti,60.4167,24.3331,
Karkkila,60.5347,24.2097,
Hyvinkää,60.6306,24.8597,
Askola,60.5278,25.6,
Järvenpää,60.4722,25.0889,
Rauma,61.1167,21.5,
Kirkkonummi,60.1167,24.4167,
Sipoo,60.3764,25.2722,
Tuusula,60.4028,25.0292,
Kajaani,64.225,27.7333,
Ristijärvi,64.5056,28.2139,
Savonlinna,61.8667,28.8831,
Rantasalmi,62.0667,28.3,
Sulkava,61.7875,28.3708,
Enonkoski,62.0889,28.9333,
Kerava,60.4028,25.1,
Nokia,61.4767,23.5053,
Ylöjärvi,61.55,23.5833,
Kaarina,60.4069,22.3722,
Kangasala,61.4639,24.065,
Riihimäki,60.7333,24.7667,
Imatra,61.1931,28.7764,
Rautjärvi,61.4333,29.367,
Sastamala,61.3417,22.9083,
Raahe,64.6847,24.4792,
Raisio,60.4861,22.1694,
Hollola,60.9886,25.5128,
Iisalmi,63.5611,27.1889,
Kiuruvesi,63.6528,26.6194,
Vieremä,63.7431,27.0014,
Tornio,65.8497,24.1441,
Siilinjärvi,63.075,27.66,
Kemi,65.7336,24.5634,
Kurikka,62.6167,22.4,
Jämsä,61.8639,25.1903,
Varkaus,62.3167,27.8833,
Valkeakoski,61.2667,24.0306,
