lat_departure,lon_departure,lat_arrival,lon_arrival
60.1756,24.9342,60.1756,24.9342,
60.4722,25.0889,60.1756,24.9342,
60.4028,25.1,60.1756,24.9342,
60.0458,24.0056,60.1756,24.9342,
60.21,24.66,60.21,24.66,
60.475,25.375,60.21,24.66,
61.4981,23.7608,61.4981,23.7608,
61.7694,23.0681,61.4981,23.7608,
61.0833,23.55,61.4981,23.7608,
61.9833,24.0833,61.4981,23.7608,
61.1117,23.105,61.4981,23.7608,
60.3,25.0333,60.3,25.0333,
60.1167,24.4167,60.3,25.0333,
60.4028,25.0292,60.3,25.0333,
60.1333,24.2167,60.3,25.0333,
65.0142,25.4719,65.0142,25.4719,
64.6639,25.1014,65.0142,25.4719,
60.4517,22.27,60.4517,22.27,
60.8792,21.6931,60.4517,22.27,
62.2333,25.7333,62.2333,25.7333,
62.8925,27.6783,62.8925,27.6783,
60.9804,25.655,60.9804,25.655,
60.8681,26.7042,60.8681,26.7042,
60.4958,26.7097,60.8681,26.7042,
61.4847,21.7972,61.4847,21.7972,
61.1333,22.0833,61.4847,21.7972,
61.1764,22.6986,61.4847,21.7972,
61.05,22.35,61.4847,21.7972,
61.8583,21.5,61.4847,21.7972,
62.6,29.7639,62.6,29.7639,
61.0583,28.1861,61.0583,28.1861,
61.2917,28.8167,61.0583,28.1861,
61,24.4414,61,24.4414,
60.8042,23.4861,61,24.4414,
63.1,21.6167,63.1,21.6167,
66.5028,25.7285,66.5028,25.7285,
62.7903,22.8403,62.7903,22.8403,
61.6875,27.2736,61.6875,27.2736,
60.4667,26.9458,60.4667,26.9458,
60.3831,23.1331,60.3831,23.1331,
60.4861,22.1694,60.3831,23.1331,
60.5417,22.2222,60.3831,23.1331,
60.6472,22.5903,60.3831,23.1331,
60.5833,22.7333,60.3831,23.1331,
60.3931,25.6639,60.3931,25.6639,
63.8376,23.132,63.8376,23.132,
63.5481,23.6999,63.8376,23.132,
60.25,24.0667,60.25,24.0667,
60.6306,24.8597,60.6306,24.8597,
61.1167,21.5,61.1167,21.5,
61.2556,22.3486,61.1167,21.5,
61.3653,22.0042,61.1167,21.5,
64.225,27.7333,64.225,27.7333,
61.8667,28.8831,61.8667,28.8831,
61.8972,27.8569,61.8667,28.8831,
61.4767,23.5053,61.4767,23.5053,
61.6778,24.3569,61.4767,23.5053,
61.3389,24.2681,61.4767,23.5053,
61.3167,23.6167,61.4767,23.5053,
60.4069,22.3722,60.4069,22.3722,
60.5708,22.1,60.4069,22.3722,
60.6833,21.7167,60.4069,22.3722,
61.4639,24.065,61.4639,24.065,
60.7333,24.7667,60.7333,24.7667,
60.7181,24.4417,60.7333,24.7667,
60.8,23.7667,60.7333,24.7667,
61.05,24.3667,60.7333,24.7667,
61.1931,28.7764,61.1931,28.7764,
61.1597,28.0597,61.1931,28.7764,
61.2,27.6833,61.1931,28.7764,
61.0611,27.8042,61.1931,28.7764,
61.55,23.5833,61.3417,22.9083,
61.3417,22.9083,61.3417,22.9083,
61.4667,23.65,61.3417,22.9083,
64.6847,24.4792,64.6847,24.4792,
60.9886,25.5128,60.9886,25.5128,
61.2028,26.0319,60.9886,25.5128,
63.5611,27.1889,63.5611,27.1889,
63.2333,26.7583,63.5611,27.1889,
65.8497,24.1441,65.8497,24.1441,
65.6613,25.0623,65.8497,24.1441,
63.075,27.66,63.075,27.66,
63.3667,27.3833,63.075,27.66,
62.625,27.1222,63.075,27.66,
62.975,28.4833,63.075,27.66,
65.7336,24.5634,65.7336,24.5634,
66.0821,24.808,65.7336,24.5634,
62.6167,22.4,62.6167,22.4,
62.9708,23.0069,62.6167,22.4,
62.7333,22.5833,62.6167,22.4,
61.8639,25.1903,61.8639,25.1903,
61.7417,26.1153,61.8639,25.1903,
62.3167,27.8833,62.3167,27.8833,
62.4917,27.7875,62.3167,27.8833,
61.2667,24.0306,61.2667,24.0306,
61.1667,23.8681,61.2667,24.0306,
61.6333,23.2,61.2667,24.0306,
60.6331,25.3167,60.6331,25.3167,
60.5697,27.1981,60.5697,27.1981,
63.1125,21.6778,63.1125,21.6778,
62.9764,22.0111,63.1125,21.6778,
63,22.3167,63.1125,21.6778,
60.4681,22.0264,60.4681,22.0264,
62.4167,25.95,62.4167,25.95,
62.3889,26.4361,62.4167,25.95,
62.3,27.1583,62.3,27.1583,
61.99,26.6417,62.3,27.1583,
60.8167,23.6167,60.8167,23.6167,
60.9167,24.6333,60.8167,23.6167,
63.1014,23.0639,63.1014,23.0639,
62.8083,23.5083,63.1014,23.0639,
60.5,22.4497,60.8514,23.0583,
60.8514,23.0583,60.8514,23.0583,
60.6292,23.5139,60.8514,23.0583,
60.6,22.0833,60.8514,23.0583,
60.3417,22.6917,60.8514,23.0583,
65.9667,29.1667,65.9667,29.1667,
60.7833,21.4167,60.7833,21.4167,
60.3,22.3,60.3,22.3,
64.0722,24.5375,64.0722,24.5375,
64.1375,25.3667,64.0722,24.5375,
64.4667,24.2583,64.0722,24.5375,
62.7667,29.85,62.7667,29.85,
62.4319,22.1794,62.4319,22.1794,
62.4861,21.7472,62.4319,22.1794,
62.5333,29.3833,62.5333,29.3833,
62.855,29.3667,62.5333,29.3833,
62.5861,23.6194,62.5861,23.6194,
62.55,24.0694,62.5861,23.6194,
63.3167,30.0167,63.3167,30.0167,
60.0986,19.9444,60.0986,19.9444,
62.0986,30.1375,62.0986,30.1375,
62.2264,30.3319,62.0986,30.1375,
64.1333,28.3833,64.1333,28.3833,
64.4083,27.8417,64.1333,28.3833,
62.2597,24.7069,62.2597,24.7069,
62.1292,25.6722,62.2597,24.7069,
62.5,25.4367,62.2597,24.7069,
65.3167,25.3722,64.8083,25.4167,
64.8083,25.4167,64.8083,25.4167,
62.7056,25.2569,62.7056,25.2569,
62.875,24.8,62.7056,25.2569,
64.125,29.5167,64.125,29.5167,
67.4149,26.5907,67.4149,26.5907,
65.799,24.5426,65.799,24.5426,
64.8833,28.9167,64.8833,28.9167,
65.3583,27,65.3583,27,
66.715,27.4306,66.715,27.4306,
66.8333,28.6667,66.715,27.4306,
64.2597,23.9486,64.2667,24.8167,
63.9292,24.9778,64.2667,24.8167,
64.2667,24.8167,64.2667,24.8167,
63.9069,24.5167,64.2667,24.8167,
63.7486,25.3181,63.7486,25.3181,
63.6056,24.9319,63.7486,25.3181,
61.4292,21.875,61.3139,22.1417,
61.3139,22.1417,61.3139,22.1417,
61.2,21.7333,61.3139,22.1417,
62.725,29.0167,62.725,29.0167,
63.2417,29.25,62.725,29.0167,
62.0292,24.6236,62.0292,24.6236,
68.9055,27.0176,68.9055,27.0176,
62.4736,21.3375,62.2736,21.3778,
62.2736,21.3778,62.2736,21.3778,
67.6531,24.9114,67.6531,24.9114,
60.15,19.95,60.15,19.95,
60.23,19.9881,60.15,19.95,
61.35,25.275,61.025,25.15,
61.025,25.15,61.025,25.15,
60.7833,25.0333,60.7833,25.0333,
