lon,lat
24.9342,60.1756,
24.66,60.21,
24.66,60.21,
23.7608,61.4981,
25.0333,60.3,
25.4719,65.0142,
25.4719,65.0142,
22.27,60.4517,
25.7333,62.2333,
27.6783,62.8925,
25.655,60.9804,
25.655,60.9804,
26.7042,60.8681,
21.7972,61.4847,
29.7639,62.6,
28.1861,61.0583,
24.4414,61,
21.6167,63.1,
25.7285,66.5028,
22.8403,62.7903,
27.2736,61.6875,
26.9458,60.4667,
23.1331,60.3831,
25.6639,60.3931,
23.132,63.8376,
24.0667,60.25,
24.8597,60.6306,
24.8083,60.4667,
25.0889,60.4722,
21.5,61.1167,
24.4167,60.1167,
25.0292,60.4028,
27.7333,64.225,
28.8831,61.8667,
25.1,60.4028,
23.5053,61.4767,
23.5833,61.55,
22.3722,60.4069,
24.065,61.4639,
24.7667,60.7333,
24.3331,60.4167,
23.4361,59.975,
28.7764,61.1931,
22.9083,61.3417,
24.4792,64.6847,
22.1694,60.4861,
25.5128,60.9886,
23.7528,61.3139,
27.1889,63.5611,
27.1889,63.5611,
24.1441,65.8497,
27.66,63.075,
24.5634,65.7336,
22.4,62.6167,
25.1903,61.8639,
27.8833,62.3167,
24.0306,61.2667,
25.3167,60.6331,
25.7264,62.6042,
27.1981,60.5697,
26.0319,61.2028,
22.7,63.6667,
22.7,63.6667,
25.2722,60.3764,
21.6778,63.1125,
22.4497,60.5,
22.0264,60.4681,
23.65,61.4667,
25.95,62.4167,
27.1583,62.3,
23.6167,60.8167,
23.6167,60.8167,
23.6167,60.8167,
23.8681,61.1667,
23.0639,63.1014,
23.0583,60.8514,
23.0583,60.8514,
29.1667,65.9667,
21.4167,60.7833,
21.4167,60.7833,
22.3,60.3,
24.5375,64.0722,
24.5375,64.0722,
29.85,62.7667,
23.0069,62.9708,
22.1794,62.4319,
21.875,61.4292,
23.9486,64.2597,
22.5833,62.7333,
29.3833,62.5333,
22.0833,61.1333,
23.6194,62.5861,
30.0167,63.3167,
22.3944,61.8042,
19.9444,60.0986,
19.9444,60.0986,
19.9444,60.0986,
19.9444,60.0986,
19.9444,60.0986,
24.9778,63.9292,
30.1375,62.0986,
23.2,61.6333,
22.6861,60.4569,
22.6861,60.4569,
28.3833,64.1333,
22.6986,61.1764,
24.7069,62.2597,
24.7069,62.2597,
27.3833,63.3667,
25.3722,65.3167,
27.7875,62.4917,
25.4167,64.8083,
25.2569,62.7056,
25.6722,62.1292,
22.1,60.5708,
24.3569,61.6778,
21.3375,62.4736,
23.5139,60.6292,
26,64.8,
24.2097,60.5347,
22.9681,59.8236,
29.5167,64.125,
26.5907,67.4149,
26.6194,63.6528,
21.6931,60.8792,
24.5426,65.799,
28.9167,64.8833,
27,65.3583,
24.4417,60.7181,
22.0111,62.9764,
29.1333,63.5444,
21.9833,60.6833,
27.4306,66.715,
24.8167,64.2667,
24.8167,64.2667,
22.3486,61.2556,
22.5333,63.5167,
25.3181,63.7486,
27.1222,62.625,
22.1417,61.3139,
23.0681,61.7694,
25.3667,64.1375,
29.0167,62.725,
24.6236,62.0292,
22.35,61.05,
23.7708,62.2403,
27.0176,68.9055,
25.65,64.75,
21.3778,62.2736,
21.3778,62.2736,
23.025,62.0097,
22.25,63.1333,
23.0333,63.725,
24.2681,61.3389,
25.8597,63.075,
27.8569,61.8972,
24.9114,67.6531,
23.7667,60.8,
24.2167,60.1333,
26.8792,61.4181,
22.2222,60.5417,
24.0694,62.55,
21.7333,61.2,
22.0042,61.3653,
26.6417,61.99,
21.55,62.9417,
24.0056,60.0458,
23.9151,63.9017,
21.7472,62.4861,
23.4861,60.8042,
30.9333,62.6667,
28.8167,61.2917,
26.4361,62.3889,
25.375,60.475,
24.5167,63.9069,
27.8278,62.1792,
25.6,60.5278,
29.25,63.2417,
22.0833,60.6,
23.55,61.0833,
28.0597,61.1597,
22.3167,63,
26.7583,63.2333,
30.3319,62.2264,
25.1014,64.6639,
26.1153,61.7417,
19.95,60.15,
24.0833,61.9833,
29.3667,62.855,
23.6167,61.3167,
23.6667,66.3167,
24.8,62.875,
25.575,63.3667,
28.2417,65.575,
25.6847,61.5028,
25.6847,61.5028,
26.5184,65.9275,
25.1833,62.25,
22.5903,60.6472,
27.0014,63.7431,
28.3,62.0667,
28.6667,66.8333,
23.5083,62.8083,
25.4367,62.5,
23.9635,66.7756,
27.6833,61.2,
28.6333,62.425,
27.8417,64.4083,
28.1739,66.1097,
22.7278,60.1639,
24.25,63.775,
26.8333,62.6217,
23.7886,63.4753,
23.7886,63.4753,
25.0623,65.6613,
23.6333,63.2167,
24.2583,64.4667,
24.808,66.0821,
28.4833,62.975,
