CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
478,"Mariehamn",478,"Mariehamn",0,1
170,"Jomala",170,"Jomala",0,1
43,"Eckerö",43,"Eckerö",0,1
35,"Brändö",35,"Brändö",0,1
941,"Vårdö",941,"Vårdö",0,1
295,"Kumlinge",766,"Sottunga",0.38,1
766,"Sottunga",766,"Sottunga",0,1
417,"Lemland",60,"Finström",0.44,1
76,"Hammarland",60,"Finström",0.34,1
65,"Geta",60,"Finström",0.45,1
438,"Lumparland",60,"Finström",0.49,1
60,"Finström",60,"Finström",0,1
771,"Sund",60,"Finström",0.22,1
736,"Saltvik",736,"Saltvik",0,1
62,"Föglö",62,"Föglö",0,1
318,"Kökar",318,"Kökar",0,1
