NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
3	91	Helsinki	806066.00	1604.07	7238.47	2023.23	0.00	1467.04	16.04	13.54	12.57	8.22
3	49	Espoo	413126.00	822.12	3709.87	1036.95	0.00	751.89	8.22	6.94	6.44	4.21
3	837	Tampere	297858.00	592.74	2674.76	747.62	0.00	542.10	5.93	5.00	4.65	3.04
3	92	Vantaa	409233.00	814.37	3674.91	1027.17	0.00	744.80	8.14	6.88	6.38	4.17
3	564	Oulu	259831.00	517.06	2333.28	652.18	0.00	472.89	5.17	4.37	4.05	2.65
3	853	Turku	215107.00	428.06	1931.66	539.92	0.00	391.49	4.28	3.61	3.36	2.19
3	179	Jyväskylä	154085.00	306.63	1383.68	386.75	0.00	280.43	3.07	2.59	2.40	1.57
3	297	Kuopio	125383.00	249.51	1125.94	314.71	0.00	228.20	2.50	2.11	1.96	1.28
3	398	Lahti	135921.00	270.48	1220.57	341.16	0.00	247.38	2.70	2.28	2.12	1.39
3	286	Kouvola	78307.00	155.83	703.20	196.55	0.00	142.52	1.56	1.32	1.22	0.80
3	609	Pori	124855.00	248.46	1121.20	313.39	0.00	227.24	2.48	2.10	1.95	1.27
3	167	Joensuu	80365.00	159.93	721.68	201.72	0.00	146.26	1.60	1.35	1.25	0.82
3	405	Lappeenranta	76290.00	151.82	685.08	191.49	0.00	138.85	1.52	1.28	1.19	0.78
3	109	Hämeenlinna	72622.00	144.52	652.15	182.28	0.00	132.17	1.45	1.22	1.13	0.74
3	905	Vaasa	73027.00	145.32	655.78	183.30	0.00	132.91	1.45	1.23	1.14	0.74
3	698	Rovaniemi	66467.00	132.27	596.87	166.83	0.00	120.97	1.32	1.12	1.04	0.68
3	743	Seinäjoki	68050.00	135.42	611.09	170.81	0.00	123.85	1.35	1.14	1.06	0.69
3	491	Mikkeli	55752.00	110.95	500.65	139.94	0.00	101.47	1.11	0.94	0.87	0.57
3	285	Kotka	51701.00	102.88	464.27	129.77	0.00	94.10	1.03	0.87	0.81	0.53
3	734	Salo	117723.00	234.27	1057.15	295.48	0.00	214.26	2.34	1.98	1.84	1.20
3	638	Porvoo	52037.00	103.55	467.29	130.61	0.00	94.71	1.04	0.87	0.81	0.53
3	272	Kokkola	65348.00	130.04	586.83	164.02	0.00	118.93	1.30	1.10	1.02	0.67
3	444	Lohja	81507.00	162.20	731.93	204.58	0.00	148.34	1.62	1.37	1.27	0.83
3	106	Hyvinkää	52007.00	103.49	467.02	130.54	0.00	94.65	1.03	0.87	0.81	0.53
3	684	Rauma	49473.00	98.45	444.27	124.18	0.00	90.04	0.98	0.83	0.77	0.50
3	205	Kajaani	35851.00	71.34	321.94	89.99	0.00	65.25	0.71	0.60	0.56	0.37
3	740	Savonlinna	44014.00	87.59	395.25	110.48	0.00	80.11	0.88	0.74	0.69	0.45
3	536	Nokia	56745.00	112.92	509.57	142.43	0.00	103.28	1.13	0.95	0.89	0.58
3	202	Kaarina	51517.00	102.52	462.62	129.31	0.00	93.76	1.03	0.87	0.80	0.53
3	211	Kangasala	34456.00	68.57	309.41	86.48	0.00	62.71	0.69	0.58	0.54	0.35
3	694	Riihimäki	49495.00	98.50	444.47	124.23	0.00	90.08	0.98	0.83	0.77	0.50
3	153	Imatra	43301.00	86.17	388.84	108.69	0.00	78.81	0.86	0.73	0.68	0.44
3	790	Sastamala	77502.00	154.23	695.97	194.53	0.00	141.05	1.54	1.30	1.21	0.79
3	678	Raahe	22491.00	44.76	201.97	56.45	0.00	40.93	0.45	0.38	0.35	0.23
3	98	Hollola	38611.00	76.84	346.73	96.91	0.00	70.27	0.77	0.65	0.60	0.39
3	140	Iisalmi	43693.00	86.95	392.36	109.67	0.00	79.52	0.87	0.73	0.68	0.45
3	851	Tornio	25727.00	51.20	231.03	64.57	0.00	46.82	0.51	0.43	0.40	0.26
3	749	Siilinjärvi	38316.00	76.25	344.08	96.17	0.00	69.74	0.76	0.64	0.60	0.39
3	240	Kemi	26555.00	52.84	238.46	66.65	0.00	48.33	0.53	0.45	0.41	0.27
3	301	Kurikka	44003.00	87.57	395.15	110.45	0.00	80.09	0.88	0.74	0.69	0.45
3	182	Jämsä	20876.00	41.54	187.47	52.40	0.00	37.99	0.42	0.35	0.33	0.21
3	915	Varkaus	28459.00	56.63	255.56	71.43	0.00	51.80	0.57	0.48	0.44	0.29
3	908	Valkeakoski	70137.00	139.57	629.83	176.04	0.00	127.65	1.40	1.18	1.09	0.72
