name,lat,lon
Kokkola,63.8376,23.132,
Imatra,61.1931,28.7764,
Siilinjärvi,63.075,27.66,
Hamina,60.5697,27.1981,
Pieksämäki,62.3,27.1583,
Kuusamo,65.9667,29.1667,
Kontiolahti,62.7667,29.85,
Alavus,62.5861,23.6194,
Sotkamo,64.1333,28.3833,
Keuruu,62.2597,24.7069,
Karkkila,60.5347,24.2097,
Keminmaa,65.799,24.5426,
Pudasjärvi,65.3583,27,
Loppi,60.7181,24.4417,
Kemijärvi,66.715,27.4306,
Oulainen,64.2667,24.8167,
Nykarleby,63.5167,22.5333,
Harjavalta,61.3139,22.1417,
Ikaalinen,61.7694,23.0681,
Inari,68.9055,27.0176,
Kittilä,67.6531,24.9114,
Rusko,60.5417,22.2222,
Jomala,60.15,19.95,
Asikkala,61.1722,25.5472,
