lon,lat
26.7042,60.8681,
25.7285,66.5028,
27.2736,61.6875,
23.1331,60.3831,
23.132,63.8376,
24.8083,60.4667,
24.8083,60.4667,
24.8083,60.4667,
24.8083,60.4667,
24.8083,60.4667,
27.7333,64.225,
28.8831,61.8667,
23.4361,59.975,
28.7764,61.1931,
28.7764,61.1931,
22.9083,61.3417,
24.4792,64.6847,
27.66,63.075,
27.66,63.075,
25.1903,61.8639,
27.1981,60.5697,
27.1981,60.5697,
26.0319,61.2028,
23.65,61.4667,
23.65,61.4667,
23.65,61.4667,
23.65,61.4667,
23.65,61.4667,
23.65,61.4667,
25.95,62.4167,
27.1583,62.3,
25.5083,64.9125,
25.5083,64.9125,
25.5083,64.9125,
25.5083,64.9125,
25.7333,60.8042,
25.7333,60.8042,
29.1667,65.9667,
22.3,60.3,
22.3,60.3,
29.85,62.7667,
29.85,62.7667,
23.0069,62.9708,
23.0069,62.9708,
22.1794,62.4319,
22.5833,62.7333,
22.5833,62.7333,
22.5833,62.7333,
29.3833,62.5333,
23.6194,62.5861,
30.0167,63.3167,
24.9778,63.9292,
28.3833,64.1333,
22.6986,61.1764,
24.7069,62.2597,
24.7069,62.2597,
27.3833,63.3667,
25.3722,65.3167,
27.7875,62.4917,
27.7875,62.4917,
25.2569,62.7056,
25.6722,62.1292,
25.6722,62.1292,
24.7264,60.2097,
24.7264,60.2097,
24.7264,60.2097,
24.7264,60.2097,
24.7264,60.2097,
24.2097,60.5347,
24.2097,60.5347,
22.9681,59.8236,
29.5167,64.125,
26.5907,67.4149,
26.6194,63.6528,
24.5426,65.799,
24.5426,65.799,
24.5426,65.799,
28.9167,64.8833,
27,65.3583,
24.4417,60.7181,
24.4417,60.7181,
29.1333,63.5444,
27.4306,66.715,
24.8167,64.2667,
24.8167,64.2667,
22.5333,63.5167,
22.5333,63.5167,
22.5333,63.5167,
25.3181,63.7486,
22.1417,61.3139,
22.1417,61.3139,
22.1417,61.3139,
22.1417,61.3139,
23.0681,61.7694,
23.0681,61.7694,
25.3667,64.1375,
29.0167,62.725,
24.6236,62.0292,
22.35,61.05,
23.7708,62.2403,
27.0176,68.9055,
23.025,62.0097,
23.0333,63.725,
23.0333,63.725,
24.2681,61.3389,
24.2681,61.3389,
24.2681,61.3389,
25.8597,63.075,
27.8569,61.8972,
24.9114,67.6531,
24.2167,60.1333,
24.2167,60.1333,
24.2167,60.1333,
26.8792,61.4181,
22.2222,60.5417,
22.2222,60.5417,
22.2222,60.5417,
22.2222,60.5417,
22.2222,60.5417,
22.2222,60.5417,
22.2222,60.5417,
24.0694,62.55,
21.7333,61.2,
21.7333,61.2,
22.0042,61.3653,
22.0042,61.3653,
26.6417,61.99,
21.55,62.9417,
21.55,62.9417,
21.55,62.9417,
23.9151,63.9017,
23.4861,60.8042,
23.4861,60.8042,
23.4861,60.8042,
23.4861,60.8042,
23.4861,60.8042,
30.9333,62.6667,
26.4361,62.3889,
25.375,60.475,
25.375,60.475,
25.375,60.475,
25.375,60.475,
25.375,60.475,
24.5167,63.9069,
24.5167,63.9069,
27.8278,62.1792,
29.25,63.2417,
23.55,61.0833,
23.55,61.0833,
22.3167,63,
22.3167,63,
22.3167,63,
26.7583,63.2333,
30.3319,62.2264,
30.3319,62.2264,
26.1153,61.7417,
19.95,60.15,
19.95,60.15,
19.95,60.15,
19.95,60.15,
19.95,60.15,
19.95,60.15,
19.95,60.15,
19.95,60.15,
24.0833,61.9833,
29.3667,62.855,
23.6667,66.3167,
27.5167,63.6667,
27.5167,63.6667,
24.8,62.875,
25.575,63.3667,
28.2417,65.575,
26.5184,65.9275,
25.1833,62.25,
27.0014,63.7431,
28.3,62.0667,
28.6667,66.8333,
23.5083,62.8083,
25.4367,62.5,
25.4367,62.5,
23.9635,66.7756,
28.6333,62.425,
27.8417,64.4083,
28.1739,66.1097,
24.25,63.775,
26.8333,62.6217,
26.8333,62.6217,
23.7886,63.4753,
23.7886,63.4753,
23.7886,63.4753,
25.0623,65.6613,
24.2583,64.4667,
24.808,66.0821,
25.275,61.35,
26.8333,64.55,
27.8042,61.0611,
27.8042,61.0611,
27.8042,61.0611,
27.8042,61.0611,
27.8042,61.0611,
