CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
272,Kokkola,272,Kokkola,0.00,2
217,Kannus,272,Kokkola,0.98,2
849,Toholampi,272,Kokkola,1.38,2
924,Veteli,272,Kokkola,1.29,2
584,Perho,272,Kokkola,2.35,2
421,Lestijärvi,272,Kokkola,2.08,2
153,Imatra,153,Imatra,0.00,2
416,Lemi,153,Imatra,1.36,2
689,Rautjärvi,153,Imatra,1.03,2
749,Siilinjärvi,749,Siilinjärvi,0.00,2
402,Lapinlahti,749,Siilinjärvi,0.88,2
420,Leppävirta,749,Siilinjärvi,1.63,2
263,Kiuruvesi,749,Siilinjärvi,2.06,2
595,Pielavesi,749,Siilinjärvi,1.21,2
762,Sonkajärvi,749,Siilinjärvi,1.65,2
925,Vieremä,749,Siilinjärvi,2.03,2
686,Rautalampi,749,Siilinjärvi,1.64,2
857,Tuusniemi,749,Siilinjärvi,1.29,2
239,Keitele,749,Siilinjärvi,1.67,2
687,Rautavaara,749,Siilinjärvi,1.41,2
844,Tervo,749,Siilinjärvi,1.19,2
286,Kouvola,75,Hamina,1.07,2
75,Hamina,75,Hamina,0.00,2
489,Miehikkälä,75,Hamina,0.74,2
624,Pyhtää,75,Hamina,0.70,2
491,Mikkeli,593,Pieksämäki,1.71,2
740,Savonlinna,593,Pieksämäki,2.55,2
593,Pieksämäki,593,Pieksämäki,0.00,2
178,Juva,593,Pieksämäki,1.44,2
507,Mäntyharju,593,Pieksämäki,2.48,2
213,Kangasniemi,593,Pieksämäki,1.09,2
171,Joroinen,593,Pieksämäki,0.93,2
681,Rantasalmi,593,Pieksämäki,1.62,2
90,Heinävesi,593,Pieksämäki,1.93,2
768,Sulkava,593,Pieksämäki,2.13,2
97,Hirvensalmi,593,Pieksämäki,1.90,2
623,Puumala,593,Pieksämäki,2.54,2
588,Pertunmaa,593,Pieksämäki,2.39,2
46,Enonkoski,593,Pieksämäki,2.38,2
305,Kuusamo,305,Kuusamo,0.00,2
832,Taivalkoski,305,Kuusamo,1.52,2
276,Kontiolahti,276,Kontiolahti,0.00,2
426,Liperi,276,Kontiolahti,0.88,2
422,Lieksa,276,Kontiolahti,1.54,2
541,Nurmes,276,Kontiolahti,2.34,2
309,Outokumpu,276,Kontiolahti,1.07,2
146,Ilomantsi,276,Kontiolahti,1.41,2
176,Juuka,276,Kontiolahti,1.52,2
848,Tohmajärvi,276,Kontiolahti,1.62,2
607,Polvijärvi,276,Kontiolahti,0.66,2
707,Rääkkylä,276,Kontiolahti,1.29,2
10,Alavus,10,Alavus,0.00,2
151,Isojoki,10,Alavus,2.51,2
218,Karijoki,10,Alavus,2.58,2
205,Kajaani,765,Sotkamo,0.83,2
