CODIGO_O,ORIGEM,CODIGO_D,DESTINO,DISTANCIA,NIVEL
91,"Helsinki",91,"Helsinki",0,2
49,"Espoo",49,"Espoo",0,2
543,"Nurmijärvi",49,"Espoo",0.74,2
837,"Tampere",837,"Tampere",0,2
92,"Vantaa",92,"Vantaa",0,2
564,"Oulu",564,"Oulu",0,2
494,"Muhos",564,"Oulu",0.86,2
436,"Lumijoki",564,"Oulu",0.6,2
853,"Turku",853,"Turku",0,2
179,"Jyväskylä",179,"Jyväskylä",0,2
850,"Toivakka",179,"Jyväskylä",0.59,2
297,"Kuopio",297,"Kuopio",0,2
398,"Lahti",398,"Lahti",0,2
286,"Kouvola",286,"Kouvola",0,2
609,"Pori",609,"Pori",0,2
608,"Pomarkku",609,"Pori",0.64,2
167,"Joensuu",167,"Joensuu",0,2
707,"Rääkkylä",167,"Joensuu",0.82,2
405,"Lappeenranta",405,"Lappeenranta",0,2
109,"Hämeenlinna",109,"Hämeenlinna",0,2
905,"Vaasa",905,"Vaasa",0,2
475,"Malax",905,"Vaasa",0.45,2
698,"Rovaniemi",698,"Rovaniemi",0,2
743,"Seinäjoki",743,"Seinäjoki",0,2
491,"Mikkeli",491,"Mikkeli",0,2
507,"Mäntyharju",491,"Mikkeli",0.91,2
97,"Hirvensalmi",491,"Mikkeli",0.66,2
285,"Kotka",285,"Kotka",0,2
489,"Miehikkälä",285,"Kotka",1.18,2
734,"Salo",734,"Salo",0,2
577,"Paimio",734,"Salo",0.65,2
638,"Porvoo",638,"Porvoo",0,2
272,"Kokkola",272,"Kokkola",0,2
217,"Kannus",272,"Kokkola",0.98,2
444,"Lohja",444,"Lohja",0,2
927,"Vihti",444,"Lohja",0.59,2
224,"Karkkila",444,"Lohja",0.82,2
106,"Hyvinkää",106,"Hyvinkää",0,2
18,"Askola",106,"Hyvinkää",1.05,2
186,"Järvenpää",186,"Järvenpää",0,2
684,"Rauma",684,"Rauma",0,2
257,"Kirkkonummi",257,"Kirkkonummi",0,2
753,"Sipoo",257,"Kirkkonummi",1.38,2
858,"Tuusula",858,"Tuusula",0,2
205,"Kajaani",205,"Kajaani",0,2
697,"Ristijärvi",205,"Kajaani",0.97,2
740,"Savonlinna",740,"Savonlinna",0,2
681,"Rantasalmi",740,"Savonlinna",0.94,2
768,"Sulkava",740,"Savonlinna",0.71,2
46,"Enonkoski",740,"Savonlinna",0.62,2
245,"Kerava",245,"Kerava",0,2
536,"Nokia",536,"Nokia",0,2
980,"Ylöjärvi",980,"Ylöjärvi",0,2
202,"Kaarina",202,"Kaarina",0,2
211,"Kangasala",211,"Kangasala",0,2
694,"Riihimäki",694,"Riihimäki",0,2
153,"Imatra",153,"Imatra",0,2
689,"Rautjärvi",153,"Imatra",1.03,2
790,"Sastamala",790,"Sastamala",0,2
678,"Raahe",678,"Raahe",0,2
680,"Raisio",680,"Raisio",0,2
98,"Hollola",98,"Hollola",0,2
140,"Iisalmi",140,"Iisalmi",0,2
263,"Kiuruvesi",140,"Iisalmi",0.75,2
925,"Vieremä",140,"Iisalmi",0.56,2
851,"Tornio",851,"Tornio",0,2
749,"Siilinjärvi",749,"Siilinjärvi",0,2
240,"Kemi",240,"Kemi",0,2
301,"Kurikka",301,"Kurikka",0,2
182,"Jämsä",182,"Jämsä",0,2
915,"Varkaus",915,"Varkaus",0,2
908,"Valkeakoski",908,"Valkeakoski",0,2
505,"Mäntsälä",505,"Mäntsälä",0,2
504,"Myrskylä",505,"Mäntsälä",0.73,2
75,"Hamina",75,"Hamina",0,2
111,"Heinola",111,"Heinola",0,2
499,"Korsholm",499,"Korsholm",0,2
423,"Lieto",423,"Lieto",0,2
529,"Naantali",529,"Naantali",0,2
604,"Pirkkala",604,"Pirkkala",0,2
410,"Laukaa",410,"Laukaa",0,2
