NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,91,"Helsinki",703540,288.4514,1779.9562,879.425,3433.2752,0,0,0,0,0
1,49,"Espoo",342970,140.6177,867.7141,428.7125,1673.6936,0,0,0,0,0
1,837,"Tampere",268502,110.08582,679.31006,335.6275,1310.28976,0,0,0,0,0
1,92,"Vantaa",268791,110.20431,680.04123,335.98875,1311.70008,0,0,0,0,0
1,564,"Oulu",245021,100.45861,619.90313,306.27625,1195.70248,0,0,0,0,0
1,853,"Turku",206909,84.83269,523.47977,258.63625,1009.71592,0,0,0,0,0
1,179,"Jyväskylä",151760,62.2216,383.9528,189.7,740.5888,0,0,0,0,0
1,297,"Kuopio",125383,51.40703,317.21899,156.72875,611.86904,0,0,0,0,0
1,398,"Lahti",135921,55.72761,343.88013,169.90125,663.29448,0,0,0,0,0
1,286,"Kouvola",73577,30.16657,186.14981,91.97125,359.05576,0,0,0,0,0
1,609,"Pori",79975,32.78975,202.33675,99.96875,390.278,0,0,0,0,0
1,167,"Joensuu",78622,32.23502,198.91366,98.2775,383.67536,0,0,0,0,0
1,405,"Lappeenranta",72013,29.52533,182.19289,90.01625,351.42344,0,0,0,0,0
1,109,"Hämeenlinna",68096,27.91936,172.28288,85.12,332.30848,0,0,0,0,0
1,905,"Vaasa",67724,27.76684,171.34172,84.655,330.49312,0,0,0,0,0
1,698,"Rovaniemi",66467,27.25147,168.16151,83.08375,324.35896,0,0,0,0,0
1,743,"Seinäjoki",68050,27.9005,172.1665,85.0625,332.084,0,0,0,0,0
1,491,"Mikkeli",48693,19.96413,123.19329,60.86625,237.62184,0,0,0,0,0
1,285,"Kotka",47411,19.43851,119.94983,59.26375,231.36568,0,0,0,0,0
1,734,"Salo",47619,19.52379,120.47607,59.52375,232.38072,0,0,0,0,0
1,638,"Porvoo",52037,21.33517,131.65361,65.04625,253.94056,0,0,0,0,0
1,272,"Kokkola",47598,19.51518,120.42294,59.4975,232.27824,0,0,0,0,0
1,444,"Lohja",43691,17.91331,110.53823,54.61375,213.21208,0,0,0,0,0
1,106,"Hyvinkää",47409,19.43769,119.94477,59.26125,231.35592,0,0,0,0,0
1,543,"Nurmijärvi",47039,19.28599,119.00867,58.79875,229.55032,0,0,0,0,0
1,186,"Järvenpää",50377,20.65457,127.45381,62.97125,245.83976,0,0,0,0,0
1,684,"Rauma",37478,15.36598,94.81934,46.8475,182.89264,0,0,0,0,0
1,257,"Kirkkonummi",43050,17.6505,108.9165,53.8125,210.084,0,0,0,0,0
1,858,"Tuusula",39854,16.34014,100.83062,49.8175,194.48752,0,0,0,0,0
