NIVEL	CODIGO	DESTINO	POP ATENDIDA	Physicians	Nurses	OtherCadres	CommunityBased	Beds	CTScanner	MRIUnit	Mammography	Radiotherapy
2	91	Helsinki	703540.00	1174.91	844.25	1765.89	0.00	1878.45	4.64	3.52	2.18	0.21
2	49	Espoo	390009.00	651.32	468.01	978.92	0.00	1041.32	2.57	1.95	1.21	0.12
2	837	Tampere	268502.00	448.40	322.20	673.94	0.00	716.90	1.77	1.34	0.83	0.08
2	92	Vantaa	268791.00	448.88	322.55	674.67	0.00	717.67	1.77	1.34	0.83	0.08
2	564	Oulu	255608.00	426.87	306.73	641.58	0.00	682.47	1.69	1.28	0.79	0.08
2	853	Turku	206909.00	345.54	248.29	519.34	0.00	552.45	1.37	1.03	0.64	0.06
2	179	Jyväskylä	154085.00	257.32	184.90	386.75	0.00	411.41	1.02	0.77	0.48	0.05
2	297	Kuopio	125383.00	209.39	150.46	314.71	0.00	334.77	0.83	0.63	0.39	0.04
2	398	Lahti	135921.00	226.99	163.11	341.16	0.00	362.91	0.90	0.68	0.42	0.04
2	286	Kouvola	73577.00	122.87	88.29	184.68	0.00	196.45	0.49	0.37	0.23	0.02
2	609	Pori	81775.00	136.56	98.13	205.26	0.00	218.34	0.54	0.41	0.25	0.02
2	167	Joensuu	80365.00	134.21	96.44	201.72	0.00	214.57	0.53	0.40	0.25	0.02
2	405	Lappeenranta	72013.00	120.26	86.42	180.75	0.00	192.27	0.48	0.36	0.22	0.02
2	109	Hämeenlinna	68096.00	113.72	81.72	170.92	0.00	181.82	0.45	0.34	0.21	0.02
2	905	Vaasa	73027.00	121.96	87.63	183.30	0.00	194.98	0.48	0.37	0.23	0.02
2	698	Rovaniemi	66467.00	111.00	79.76	166.83	0.00	177.47	0.44	0.33	0.21	0.02
2	743	Seinäjoki	68050.00	113.64	81.66	170.81	0.00	181.69	0.45	0.34	0.21	0.02
2	491	Mikkeli	55752.00	93.11	66.90	139.94	0.00	148.86	0.37	0.28	0.17	0.02
2	285	Kotka	51701.00	86.34	62.04	129.77	0.00	138.04	0.34	0.26	0.16	0.02
2	734	Salo	60929.00	101.75	73.11	152.93	0.00	162.68	0.40	0.30	0.19	0.02
2	638	Porvoo	52037.00	86.90	62.44	130.61	0.00	138.94	0.34	0.26	0.16	0.02
2	272	Kokkola	52685.00	87.98	63.22	132.24	0.00	140.67	0.35	0.26	0.16	0.02
2	444	Lohja	81507.00	136.12	97.81	204.58	0.00	217.62	0.54	0.41	0.25	0.02
2	106	Hyvinkää	52007.00	86.85	62.41	130.54	0.00	138.86	0.34	0.26	0.16	0.02
2	186	Järvenpää	50377.00	84.13	60.45	126.45	0.00	134.51	0.33	0.25	0.16	0.02
2	684	Rauma	37478.00	62.59	44.97	94.07	0.00	100.07	0.25	0.19	0.12	0.01
2	257	Kirkkonummi	68303.00	114.07	81.96	171.44	0.00	182.37	0.45	0.34	0.21	0.02
2	858	Tuusula	39854.00	66.56	47.82	100.03	0.00	106.41	0.26	0.20	0.12	0.01
2	205	Kajaani	35851.00	59.87	43.02	89.99	0.00	95.72	0.24	0.18	0.11	0.01
2	740	Savonlinna	34341.00	57.35	41.21	86.20	0.00	91.69	0.23	0.17	0.11	0.01
2	245	Kerava	40261.00	67.24	48.31	101.06	0.00	107.50	0.27	0.20	0.12	0.01
2	536	Nokia	36680.00	61.26	44.02	92.07	0.00	97.94	0.24	0.18	0.11	0.01
2	980	Ylöjärvi	34423.00	57.49	41.31	86.40	0.00	91.91	0.23	0.17	0.11	0.01
2	202	Kaarina	38669.00	64.58	46.40	97.06	0.00	103.25	0.26	0.19	0.12	0.01
2	211	Kangasala	34456.00	57.54	41.35	86.48	0.00	92.00	0.23	0.17	0.11	0.01
2	694	Riihimäki	27742.00	46.33	33.29	69.63	0.00	74.07	0.18	0.14	0.09	0.01
2	153	Imatra	29357.00	49.03	35.23	73.69	0.00	78.38	0.19	0.15	0.09	0.01
2	790	Sastamala	21791.00	36.39	26.15	54.70	0.00	58.18	0.14	0.11	0.07	0.01
2	678	Raahe	22491.00	37.56	26.99	56.45	0.00	60.05	0.15	0.11	0.07	0.01
2	680	Raisio	24809.00	41.43	29.77	62.27	0.00	66.24	0.16	0.12	0.08	0.01
2	98	Hollola	21939.00	36.64	26.33	55.07	0.00	58.58	0.14	0.11	0.07	0.01
2	140	Iisalmi	32581.00	54.41	39.10	81.78	0.00	86.99	0.22	0.16	0.10	0.01
2	851	Tornio	20066.00	33.51	24.08	50.37	0.00	53.58	0.13	0.10	0.06	0.01
2	749	Siilinjärvi	20136.00	33.63	24.16	50.54	0.00	53.76	0.13	0.10	0.06	0.01
2	240	Kemi	17979.00	30.02	21.57	45.13	0.00	48.00	0.12	0.09	0.06	0.01
2	301	Kurikka	18203.00	30.40	21.84	45.69	0.00	48.60	0.12	0.09	0.06	0.01
2	182	Jämsä	17156.00	28.65	20.59	43.06	0.00	45.81	0.11	0.09	0.05	0.01
2	915	Varkaus	17961.00	29.99	21.55	45.08	0.00	47.96	0.12	0.09	0.06	0.01
2	908	Valkeakoski	19536.00	32.63	23.44	49.04	0.00	52.16	0.13	0.10	0.06	0.01
2	505	Mäntsälä	22840.00	38.14	27.41	57.33	0.00	60.98	0.15	0.11	0.07	0.01
