lat_departure,lon_departure,lat_arrival,lon_arrival
63.8376,23.132,63.8376,23.132,
63.9017,23.9151,63.8376,23.132,
63.775,24.25,63.8376,23.132,
63.4753,23.7886,63.8376,23.132,
63.2167,24.4167,63.8376,23.132,
63.525,24.6653,63.8376,23.132,
61.1931,28.7764,61.1931,28.7764,
61.0611,27.8042,61.1931,28.7764,
61.4333,29.367,61.1931,28.7764,
63.075,27.66,63.075,27.66,
63.3667,27.3833,63.075,27.66,
62.4917,27.7875,63.075,27.66,
63.6528,26.6194,63.075,27.66,
63.2333,26.7583,63.075,27.66,
63.6667,27.5167,63.075,27.66,
63.7431,27.0014,63.075,27.66,
62.6217,26.8333,63.075,27.66,
62.8083,28.4917,63.075,27.66,
63.1783,26.35,63.075,27.66,
63.4944,28.2986,63.075,27.66,
62.9556,26.7556,63.075,27.66,
60.8681,26.7042,60.5697,27.1981,
60.5697,27.1981,60.5697,27.1981,
60.6708,27.7,60.5697,27.1981,
60.4958,26.7097,60.5697,27.1981,
61.6875,27.2736,62.3,27.1583,
61.8667,28.8831,62.3,27.1583,
62.3,27.1583,62.3,27.1583,
61.8972,27.8569,62.3,27.1583,
61.4181,26.8792,62.3,27.1583,
61.99,26.6417,62.3,27.1583,
62.1792,27.8278,62.3,27.1583,
62.0667,28.3,62.3,27.1583,
62.425,28.6333,62.3,27.1583,
61.7875,28.3708,62.3,27.1583,
61.6389,26.7806,62.3,27.1583,
61.525,28.1833,62.3,27.1583,
61.5028,26.4792,62.3,27.1583,
62.0889,28.9333,62.3,27.1583,
65.9667,29.1667,65.9667,29.1667,
65.575,28.2417,65.9667,29.1667,
62.7667,29.85,62.7667,29.85,
62.5333,29.3833,62.7667,29.85,
63.3167,30.0167,62.7667,29.85,
63.5444,29.1333,62.7667,29.85,
62.725,29.0167,62.7667,29.85,
62.6667,30.9333,62.7667,29.85,
63.2417,29.25,62.7667,29.85,
62.2264,30.3319,62.7667,29.85,
62.855,29.3667,62.7667,29.85,
62.3133,29.625,62.7667,29.85,
62.5861,23.6194,62.5861,23.6194,
62.1139,21.9583,62.5861,23.6194,
62.3083,21.7083,62.5861,23.6194,
64.225,27.7333,64.1333,28.3833,
64.1333,28.3833,64.1333,28.3833,
64.125,29.5167,64.1333,28.3833,
64.8833,28.9167,64.1333,28.3833,
64.4083,27.8417,64.1333,28.3833,
64.55,26.8333,64.1333,28.3833,
64.8681,27.6708,64.1333,28.3833,
64.675,28.4917,64.1333,28.3833,
64.5056,28.2139,64.1333,28.3833,
61.8639,25.1903,62.2597,24.7069,
62.4167,25.95,62.2597,24.7069,
62.2597,24.7069,62.2597,24.7069,
62.1292,25.6722,62.2597,24.7069,
62.3889,26.4361,62.2597,24.7069,
61.7417,26.1153,62.2597,24.7069,
62.875,24.8,62.2597,24.7069,
62.25,25.1833,62.2597,24.7069,
62.5,25.4367,62.2597,24.7069,
62.6283,26.2833,62.2597,24.7069,
62.1,26.0833,62.2597,24.7069,
61.5667,25.1833,62.2597,24.7069,
63.0431,24.5639,62.2597,24.7069,
61.8,25.7,62.2597,24.7069,
62.7056,25.2569,62.7056,25.2569,
63.075,25.8597,62.7056,25.2569,
63.3667,25.575,62.7056,25.2569,
63.3667,24.9667,62.7056,25.2569,
63.12,25.075,62.7056,25.2569,
60.4667,24.8083,60.5347,24.2097,
59.975,23.4361,60.5347,24.2097,
60.2097,24.7264,60.5347,24.2097,
60.5347,24.2097,60.5347,24.2097,
59.8236,22.9681,60.5347,24.2097,
60.1333,24.2167,60.5347,24.2097,
60.475,25.375,60.5347,24.2097,
60.6167,26.2,60.5347,24.2097,
60.645,25.5833,60.5347,24.2097,
65.799,24.5426,65.799,24.5426,
66.3167,23.6667,65.799,24.5426,
65.9275,26.5184,65.799,24.5426,
65.6613,25.0623,65.799,24.5426,
66.0821,24.808,65.799,24.5426,
65.3167,25.3722,65.3583,27,
65.3583,27,65.3583,27,
60.7181,24.4417,60.7181,24.4417,
60.8042,23.4861,60.7181,24.4417,
60.9167,24.6333,60.7181,24.4417,
61.05,24.3667,60.7181,24.4417,
60.7833,25.0333,60.7181,24.4417,
66.5028,25.7285,66.715,27.4306,
66.715,27.4306,66.715,27.4306,
66.8333,28.6667,66.715,27.4306,
66.1097,28.1739,66.715,27.4306,
67.2917,28.1667,66.715,27.4306,
67.1083,27.5167,66.715,27.4306,
64.6847,24.4792,64.2667,24.8167,
64.9125,25.5083,64.2667,24.8167,
63.9292,24.9778,64.2667,24.8167,
64.2667,24.8167,64.2667,24.8167,
63.7486,25.3181,64.2667,24.8167,
64.1375,25.3667,64.2667,24.8167,
63.9069,24.5167,64.2667,24.8167,
64.4667,24.2583,64.2667,24.8167,
63.6056,24.9319,64.2667,24.8167,
64.75,26.4167,64.2667,24.8167,
64.1667,24.3083,64.2667,24.8167,
63.975,25.7583,64.2667,24.8167,
64.8367,25.1867,64.2667,24.8167,
64.2667,25.8667,64.2667,24.8167,
64.0972,26.3306,64.2667,24.8167,
65.0167,24.7167,64.2667,24.8167,
63.6833,25.9833,64.2667,24.8167,
63.5167,22.5333,63.5167,22.5333,
63.725,23.0333,63.5167,22.5333,
61.1764,22.6986,61.3139,22.1417,
61.3139,22.1417,61.3139,22.1417,
61.05,22.35,61.3139,22.1417,
61.2,21.7333,61.3139,22.1417,
61.3653,22.0042,61.3139,22.1417,
62.1333,22.5583,61.3139,22.1417,
61.6917,22.0083,61.3139,22.1417,
61.8167,22.6917,61.3139,22.1417,
61.8833,21.8167,61.3139,22.1417,
61.3417,22.9083,61.7694,23.0681,
61.4667,23.65,61.7694,23.0681,
61.7694,23.0681,61.7694,23.0681,
62.0292,24.6236,61.7694,23.0681,
62.2403,23.7708,61.7694,23.0681,
62.0097,23.025,61.7694,23.0681,
61.3389,24.2681,61.7694,23.0681,
61.0833,23.55,61.7694,23.0681,
61.9833,24.0833,61.7694,23.0681,
61.1117,23.105,61.7694,23.0681,
62.2083,23.1792,61.7694,23.0681,
61.8,24.3667,61.7694,23.0681,
68.9055,27.0176,68.9055,27.0176,
69.9078,27.0265,68.9055,27.0176,
67.4149,26.5907,67.6531,24.9114,
67.6531,24.9114,67.6531,24.9114,
66.7756,23.9635,67.6531,24.9114,
67.9593,23.6772,67.6531,24.9114,
68.3847,23.6389,67.6531,24.9114,
67.3317,23.7913,67.6531,24.9114,
60.3831,23.1331,60.5417,22.2222,
60.3,22.3,60.5417,22.2222,
60.5417,22.2222,60.5417,22.2222,
60.3417,22.6917,60.5417,22.2222,
60.6542,23.1403,60.5417,22.2222,
60.95,21.4417,60.5417,22.2222,
60.5833,22.9,60.5417,22.2222,
60.5617,21.6083,60.5417,22.2222,
60.8556,22.6972,60.5417,22.2222,
62.9708,23.0069,62.55,24.0694,
62.4319,22.1794,62.55,24.0694,
62.7333,22.5833,62.55,24.0694,
62.55,24.0694,62.55,24.0694,
62.8083,23.5083,62.55,24.0694,
63.1617,23.8167,62.55,24.0694,
63.3667,23.475,62.55,24.0694,
