CODIGO_O	                        ORIGEM	CODIGO_D	                       DESTINO	      DISTANCIA
286	                       Kouvola	286	                       Kouvola	    0.00
698	                     Rovaniemi	698	                     Rovaniemi	    0.00
491	                       Mikkeli	491	                       Mikkeli	    0.00
734	                          Salo	734	                          Salo	    0.00
272	                       Kokkola	272	                       Kokkola	    0.00
106	                    Hyvinkää	543	                   Nurmijärvi	    0.46
543	                   Nurmijärvi	543	                   Nurmijärvi	    0.00
186	                  Järvenpää	543	                   Nurmijärvi	    0.38
858	                       Tuusula	543	                   Nurmijärvi	    0.35
245	                        Kerava	543	                   Nurmijärvi	    0.44
205	                       Kajaani	205	                       Kajaani	    0.00
740	                    Savonlinna	740	                    Savonlinna	    0.00
710	                     Raasepori	710	                     Raasepori	    0.00
153	                        Imatra	153	                        Imatra	    0.00
700	                    Ruokolahti	153	                        Imatra	    0.28
790	                     Sastamala	790	                     Sastamala	    0.00
678	                         Raahe	678	                         Raahe	    0.00
297	                        Kuopio	749	                  Siilinjärvi	    0.51
749	                  Siilinjärvi	749	                  Siilinjärvi	    0.00
182	                       Jämsä	182	                       Jämsä	    0.00
285	                         Kotka	75	                        Hamina	    0.45
75	                        Hamina	75	                        Hamina	    0.00
111	                       Heinola	111	                       Heinola	    0.00
837	                       Tampere	604	                      Pirkkala	    0.17
536	                         Nokia	604	                      Pirkkala	    0.19
980	                    Ylöjärvi	604	                      Pirkkala	    0.25
418	                   Lempäälä	604	                      Pirkkala	    0.45
604	                      Pirkkala	604	                      Pirkkala	    0.00
922	                     Vesilahti	604	                      Pirkkala	    0.42
410	                        Laukaa	410	                        Laukaa	    0.00
593	                  Pieksämäki	593	                  Pieksämäki	    0.00
564	                          Oulu	244	                       Kempele	    0.29
244	                       Kempele	244	                       Kempele	    0.00
425	                       Liminka	244	                       Kempele	    0.31
859	                     Tyrnävä	244	                       Kempele	    0.48
398	                         Lahti	560	                    Orimattila	    0.50
560	                    Orimattila	560	                    Orimattila	    0.00
305	                       Kuusamo	305	                       Kuusamo	    0.00
853	                         Turku	445	                        Pargas	    0.42
445	                        Pargas	445	                        Pargas	    0.00
167	                       Joensuu	276	                   Kontiolahti	    0.48
276	                   Kontiolahti	276	                   Kontiolahti	    0.00
233	                       Kauhava	408	                         Lapua	    0.37
408	                         Lapua	408	                         Lapua	    0.00
232	                     Kauhajoki	232	                     Kauhajoki	    0.00
743	                    Seinäjoki	145	                      Ilmajoki	    0.36
301	                       Kurikka	145	                      Ilmajoki	    0.40
145	                      Ilmajoki	145	                      Ilmajoki	    0.00
426	                        Liperi	426	                        Liperi	    0.00
10	                        Alavus	10	                        Alavus	    0.00
422	                        Lieksa	422	                        Lieksa	    0.00
535	                        Nivala	535	                        Nivala	    0.00
765	                       Sotkamo	765	                       Sotkamo	    0.00
102	                     Huittinen	102	                     Huittinen	    0.00
249	                        Keuruu	249	                        Keuruu	    0.00
495	                        Multia	249	                        Keuruu	    0.43
402	                    Lapinlahti	402	                    Lapinlahti	    0.00
139	                            Ii	139	                            Ii	    0.00
915	                       Varkaus	420	                   Leppävirta	    0.50
420	                   Leppävirta	420	                   Leppävirta	    0.00
729	                   Saarijärvi	729	                   Saarijärvi	    0.00
179	                   Jyväskylä	500	                       Muurame	    0.30
500	                       Muurame	500	                       Muurame	    0.00
91	                      Helsinki	235	                    Kauniainen	    0.30
