NIVEL,CODIGO,DESTINO,POP ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
2,272,Kokkola,65348.00,31.48,18.16,43.58,0.00,72.04,0.30,0.22,0.10,0.01
2,153,Imatra,119591.00,14.68,8.47,20.33,0.00,33.61,0.14,0.10,0.05,0.00
2,749,Siilinjärvi,235851.00,32.69,18.86,45.26,0.00,74.80,0.31,0.23,0.10,0.01
2,75,Hamina,148033.00,50.91,29.37,70.50,0.00,116.52,0.49,0.35,0.16,0.01
2,593,Pieksämäki,124860.00,64.93,37.46,89.90,0.00,148.58,0.62,0.45,0.20,0.01
2,305,Kuusamo,17558.00,9.13,5.27,12.64,0.00,20.89,0.09,0.06,0.03,0.00
2,276,Kontiolahti,152697.00,34.14,19.69,47.26,0.00,78.12,0.33,0.24,0.11,0.01
2,10,Alavus,16974.00,6.64,3.83,9.20,0.00,15.20,0.06,0.05,0.02,0.00
2,765,Sotkamo,67751.00,35.23,20.33,48.78,0.00,80.62,0.34,0.24,0.11,0.01
2,249,Keuruu,251025.00,42.25,24.38,58.50,0.00,96.69,0.41,0.29,0.13,0.01
2,729,Saarijärvi,20161.00,9.89,5.70,13.69,0.00,22.62,0.10,0.07,0.03,0.00
2,224,Karkkila,1836816.00,59.81,34.50,82.81,0.00,136.87,0.57,0.41,0.18,0.01
2,241,Keminmaa,56779.00,9.74,5.62,13.49,0.00,22.29,0.09,0.07,0.03,0.00
2,615,Pudasjärvi,16350.00,8.50,4.91,11.77,0.00,19.46,0.08,0.06,0.03,0.00
2,433,Loppi,164397.00,22.54,13.00,31.21,0.00,51.58,0.22,0.16,0.07,0.00
2,320,Kemijärvi,80063.00,41.63,24.02,57.65,0.00,95.27,0.40,0.29,0.13,0.01
2,563,Oulainen,382142.00,52.48,30.27,72.66,0.00,120.09,0.50,0.36,0.16,0.01
2,893,Nykarleby,49122.00,6.88,3.97,9.52,0.00,15.74,0.07,0.05,0.02,0.00
2,79,Harjavalta,201574.00,21.70,12.52,30.05,0.00,49.66,0.21,0.15,0.07,0.00
2,143,Ikaalinen,544900.00,45.83,26.44,63.46,0.00,104.88,0.44,0.32,0.14,0.01
2,148,Inari,8120.00,4.22,2.44,5.85,0.00,9.66,0.04,0.03,0.01,0.00
2,261,Kittilä,24429.00,12.70,7.33,17.59,0.00,29.07,0.12,0.09,0.04,0.00
2,704,Rusko,491637.00,41.92,24.18,58.04,0.00,95.92,0.40,0.29,0.13,0.01
2,989,Ähtäri,161940.00,26.75,15.43,37.03,0.00,61.21,0.26,0.19,0.08,0.01
2,152,Isokyrö,128579.00,6.54,3.77,9.06,0.00,14.97,0.06,0.05,0.02,0.00
2,170,Jomala,32197.00,4.63,2.67,6.41,0.00,10.59,0.04,0.03,0.01,0.00
2,16,Asikkala,199927.00,24.93,14.38,34.51,0.00,57.04,0.24,0.17,0.08,0.00
