lat_departure,lon_departure,lat_arrival,lon_arrival
60.0986,19.9444,60.0986,19.9444,
60.15,19.95,60.15,19.95,
60.0806,20.1,60.0806,20.1,
60.2167,19.7403,60.2167,19.7403,
60.2167,19.55,60.2167,19.55,
60.4117,21.0453,60.4667,21.0833,60.4117,21.0453,60.4667,21.0833,
60.375,19.85,60.375,19.85,
60.2417,20.375,60.2417,20.375,
60.1167,20.2583,60.1167,20.2583,
60.2583,20.7783,60.1333,20.6667,
60.1333,20.6667,60.1333,20.6667,
60.23,19.9881,60.23,19.9881,
60.3073,19.9862,60.3073,19.9862,
60.2572,20.1342,60.2572,20.1342,
60,20.4333,60,20.4333,
59.9167,20.9,59.9167,20.9,
