name,lat,lon
Tampere,61.4981,23.7608,
Pirkkala,61.4667,23.65,
Nokia,61.4767,23.5053,
Vesilahti,61.3167,23.6167,
Ylöjärvi,61.55,23.5833,
Kangasala,61.4639,24.065,
Sastamala,61.3417,22.9083,
Lempäälä,61.3139,23.7528,
Valkeakoski,61.2667,24.0306,
Pälkäne,61.3389,24.2681,
Akaa,61.1667,23.8681,
Urjala,61.0833,23.55,
Hämeenkyrö,61.6333,23.2,
Ikaalinen,61.7694,23.0681,
Mänttä-Vilppula,62.0292,24.6236,
Virrat,62.2403,23.7708,
Parkano,62.0097,23.025,
Ruovesi,61.9833,24.0833,
Punkalaidun,61.1117,23.105,
Kihniö,62.2083,23.1792,
Orivesi,61.6778,24.3569,
Juupajoki,61.8,24.3667,
