NIVEL,CODIGO,DESTINO,POP_ATENDIDA,Physicians,Nurses,OtherCadres,CommunityBased,Beds,CTScanner,MRIUnit,Mammography,Radiotherapy
1,167,"Joensuu",78622,10.2209,49.5319,28.3039,27.5177,0,0,0,0,0
1,276,"Kontiolahti",14809,1.9252,9.3297,5.3312,5.1831,0,0,0,0,0
1,426,"Liperi",11314,1.4708,7.1278,4.073,3.9599,0,0,0,0,0
1,422,"Lieksa",9068,1.1788,5.7128,3.2645,3.1738,0,0,0,0,0
1,541,"Nurmes",8149,1.0594,5.1339,2.9336,2.8521,0,0,0,0,0
1,309,"Outokumpu",5606,0.7288,3.5318,2.0182,1.9621,0,0,0,0,0
1,146,"Ilomantsi",3908,0.508,2.462,1.4069,1.3678,0,0,0,0,0
1,176,"Juuka",3743,0.4866,2.3581,1.3475,1.3101,0,0,0,0,0
1,848,"Tohmajärvi",12107,1.5739,7.6274,4.3586,4.2375,0,0,0,0,0
1,607,"Polvijärvi",3628,0.4716,2.2856,1.3061,1.2698,0,0,0,0,0
1,707,"Rääkkylä",1743,0.2266,1.0981,0.6275,0.6101,0,0,0,0,0
