NIVEL,CODIGO,DESTINO,COD_ESP,RECURSO,POP_ATENDIDA,ATEND_FTE
1,49,"Espoo",1,"Physicians",1046510,136.0463
1,49,"Espoo",2,"Nurses",1046510,659.3013
1,49,"Espoo",3,"OtherCadres",1046510,376.7436
1,49,"Espoo",4,"CommunityBased",1046510,366.2785
1,49,"Espoo",5,"Beds",1046510,0
1,49,"Espoo",6,"CTScanner",1046510,0
1,49,"Espoo",7,"MRIUnit",1046510,0
1,49,"Espoo",8,"Mammography",1046510,0
1,49,"Espoo",9,"Radiotherapy",1046510,0
1,92,"Vantaa",1,"Physicians",424536,55.1896
1,92,"Vantaa",2,"Nurses",424536,267.4576
1,92,"Vantaa",3,"OtherCadres",424536,152.833
1,92,"Vantaa",4,"CommunityBased",424536,148.5875
1,92,"Vantaa",5,"Beds",424536,0
1,92,"Vantaa",6,"CTScanner",424536,0
1,92,"Vantaa",7,"MRIUnit",424536,0
1,92,"Vantaa",8,"Mammography",424536,0
1,92,"Vantaa",9,"Radiotherapy",424536,0
1,638,"Porvoo",1,"Physicians",57163,7.4312
1,638,"Porvoo",2,"Nurses",57163,36.0127
1,638,"Porvoo",3,"OtherCadres",57163,20.5787
1,638,"Porvoo",4,"CommunityBased",57163,20.007
1,638,"Porvoo",5,"Beds",57163,0
1,638,"Porvoo",6,"CTScanner",57163,0
1,638,"Porvoo",7,"MRIUnit",57163,0
1,638,"Porvoo",8,"Mammography",57163,0
1,638,"Porvoo",9,"Radiotherapy",57163,0
1,444,"Lohja",1,"Physicians",43691,5.6798
1,444,"Lohja",2,"Nurses",43691,27.5253
1,444,"Lohja",3,"OtherCadres",43691,15.7288
1,444,"Lohja",4,"CommunityBased",43691,15.2918
1,444,"Lohja",5,"Beds",43691,0
1,444,"Lohja",6,"CTScanner",43691,0
1,444,"Lohja",7,"MRIUnit",43691,0
1,444,"Lohja",8,"Mammography",43691,0
1,444,"Lohja",9,"Radiotherapy",43691,0
1,106,"Hyvinkää",1,"Physicians",47409,6.1632
1,106,"Hyvinkää",2,"Nurses",47409,29.8677
1,106,"Hyvinkää",3,"OtherCadres",47409,17.0672
1,106,"Hyvinkää",4,"CommunityBased",47409,16.5931
1,106,"Hyvinkää",5,"Beds",47409,0
1,106,"Hyvinkää",6,"CTScanner",47409,0
1,106,"Hyvinkää",7,"MRIUnit",47409,0
1,106,"Hyvinkää",8,"Mammography",47409,0
1,106,"Hyvinkää",9,"Radiotherapy",47409,0
1,543,"Nurmijärvi",1,"Physicians",47039,6.1151
1,543,"Nurmijärvi",2,"Nurses",47039,29.6346
1,543,"Nurmijärvi",3,"OtherCadres",47039,16.934
1,543,"Nurmijärvi",4,"CommunityBased",47039,16.4636
1,543,"Nurmijärvi",5,"Beds",47039,0
1,543,"Nurmijärvi",6,"CTScanner",47039,0
1,543,"Nurmijärvi",7,"MRIUnit",47039,0
1,543,"Nurmijärvi",8,"Mammography",47039,0
1,543,"Nurmijärvi",9,"Radiotherapy",47039,0
1,257,"Kirkkonummi",1,"Physicians",43050,5.5965
1,257,"Kirkkonummi",2,"Nurses",43050,27.1215
