# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 2: Nouvelle-Aquitaine (NA)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	7000
# 3	25000
# 2	2000
# 3	4000
2	1290	# Q1
3	1903	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.3 
# 3 1.9;
2 0.9 
3 1.1; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
2986495	#	'Poitiers': CHU Poitiers [fr]
3031582	#	'Bordeaux' : CHU Bordeaux [fr]
8297635	#	'Limoges' :Limoges University Hospital
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
8297635	2	45.8353	1.26250	283823	0	'Limoges'	
3031582	2	44.84	-0.58000	257804	0	'Bordeaux'	
2986495	2	46.58	0.34000	88291	0	'Poitiers'	
6440557	2	43.3	-0.37000	77130	0	'Pau'	
3006787	2	46.1591	-1.15170	75735	0	'La Rochelle'	
2994391	2	44.8386	-0.64360	70105	0	'Mérignac'	
2987805	2	44.8067	-0.63110	63808	0	'Pessac'	
6454744	2	46.3258	-0.46060	58707	0	'Niort'	
3232795	2	43.49	-1.48000	51228	0	'Bayonne'	
3029974	2	45.1583	1.53210	46916	0	'Brive-la-Gaillarde'	
2973495	2	44.8	-0.58400	42606	0	'Talence'	
6447298	2	45.65	0.16000	41740	1	'Angoulême'	
3037612	2	43.485	-1.51830	38929	0	'Anglet'	
2968620	2	44.7806	-0.56580	34090	1	'Villenave-d’Ornon'	
8287360	2	44.2049	0.62120	33576	0	'Agen'	
3026141	2	46.8178	0.54610	31840	0	'Châtellerault'	
2978072	2	44.8964	-0.71640	31145	1	'Saint-Médard-en-Jalles'	
8290753	2	45.1929	0.72170	29966	0	'Périgueux'	
2992771	2	43.89	-0.50000	29554	0	'Mont-de-Marsan'	
3033881	2	44.8086	-0.54780	28601	0	'Bègles'	
3033391	2	44.85	0.48000	26833	0	'Bergerac'	
3006283	2	44.62	-1.14570	26078	0	'La Teste-de-Buch'	
6432244	2	44.7725	-0.61560	25552	0	'Gradignan'	
6453739	2	45.7464	-0.63330	25470	0	'Saintes'	
3032797	2	43.48	-1.56000	25404	0	'Biarritz'	
6454008	2	44.92	-0.24000	24845	0	'Libourne'	
3027950	2	44.8578	-0.53170	24729	0	'Cenon'	
6508515	2	45.9421	-0.95880	24151	0	'Rochefort'	
3005066	2	44.8651	-0.59960	23824	0	'Le Bouscat'	
2997556	2	44.8792	-0.52170	23538	0	'Lormont'	
3019193	2	44.8853	-0.65000	23462	0	'Eysines'	
8293285	2	44.4081	0.70500	22064	1	'Villeneuve-sur-Lot'	
3014175	2	44.6364	-1.06670	21152	1	'Gujan-Mestras'	
3021670	2	43.71	-1.05000	20681	0	'Dax'	
