data;

# ORIGEM	DESTINO	DIST(km)	DUR(h)
# Duracao maxima de 10800 h
param:	K:	dist	dur:= 
3006622	3006622	0		0
3006622	6447838	76		6855
3006622	3027484	61		5480
3006622	2996882	113		10191
3006622	3021263	44		3923
3006622	6614182	72		6480
3006622	6490278	35		3158
3006622	2992863	87		7864
3006622	6429944	111		9996
3006622	6433608	82		7400
3006622	6454607	92		8287
3006622	3025496	3		264
3006622	3035883	68		6106
3006622	2973510	2		211
3006622	6428549	9		821
3006622	6526607	7		607
3006622	6442356	118		10616
3006622	3018032	3		267
3006622	2976697	90		8064
3006622	2997644	5		430
3006622	2997076	118		10657
3006622	3027235	93		8329
3006622	3035828	31		2804
3006622	2981655	5		482
3006622	6442184	113		10207
3006622	3014334	108		9691
3006622	6441988	116		10479
3006622	2977229	63		5671
3006622	3035768	86		7705
3006622	2997439	78		7053
3006622	8295798	60		5404
3006622	6454631	61		5484
3006622	3032326	83		7475
3006622	2998996	102		9177
3006622	6454592	46		4098
3006622	3027642	49		4442
3006622	6442513	84		7589
3006622	2989837	21		1849
3006622	3026046	69		6189
3006622	2995489	6		499
3006622	3016332	18		1594
3006622	2992953	61		5527
3006622	3034535	101		9117
3006622	2992838	76		6807
3006622	2996881	102		9162
3006622	6429982	62		5562
3006622	6433662	117		10512
3006622	2972467	99		8869
3006622	2989252	88		7944
3006622	6428669	24		2150
3006622	6442479	91		8177
3006622	6614505	55		4949
3006622	2986467	75		6732
3006622	6433772	43		3834
3006622	3015894	63		5665
3006622	3024782	114		10245
3006622	6614558	71		6368
3006622	6455085	73		6615
3006622	6453869	84		7533
3006622	3020510	90		8101
3006622	6442102	113		10208
3006622	3020991	110		9882
3006622	2975080	76		6821
3006622	2988971	66		5968
3006622	6433657	81		7305
3006622	3016147	11		960
3006622	6430009	80		7193
3006622	6442071	88		7880
3006622	2998126	119		10715
3006622	6428942	50		4477
3006622	6454608	113		10183
3006622	6433535	40		3627
3006622	3037158	14		1216
3006622	3027147	57		5130
3006622	6433750	77		6967
3006622	3016247	49		4427
3006622	6428804	4		378
3006622	2993701	72		6501
3006622	8295719	46		4095
3006622	3022433	56		5071
3006622	6442131	89		8002
3006622	2975203	33		2944
3006622	2998830	93		8335
3006622	2981805	101		9096
3006622	2975819	60		5361
3006622	3005775	119		10685
3006622	3030457	25		2272
3006622	3030552	76		6808
3006622	2974710	37		3304
3006622	6442522	68		6132
3006622	3017330	69		6229
3006622	6442417	69		6170
3006622	6454601	80		7219
3006622	2991880	115		10373
3006622	3024891	96		8637
3006622	6613623	42		3788
3006622	6455329	107		9628
3006622	6617520	52		4723
3006622	6429893	69		6199
3006622	8287943	83		7460
3006622	2987874	6		513
3006622	2976254	109		9854
3006622	3029350	72		6436
3006622	2989425	116		10414
3006622	2993604	112		10097
3006622	6429939	72		6448
3006622	2993730	24		2204
3006622	6429714	75		6720
3006622	2974175	78		6993
3006622	2992852	75		6785
3006622	2975079	7		656
3006622	2978666	118		10602
3006622	3017012	119		10710
3006622	2990247	90		8072
3006622	2996957	99		8876
3006622	2985850	70		6268
3006622	3012961	109		9797
3006622	2985292	113		10133
3006622	6614949	87		7796
3006622	6454603	116		10446
3006622	3017306	101		9053
3006622	2970653	9		845
3006622	2978280	56		5011
3006622	3018011	55		4956
3006622	3022811	10		920
3006622	6442416	65		5847
3006622	2990620	8		720
3006622	6454612	96		8613
3006622	3019443	80		7218
3006622	6614470	109		9808
3006622	3021611	45		4092
3006622	2981609	40		3559
3006622	2996286	87		7869
3006622	2976962	69		6208
3006622	2970061	117		10524
3006622	2974525	77		6944
3006622	6449981	115		10366
3006622	2970217	8		761
3006622	3015132	68		6121
3006622	6613947	69		6240
3006622	2982994	91		8153
3006622	3016048	115		10340
3006622	2995940	24		2171
3006622	6442037	92		8295
3006622	6617472	50		4506
3006622	6428627	9		794
3006622	6447593	19		1737
3006622	3020053	64		5719
3006622	6612983	66		5912
3006622	2970016	105		9485
3006622	6428792	8		682
3006622	2989385	99		8926
3006622	2997535	31		2754
3006622	6442358	99		8908
3006622	3025842	49		4425
3006622	6442481	55		4906
3006622	6442249	73		6542
3006622	3012026	87		7846
3006622	3019468	96		8664
3006622	2978804	60		5378
3006622	3006751	110		9919
3006622	3022121	84		7584
3006622	2982175	53		4802
3006622	2972320	96		8656
3006622	6442111	82		7338
3006622	2988163	68		6156
3006622	2987878	84		7558
3006622	3036181	119		10755
3006622	2988722	104		9375
3006622	2985840	35		3175
3006622	3021909	4		372
3006622	3025614	67		6015
3006622	6442318	59		5318
3006622	3021760	65		5871
3006622	2989929	84		7558
3006622	2995610	57		5131
3006622	3032251	72		6438
3006622	3023735	101		9069
3006622	2985046	91		8224
3006622	2990177	50		4487
3006622	2991474	98		8846
3006622	3024796	99		8952
3006622	2984675	70		6265
3006622	3026999	39		3549
3006622	2968392	110		9871
3006622	3038381	19		1752
3006622	2994113	42		3780
3006622	3021493	75		6771
3006622	2987268	115		10385
3006622	2984691	94		8443
3006622	6455716	118		10624
3006622	3036862	45		4054
3006622	3020855	61		5474
3006622	2978441	105		9427
3006622	6441995	116		10466
3006622	3016945	94		8475
3006622	3016375	101		9080
3006622	3035830	70		6339
3006622	2973329	19		1708
3006622	3018308	12		1068
3006622	6617548	54		4853
3006622	6429904	80		7179
3006622	2969863	104		9340
3006622	2976724	30		2662
3006622	3018028	116		10403
3006622	3008300	28		2546
3006622	3038561	6		524
3006622	3023371	60		5401
3006622	6447840	75		6792
3006622	3016356	72		6472
3006622	2982210	7		661
3006622	2975081	107		9670
3006622	2994673	60		5431
3006622	6613476	114		10291
3006622	2976721	73		6586
3006622	3022856	92		8259
3006622	6428814	30		2682
3006622	3027527	80		7207
3006622	2975538	32		2870
3006622	2974676	66		5912
3006622	6447567	8		709
3006622	2997559	90		8142
3006622	2991954	58		5217
3006622	3018097	77		6957
3006622	3023756	117		10534
3006622	2994170	118		10605
3006622	2991004	88		7939
3006622	2998359	115		10317
3006622	3036942	73		6564
3006622	3021809	57		5093
3006622	6429818	109		9842
3006622	2997744	17		1489
3006622	6617511	63		5647
3006622	2996020	84		7572
3006622	3032228	39		3549
3006622	3021219	76		6803
3006622	2982001	83		7431
3006622	6428667	6		514
3006622	2989142	60		5374
3006622	3014882	113		10183
3006622	3017416	59		5324
3006622	3032076	77		6952
3006622	2967973	97		8760
3006622	2974522	67		6065
3006622	2976274	39		3550
3006622	6617537	67		5989
3006622	2997768	21		1920
3006622	3021839	58		5185
3006622	6613498	28		2523
3006622	2997759	118		10613
3006622	3012174	93		8386
3006622	6447824	72		6497
3006622	6452493	56		5051
3006622	6442224	60		5441
3006622	3030803	69		6219
3006622	6442484	82		7367
3006622	2970687	94		8494
3006622	2989426	52		4669
3006622	6428919	25		2278
3006622	2990203	14		1305
3006622	2982395	13		1151
3006622	2982541	92		8254
3006622	6612775	103		9289
3006622	2995171	119		10744
3006622	3030314	13		1132
3006622	3023015	80		7172
3006622	3023370	7		610
3006622	3025988	48		4303
3006622	3036957	111		9980
3006622	3026095	59		5301
3006622	6613442	49		4397
3006622	6442338	85		7667
3006622	3013053	108		9691
3006622	6442392	87		7842
3006622	3008627	104		9333
3006622	2991573	70		6327
3006622	2982593	102		9214
3006622	2987808	42		3740
3006622	2967847	37		3321
3006622	3018134	108		9763
3006622	2991333	112		10064
3006622	2969959	47		4209
3006622	3031340	92		8310
3006622	2981142	63		5650
3006622	2972083	117		10488
3006622	6442415	83		7436
3006622	3021990	69		6254
3006622	2972723	14		1284
3006622	3025062	44		3940
3006622	3024624	112		10068
3006622	3036178	117		10516
3006622	6429698	105		9435
3006622	6442260	55		4967
3006622	2972419	68		6118
3006622	3014128	61		5466
3006622	2981274	113		10179
3006622	3004356	55		4917
3006622	2973382	85		7617
3006622	6442430	75		6731
3006622	6442288	76		6820
3006622	3026209	78		6986
3006622	2979310	30		2719
6447838	3006622	76		6855
6447838	6447838	0		0
6447838	3033791	77		6898
6447838	3027484	102		9196
6447838	2992938	66		5937
6447838	3021263	43		3890
6447838	6490278	92		8319
6447838	6429944	45		4046
6447838	6433608	72		6494
6447838	6454607	44		3933
6447838	3025496	77		6897
6447838	6447821	67		6065
6447838	2973510	77		6953
6447838	6428549	67		6037
6447838	2971030	66		5940
6447838	6441973	67		6053
6447838	6526607	69		6250
6447838	6454111	96		8602
6447838	3018032	76		6871
6447838	2997644	72		6513
6447838	2997076	61		5483
6447838	3027235	55		4991
6447838	3035828	48		4322
6447838	2981655	71		6419
6447838	2991692	49		4385
6447838	6441988	70		6260
6447838	2977229	104		9375
6447838	2997439	91		8200
6447838	8295798	104		9346
6447838	6454631	100		9007
6447838	6429815	68		6157
6447838	2975204	68		6098
6447838	2998996	27		2386
6447838	3021629	79		7147
6447838	6447839	67		6074
6447838	6454592	39		3553
6447838	3027642	103		9241
6447838	6442513	113		10171
6447838	2989837	82		7347
6447838	2995489	78		7012
6447838	3016332	60		5414
6447838	2971072	78		7015
6447838	2968379	53		4775
6447838	6613169	73		6612
6447838	3034535	29		2566
6447838	6429982	17		1538
6447838	6433662	80		7186
6447838	2996251	64		5731
6447838	6452602	74		6673
6447838	2989252	18		1587
6447838	6428669	75		6742
6447838	2996727	59		5325
6447838	2989725	80		7185
6447838	2986237	59		5291
6447838	2986467	51		4569
6447838	6433772	51		4582
6447838	2974413	68		6146
6447838	3027237	72		6465
6447838	6429772	70		6293
6447838	3015894	109		9844
6447838	3013448	69		6188
6447838	3021767	76		6851
6447838	6455993	84		7553
6447838	3021813	60		5390
6447838	6441947	77		6956
6447838	3019621	74		6667
6447838	6455085	42		3768
6447838	6453869	8		682
6447838	3020510	41		3708
6447838	3019248	68		6084
6447838	6442102	74		6675
6447838	2967641	63		5632
6447838	3001051	49		4435
6447838	3020991	43		3858
6447838	2975080	110		9872
6447838	2988971	99		8935
6447838	6433657	73		6562
6447838	3016147	79		7151
6447838	6430009	6		565
6447838	3015958	82		7412
6447838	3014928	79		7117
6447838	6442071	50		4489
6447838	2998126	49		4366
6447838	6430047	69		6238
6447838	6442090	69		6199
6447838	3026098	72		6456
6447838	3026500	61		5454
6447838	6433535	49		4451
6447838	3037158	64		5716
6447838	3027147	101		9118
6447838	6433750	35		3143
6447838	3016247	91		8170
6447838	6428804	80		7182
6447838	2993701	6		561
6447838	8295719	41		3667
6447838	3022433	98		8833
