# ======================================================
# Model: Hierarchical health care design : 3 levels (brown field)
# Joao Flavio F. Almeida <joao.flavio@dep.ufmg.br >
# Fabricio Oliveira <fabricio.oliveira@aalto.fi >
# Data   : 19/02/2022
# Versao: 1.0:
# Region: 6: Centre-Val de Loire (VL)
# =========================================================
data;

# param Distmax:=
# 1 80  # 80
# 2 120 # + 120
# 3 250; # + 200

# Minimal population on destination municipality (j) 
param POPmin:=
1	0
# 2	7000
# 3	20000
# 2	2000
# 3	4000
2	1266	# Q1
3	1783	# Q2 
;

param DurUpper:=
1 0.51 
# 2 1.5 
# 3 1.5;
2 0.8 
3 1.1; 

# Municipios selecionados que já possuem infraestrutura de nível 3
set S3:=
2972191	#	'Tours': Centre hospitalier régional universitaire de Tours [fr] (in partnership with University of Tours)
;

# CODIGO	REGIAO (code)	LAT	LONG	POPULACAO 2030	INFR	MUNICIPIO	
 param: I :	RE	lat	lng	POP	INFR	Mun 	:=
6529563	6	47.9025	1.90900	282828	0	'Orléans'	
2972191	6	47.2436	0.68920	135787	0	'Tours'	
3031005	6	47.0844	2.39640	64551	0	'Bourges'	
3032213	6	47.5939	1.32810	46086	0	'Blois'	
3026204	6	46.8103	1.69110	43741	0	'Châteauroux'	
3026467	6	48.456	1.48400	38578	0	'Chartres'	
6433030	6	47.3514	0.66250	37893	1	'Joué-lés-Tours'	
3020810	6	48.7372	1.36640	31044	0	'Dreux'	
2969257	6	47.2225	2.06940	25903	0	'Vierzon'	
2989611	6	47.8639	1.90060	21951	0	'Olivet'	
8293156	6	47.9512	1.87450	21026	1	'Fleury-les-Aubrais'	
6434714	6	47.9128	1.97190	20751	1	'Saint-Jean-de-Braye'	
2979316	6	47.9131	1.87330	16445	1	'Saint-Jean-de-la-Ruelle'	
2970110	6	47.7928	1.06560	16133	0	'Vendôme'	
6433106	6	47.4028	0.67810	15991	0	'Saint-Cyr-sur-Loire'	
6433124	6	47.3908	0.72810	15766	1	'Saint-Pierre-des-Corps'	
6424379	6	48.4383	1.46500	15435	1	'Lucé'	
6433100	6	47.3667	0.72670	14968	1	'Saint-Avertin'	
2969779	6	47.9969	2.73250	14789	0	'Montargis'	
3016097	6	47.6981	2.62500	13732	0	'Gien'	
3005811	6	47.9731	2.77030	13099	0	'Amilly'	
3026285	6	48.0708	1.33780	13078	0	'Châteaudun'	
3027531	6	48.0117	2.73580	12790	1	'Châlette-sur-Loing'	
2995246	6	47.4114	0.98250	12693	0	'Amboise'	
6430921	6	48.7208	1.36060	12522	0	'Vernouillet'	
6448666	6	47.3375	0.71390	11738	0	'Chambray-lès-Tours'	
2969102	6	46.9481	1.99330	11690	0	'Issoudun'	
2996645	6	48.4531	1.46190	11087	0	'Mainvilliers'	
2992293	6	47.3883	0.82720	10825	1	'Montlouis-sur-Loire'	
3018124	6	47.4042	0.59890	10357	1	'Fondettes'	
6455925	6	47.3892	0.66060	10331	1	'La Riche'	
3010265	6	47.8897	1.83970	10205	0	'La Chapelle-Saint-Mesmin'	
2990272	6	48.3217	0.82170	9610	0	'Nogent-le-Rotrou'	
8290211	6	47.0997	2.37280	9549	0	'Saint-Doulchard'	
2981837	6	46.7228	2.50500	9531	0	'Saint-Amand-Montrond'	
6434619	6	47.9206	1.82420	9284	1	'Ingré'	
2987002	6	48.1719	2.25190	8935	0	'Pithiviers'	
2979226	6	47.8919	1.91720	8810	1	'Saint-Jean-le-Blanc'	
6449183	6	47.8936	2.02690	8636	0	'Chécy'	
3026222	6	47.8653	2.22220	8176	1	'Châteauneuf-sur-Loire'	
3025132	6	47.1669	0.24280	8145	0	'Chinon'	
6448640	6	47.3417	0.61310	8052	0	'Ballan-Miré'	
2989994	6	47.5806	1.37250	7845	1	'Vineuil'	
2992007	6	47.2747	0.64280	7835	1	'Monts'	
6448604	6	46.83	1.70580	7559	1	'Déols'	
6434705	6	47.8772	1.96000	7545	1	'Saint-Denis-en-Val'	
3009484	6	47.7172	1.94140	7437	1	'La Ferté-Saint-Aubin'	
3034297	6	47.7783	1.63170	7322	0	'Beaugency'	
6454162	6	47.9903	2.70940	6767	1	'Villemandeur'	
6430784	6	48.4317	1.47640	6673	1	'Luisant'	
6428217	6	47.1453	2.21580	6574	1	'Mehun-sur-Yèvre'	
2994126	6	47.8286	1.69830	6527	1	'Meung-sur-Loire'	
2980107	6	46.9956	2.25170	6457	1	'Saint-Florent-sur-Cher'	
2970237	6	47.2875	0.73750	6372	1	'Veigné'	
3005270	6	46.6336	1.06280	6319	1	'Le Blanc'	
2997996	6	47.1286	0.99530	6232	0	'Loches'	
6434050	6	47.6986	1.50780	6205	1	'Mer'	
2996444	6	48.2964	2.40530	6089	1	'Malesherbes'	
3020529	6	47.2844	0.78610	6057	1	'Esvres'	
2977308	6	47.8808	1.86780	5939	1	'Saint-Pryvé-Saint-Mesmin'	
3002626	6	46.7639	1.71890	5831	1	'Le Poinçonnet'	
2998856	6	48.4689	1.48140	5743	1	'Lèves'	
3020057	6	48.6108	1.67420	5592	1	'Épernon'	
6455928	6	47.3958	0.76440	5542	1	'La Ville-aux-Dames'	
3036326	6	47.4886	2.43920	5477	1	'Aubigny-sur-Nère'	
6434738	6	47.765	2.37530	5286	0	'Sully-sur-Loire'	
3032267	6	47.3253	0.98970	5250	1	'Bléré'	
6449157	6	47.6381	2.73920	5207	0	'Briare'	
6433044	6	47.3847	0.55440	5099	0	'Luynes'	
2979790	6	47.0992	2.48110	5079	1	'Saint-Germain-du-Puy'	
6434123	6	47.4253	2.05190	5060	1	'Salbris'	
3031702	6	48.1814	1.38810	4950	0	'Bonneval'	
3026208	6	47.5914	0.90940	4944	0	'Château-Renault'	
3037018	6	46.5889	1.51920	4902	1	'Argenton-sur-Creuse'	
2990550	6	48.07	2.05390	4858	0	'Neuville-aux-Bois'	
3036079	6	48.4619	1.77310	4767	1	'Auneau'	
3008020	6	47.6022	2.02470	4688	0	'Lamotte-Beuvron'	
6433031	6	47.3256	0.40610	4667	1	'Langeais'	
6434622	6	47.8647	2.12500	4606	1	'Jargeau'	
6434132	6	47.2756	1.55470	4581	0	'Selles-sur-Cher'	
2969947	6	47.3597	0.80560	4551	1	'Véretz'	
6456884	6	47.6139	1.36530	4530	0	'La Chaussée-Saint-Victor'	
3029345	6	46.89	1.42250	4528	0	'Buzançais'	
2993261	6	47.5006	0.78530	4473	1	'Monnaie'	
6433057	6	47.2872	0.71360	4428	1	'Montbazon'	
2967755	6	48.5865	1.57710	4374	1	'Maintenon'	
2990033	6	47.4578	0.70810	4165	1	'Notre-Dame-d’Oé'	
