name,lat,lon
Troyes,48.2997,4.0792
Charleville-Mézières,49.7719,4.7161
Vandœuvre-lès-Nancy,48.6567,6.1683
Épernay,49.0403,3.96
Chaumont,48.1117,5.1389
Saint-Louis,47.59,7.57
Sarreguemines,49.11,7.07
Limoges,45.8353,1.2625
Brive-la-Gaillarde,45.1583,1.5321
Talence,44.8,-0.584
Châtellerault,46.8178,0.5461
Mont-de-Marsan,43.89,-0.5
Saintes,45.7464,-0.6333
Montluçon,46.3408,2.6033
Thonon-les-Bains,46.3627,6.475
Romans-sur-Isère,45.0464,5.0517
Vienne,45.5242,4.8781
Aurillac,44.9261,2.4406
Nevers,46.9933,3.1572
Sens,48.1975,3.2877
Dole,47.0931,5.4906
Lanester,47.7647,-3.3422
Fougères,48.3525,-1.1986
Lannion,48.7325,-3.4553
Joué-lés-Tours,47.3514,0.6625
Dreux,48.7372,1.3664
Vierzon,47.2225,2.0694
Saint-Jean-de-Braye,47.9128,1.9719
Ajaccio,41.9267,8.7369
Melun,48.5406,2.66
Narbonne,43.1836,3.0042
Tarbes,43.23,0.07
Muret,43.4611,1.3267
Rodez,44.3506,2.575
Millau,44.0986,3.0783
Auch,43.6465,0.5855
Castelnau-le-Lez,43.6369,3.9019
Hérouville-Saint-Clair,49.2044,-0.3253
Le Petit-Quevilly,49.4311,1.0539
Amiens,49.892,2.299
Lens,50.4322,2.8333
Soissons,49.3817,3.3236
Le Mans,48.0077,0.1984
Cholet,47.06,-0.8783
Saint-Herblain,47.2122,-1.6497
Grasse,43.6667,6.9167
Martigues,43.4053,5.0475
Gap,44.5594,6.0786
