lat_departure,lon_departure,lat_arrival,lon_arrival
43.7034,7.2663,43.7034,7.2663,
43.2964,5.37,43.2964,5.37,
43.1258,5.9306,43.1258,5.9306,
43.5263,5.4454,43.5263,5.4454,
43.95,4.8075,43.95,4.8075,
43.5513,7.0128,43.5513,7.0128,
43.5808,7.1239,43.5808,7.1239,
43.1,5.883,43.1,5.883,
43.1199,6.1316,43.1199,6.1316,
43.433,6.737,43.433,6.737,
43.6767,4.6278,43.6767,4.6278,
43.4517,4.4281,43.6767,4.6278,
43.6644,7.1489,43.6644,7.1489,
43.6667,6.9167,43.6667,6.9167,
43.4053,5.0475,43.4053,5.0475,
43.2908,5.5708,43.2908,5.5708,
43.6406,5.0972,43.6406,5.0972,
43.5151,4.9895,43.5151,4.9895,
43.5769,7.0194,43.5769,7.0194,
44.5594,6.0786,44.5594,6.0786,
44.4617,6.0544,44.5594,6.0786,
43.5403,6.4667,43.5403,6.4667,
43.1769,5.6086,43.1769,5.6086,
43.17,5.83,43.1769,5.6086,
43.4252,6.7684,43.4252,6.7684,
43.4519,6.3039,43.4252,6.7684,
43.46,5.2486,43.46,5.2486,
43.416,5.2145,43.416,5.2145,
44.1383,4.8097,44.1383,4.8097,
43.668,7.188,43.668,7.188,
44.0558,5.0489,44.0558,5.0489,
43.5805,7.0538,43.5805,7.0538,
43.8375,5.0381,43.8375,5.0381,
43.1256,6.0108,43.1256,6.0108,
43.5464,6.9381,43.5464,6.9381,
43.8342,5.7839,43.8342,5.7839,
43.3369,5.4828,43.3369,5.4828,
43.4553,5.476,43.4553,5.476,
43.695,5.5036,43.695,5.5036,
43.6,6.9947,43.6,6.9947,
44.0083,4.8725,44.0083,4.8725,
43.7225,7.1119,43.7225,7.1119,
43.1497,6.0742,43.1497,6.0742,
43.4058,6.0617,43.4058,6.0617,
43.1192,5.8022,43.1192,5.8022,
44.0925,6.2356,44.0925,6.2356,
43.805,4.6594,43.805,4.6594,
43.4544,5.4144,43.4544,5.4144,
43.4433,6.6378,43.4433,6.6378,
43.1394,5.8469,43.1394,5.8469,
43.2525,6.53,43.2525,6.53,
43.5686,6.4972,43.2525,6.53,
44.8958,6.635,44.8958,6.635,
43.8761,5.3964,43.8761,5.3964,
43.3947,6.3128,43.3947,6.3128,
43.7894,4.8317,43.7894,4.8317,
43.095,6.0736,43.095,6.0736,
44.3842,4.9903,44.3842,4.9903,
43.3494,5.6047,43.3494,5.6047,
43.5967,6.9333,43.5967,6.9333,
43.5686,5.3542,43.5686,5.3542,
44.19,5.9464,44.19,5.9464,
43.8119,7.3139,43.8119,7.3139,
44.0878,7.5936,43.8119,7.3139,
43.6953,5.0311,43.6953,5.0311,
43.4208,5.2333,43.4208,5.2333,
43.2806,5.5158,43.2806,5.5158,
43.3953,5.5953,43.3953,5.5953,
44.565,6.4953,44.565,6.4953,
44.3858,6.6525,44.565,6.4953,
44.0567,5.1281,44.0567,5.1281,
44.0833,4.9711,44.0833,4.9711,
43.2244,6.1453,43.2244,6.1453,
44.2408,5.075,44.2408,5.075,
43.6633,5.4372,43.6633,5.4372,
43.7583,5.8836,43.6633,5.4372,
43.2056,6.025,43.2056,6.025,
43.74,7.2878,43.74,7.2878,
43.3858,5.5783,43.3858,5.5783,
43.9592,5.7797,43.9592,5.7797,
43.3706,5.7822,43.3706,5.7822,
43.8608,7.2244,43.8608,7.2244,
43.8769,7.4483,43.8608,7.2244,
43.2136,5.6297,43.2136,5.6297,
43.4136,5.5056,43.4136,5.5056,
43.1764,5.9264,43.1764,5.9264,
