lon,lat
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.0792,48.2997,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
4.7161,49.7719,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
6.1683,48.6567,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
3.96,49.0403,
5.1389,48.1117,
5.1389,48.1117,
5.1389,48.1117,
5.1389,48.1117,
5.1389,48.1117,
5.1389,48.1117,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.57,47.59,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
7.07,49.11,
